,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Arsenal,Leicester,4,3,1,1,0
2,Stoke,Arsenal,1,0,-1,0,0
3,Liverpool,Arsenal,4,0,-4,0,0
4,Arsenal,Bournemouth,3,0,3,1,0
5,Chelsea,Arsenal,0,0,0,0,0
6,Arsenal,West Brom,2,0,2,1,0
7,Arsenal,Brighton,2,0,2,2,0
8,Watford,Arsenal,2,1,-1,0,0
9,Everton,Arsenal,2,5,3,1,0
10,Arsenal,Swansea,2,1,1,2,0
11,Man City,Arsenal,3,1,-2,0,0
12,Arsenal,Tottenham,2,0,2,1,0
13,Burnley,Arsenal,0,1,1,2,0
14,Arsenal,Huddersfield,5,0,5,3,1
15,Arsenal,Man United,1,3,-2,0,0
16,Southampton,Arsenal,1,1,0,0,0
17,West Ham,Arsenal,0,0,0,0,0
18,Arsenal,Newcastle,1,0,1,1,0
19,Arsenal,Liverpool,3,3,0,0,0
20,Crystal Palace,Arsenal,2,3,1,1,0
21,West Brom,Arsenal,1,1,0,0,0
22,Arsenal,Chelsea,2,2,0,0,0
23,Bournemouth,Arsenal,2,1,-1,0,0
24,Arsenal,Crystal Palace,4,1,3,1,0
25,Swansea,Arsenal,3,1,-2,0,0
26,Arsenal,Everton,5,1,4,1,0
27,Tottenham,Arsenal,1,0,-1,0,0
28,Arsenal,Man City,0,3,-3,0,0
29,Brighton,Arsenal,2,1,-1,0,0
30,Arsenal,Watford,3,0,3,1,0
31,Arsenal,Stoke,3,0,3,2,0
32,Arsenal,Southampton,3,2,1,3,1
33,Newcastle,Arsenal,2,1,-1,0,0
34,Arsenal,West Ham,4,1,3,1,0
35,Man United,Arsenal,2,1,-1,0,0
36,Arsenal,Burnley,5,0,5,1,0
37,Leicester,Arsenal,3,1,-2,0,0
38,Huddersfield,Arsenal,0,1,1,1,0
