,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Leicester,Burnley,4,2,-2,0,0
2,Burnley,Southampton,0,1,-1,0,0
3,Newcastle,Burnley,3,1,-2,0,0
4,West Brom,Burnley,0,0,0,0,0
5,Burnley,Tottenham,0,1,-1,0,0
6,Burnley,Chelsea,0,3,-3,0,0
7,Brighton,Burnley,0,0,0,0,0
8,Burnley,Crystal Palace,1,0,1,1,0
9,Man City,Burnley,5,0,-5,0,0
10,Burnley,Everton,1,1,0,0,0
11,Arsenal,Burnley,0,1,1,1,0
12,Aston Villa,Burnley,0,0,0,0,0
13,Burnley,Wolves,2,1,1,1,0
14,Leeds,Burnley,1,0,-1,0,0
15,Burnley,Sheffield United,1,0,1,1,0
16,Burnley,Man United,0,1,-1,0,0
17,West Ham,Burnley,1,0,-1,0,0
18,Liverpool,Burnley,0,1,1,1,0
19,Burnley,Aston Villa,3,2,1,2,0
20,Chelsea,Burnley,2,0,-2,0,0
21,Burnley,Man City,0,2,-2,0,0
22,Burnley,Brighton,1,1,0,0,0
23,Crystal Palace,Burnley,0,3,3,1,0
24,Burnley,Fulham,1,1,0,0,0
25,Burnley,West Brom,0,0,0,0,0
26,Tottenham,Burnley,4,0,-4,0,0
27,Burnley,Leicester,1,1,0,0,0
28,Burnley,Arsenal,1,1,0,0,0
29,Everton,Burnley,1,2,1,1,0
30,Southampton,Burnley,3,2,-1,0,0
31,Burnley,Newcastle,1,2,-1,0,0
32,Man United,Burnley,3,1,-2,0,0
33,Wolves,Burnley,0,4,4,1,0
34,Burnley,West Ham,1,2,-1,0,0
35,Fulham,Burnley,0,2,2,1,0
36,Burnley,Leeds,0,4,-4,0,0
37,Burnley,Liverpool,0,3,-3,0,0
38,Sheffield United,Burnley,1,0,-1,0,0
