,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Chelsea,West Ham,2,1,1,1,0
2,Watford,Chelsea,1,2,1,2,0
3,Chelsea,Burnley,3,0,3,3,1
4,Swansea,Chelsea,2,2,0,0,0
5,Chelsea,Liverpool,1,2,-1,0,0
6,Arsenal,Chelsea,3,0,-3,0,0
7,Hull,Chelsea,0,2,2,1,0
8,Chelsea,Leicester,3,0,3,2,0
9,Chelsea,Man United,4,0,4,3,1
10,Southampton,Chelsea,0,2,2,4,1
11,Chelsea,Everton,5,0,5,5,1
12,Middlesbrough,Chelsea,0,1,1,6,1
13,Chelsea,Tottenham,2,1,1,7,1
14,Man City,Chelsea,1,3,2,8,1
15,Chelsea,West Brom,1,0,1,9,1
16,Sunderland,Chelsea,0,1,1,10,1
17,Crystal Palace,Chelsea,0,1,1,11,1
18,Chelsea,Bournemouth,3,0,3,12,1
19,Chelsea,Stoke,4,2,2,13,1
20,Tottenham,Chelsea,2,0,-2,0,0
21,Leicester,Chelsea,0,3,3,1,0
22,Chelsea,Hull,2,0,2,2,0
23,Liverpool,Chelsea,1,1,0,0,0
24,Chelsea,Arsenal,3,1,2,1,0
25,Burnley,Chelsea,1,1,0,0,0
26,Chelsea,Swansea,3,1,2,1,0
27,West Ham,Chelsea,1,2,1,2,0
28,Stoke,Chelsea,1,2,1,3,1
29,Chelsea,Crystal Palace,1,2,-1,0,0
30,Chelsea,Man City,2,1,1,1,0
31,Bournemouth,Chelsea,1,3,2,2,0
32,Man United,Chelsea,2,0,-2,0,0
33,Chelsea,Southampton,4,2,2,1,0
34,Everton,Chelsea,0,3,3,2,0
35,Chelsea,Middlesbrough,3,0,3,3,1
36,West Brom,Chelsea,0,1,1,4,1
37,Chelsea,Watford,4,3,1,5,1
38,Chelsea,Sunderland,5,1,4,6,1
