,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Crystal Palace,Huddersfield,0,3,-3,0,0
2,Liverpool,Crystal Palace,1,0,-1,0,0
3,Crystal Palace,Swansea,0,2,-2,0,0
4,Burnley,Crystal Palace,1,0,-1,0,0
5,Crystal Palace,Southampton,0,1,-1,0,0
6,Man City,Crystal Palace,5,0,-5,0,0
7,Man United,Crystal Palace,4,0,-4,0,0
8,Crystal Palace,Chelsea,2,1,1,1,0
9,Newcastle,Crystal Palace,1,0,-1,0,0
10,Crystal Palace,West Ham,2,2,0,0,0
11,Tottenham,Crystal Palace,1,0,-1,0,0
12,Crystal Palace,Everton,2,2,0,0,0
13,Crystal Palace,Stoke,2,1,1,1,0
14,Brighton,Crystal Palace,0,0,0,0,0
15,West Brom,Crystal Palace,0,0,0,0,0
16,Crystal Palace,Bournemouth,2,2,0,0,0
17,Crystal Palace,Watford,2,1,1,1,0
18,Leicester,Crystal Palace,0,3,3,2,0
19,Swansea,Crystal Palace,1,1,0,0,0
20,Crystal Palace,Arsenal,2,3,-1,0,0
21,Crystal Palace,Man City,0,0,0,0,0
22,Southampton,Crystal Palace,1,2,1,1,0
23,Crystal Palace,Burnley,1,0,1,2,0
24,Arsenal,Crystal Palace,4,1,-3,0,0
25,West Ham,Crystal Palace,1,1,0,0,0
26,Crystal Palace,Newcastle,1,1,0,0,0
27,Everton,Crystal Palace,3,1,-2,0,0
28,Crystal Palace,Tottenham,0,1,-1,0,0
29,Crystal Palace,Man United,2,3,-1,0,0
30,Chelsea,Crystal Palace,2,1,-1,0,0
31,Huddersfield,Crystal Palace,0,2,2,1,0
32,Crystal Palace,Liverpool,1,2,-1,0,0
33,Bournemouth,Crystal Palace,2,2,0,0,0
34,Crystal Palace,Brighton,3,2,1,1,0
35,Watford,Crystal Palace,0,0,0,0,0
36,Crystal Palace,Leicester,5,0,5,1,0
37,Stoke,Crystal Palace,1,2,1,2,0
38,Crystal Palace,West Brom,2,0,2,3,1
