,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Hull,Leicester,2,1,-1,0,0
2,Leicester,Arsenal,0,0,0,0,0
3,Leicester,Swansea,2,1,1,1,0
4,Liverpool,Leicester,4,1,-3,0,0
5,Leicester,Burnley,3,0,3,1,0
6,Man United,Leicester,4,1,-3,0,0
7,Leicester,Southampton,0,0,0,0,0
8,Chelsea,Leicester,3,0,-3,0,0
9,Leicester,Crystal Palace,3,1,2,1,0
10,Tottenham,Leicester,1,1,0,0,0
11,Leicester,West Brom,1,2,-1,0,0
12,Watford,Leicester,2,1,-1,0,0
13,Leicester,Middlesbrough,2,2,0,0,0
14,Sunderland,Leicester,2,1,-1,0,0
15,Leicester,Man City,4,2,2,1,0
16,Bournemouth,Leicester,1,0,-1,0,0
17,Stoke,Leicester,2,2,0,0,0
18,Leicester,Everton,0,2,-2,0,0
19,Leicester,West Ham,1,0,1,1,0
20,Middlesbrough,Leicester,0,0,0,0,0
21,Leicester,Chelsea,0,3,-3,0,0
22,Southampton,Leicester,3,0,-3,0,0
23,Burnley,Leicester,1,0,-1,0,0
24,Leicester,Man United,0,3,-3,0,0
25,Swansea,Leicester,2,0,-2,0,0
26,Leicester,Liverpool,3,1,2,1,0
27,Leicester,Hull,3,1,2,2,0
28,West Ham,Leicester,2,3,1,3,1
29,Leicester,Stoke,2,0,2,4,1
30,Leicester,Sunderland,2,0,2,5,1
31,Everton,Leicester,4,2,-2,0,0
32,Crystal Palace,Leicester,2,2,0,0,0
33,Arsenal,Leicester,1,0,-1,0,0
34,West Brom,Leicester,0,1,1,1,0
35,Leicester,Watford,3,0,3,2,0
36,Man City,Leicester,2,1,-1,0,0
37,Leicester,Tottenham,1,6,-5,0,0
38,Leicester,Bournemouth,1,1,0,0,0
