,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Liverpool,West Ham,4,0,4,1,0
2,Crystal Palace,Liverpool,0,2,2,2,0
3,Liverpool,Brighton,1,0,1,3,1
4,Leicester,Liverpool,1,2,1,4,1
5,Tottenham,Liverpool,1,2,1,5,1
6,Liverpool,Southampton,3,0,3,6,1
7,Chelsea,Liverpool,1,1,0,0,0
8,Liverpool,Man City,0,0,0,0,0
9,Huddersfield,Liverpool,0,1,1,1,0
10,Liverpool,Cardiff,4,1,3,2,0
11,Arsenal,Liverpool,1,1,0,0,0
12,Liverpool,Fulham,2,0,2,1,0
13,Watford,Liverpool,0,3,3,2,0
14,Liverpool,Everton,1,0,1,3,1
15,Burnley,Liverpool,1,3,2,4,1
16,Bournemouth,Liverpool,0,4,4,5,1
17,Liverpool,Man United,3,1,2,6,1
18,Wolves,Liverpool,0,2,2,7,1
19,Liverpool,Newcastle,4,0,4,8,1
20,Liverpool,Arsenal,5,1,4,9,1
21,Man City,Liverpool,2,1,-1,0,0
22,Brighton,Liverpool,0,1,1,1,0
23,Liverpool,Crystal Palace,4,3,1,2,0
24,Liverpool,Leicester,1,1,0,0,0
25,West Ham,Liverpool,1,1,0,0,0
26,Liverpool,Bournemouth,3,0,3,1,0
27,Man United,Liverpool,0,0,0,0,0
28,Liverpool,Watford,5,0,5,1,0
29,Everton,Liverpool,0,0,0,0,0
30,Liverpool,Burnley,4,2,2,1,0
31,Fulham,Liverpool,1,2,1,2,0
32,Liverpool,Tottenham,2,1,1,3,1
33,Southampton,Liverpool,1,3,2,4,1
34,Liverpool,Chelsea,2,0,2,5,1
35,Cardiff,Liverpool,0,2,2,6,1
36,Liverpool,Huddersfield,5,0,5,7,1
37,Newcastle,Liverpool,2,3,1,8,1
38,Liverpool,Wolves,2,0,2,9,1
