,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Man United,Leicester,2,1,1,1,0
2,Brighton,Man United,3,2,-1,0,0
3,Man United,Tottenham,0,3,-3,0,0
4,Burnley,Man United,0,2,2,1,0
5,Watford,Man United,1,2,1,2,0
6,Man United,Wolves,1,1,0,0,0
7,West Ham,Man United,3,1,-2,0,0
8,Man United,Newcastle,3,2,1,1,0
9,Chelsea,Man United,2,2,0,0,0
10,Man United,Everton,2,1,1,1,0
11,Bournemouth,Man United,1,2,1,2,0
12,Man City,Man United,3,1,-2,0,0
13,Man United,Crystal Palace,0,0,0,0,0
14,Southampton,Man United,2,2,0,0,0
15,Man United,Arsenal,2,2,0,0,0
16,Man United,Fulham,4,1,3,1,0
17,Liverpool,Man United,3,1,-2,0,0
18,Cardiff,Man United,1,5,4,1,0
19,Man United,Huddersfield,3,1,2,2,0
20,Man United,Bournemouth,4,1,3,3,1
21,Newcastle,Man United,0,2,2,4,1
22,Tottenham,Man United,0,1,1,5,1
23,Man United,Brighton,2,1,1,6,1
24,Man United,Burnley,2,2,0,0,0
25,Leicester,Man United,0,1,1,1,0
26,Fulham,Man United,0,3,3,2,0
27,Man United,Liverpool,0,0,0,0,0
28,Crystal Palace,Man United,1,3,2,1,0
29,Man United,Southampton,3,2,1,2,0
30,Arsenal,Man United,2,0,-2,0,0
31,Man United,Watford,2,1,1,1,0
32,Wolves,Man United,2,1,-1,0,0
33,Man United,West Ham,2,1,1,1,0
34,Everton,Man United,4,0,-4,0,0
35,Man United,Man City,0,2,-2,0,0
36,Man United,Chelsea,1,1,0,0,0
37,Huddersfield,Man United,1,1,0,0,0
38,Man United,Cardiff,0,2,-2,0,0
