,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Southampton,Watford,1,1,0,0,0
2,Man United,Southampton,2,0,-2,0,0
3,Southampton,Sunderland,1,1,0,0,0
4,Arsenal,Southampton,2,1,-1,0,0
5,Southampton,Swansea,1,0,1,1,0
6,West Ham,Southampton,0,3,3,2,0
7,Leicester,Southampton,0,0,0,0,0
8,Southampton,Burnley,3,1,2,1,0
9,Man City,Southampton,1,1,0,0,0
10,Southampton,Chelsea,0,2,-2,0,0
11,Hull,Southampton,2,1,-1,0,0
12,Southampton,Liverpool,0,0,0,0,0
13,Southampton,Everton,1,0,1,1,0
14,Crystal Palace,Southampton,3,0,-3,0,0
15,Southampton,Middlesbrough,1,0,1,1,0
16,Stoke,Southampton,0,0,0,0,0
17,Bournemouth,Southampton,1,3,2,1,0
18,Southampton,Tottenham,1,4,-3,0,0
19,Southampton,West Brom,1,2,-1,0,0
20,Everton,Southampton,3,0,-3,0,0
21,Burnley,Southampton,1,0,-1,0,0
22,Southampton,Leicester,3,0,3,1,0
23,Swansea,Southampton,2,1,-1,0,0
24,Southampton,West Ham,1,3,-2,0,0
25,Sunderland,Southampton,0,4,4,1,0
26,Watford,Southampton,3,4,1,2,0
27,Tottenham,Southampton,2,1,-1,0,0
28,Southampton,Bournemouth,0,0,0,0,0
29,Southampton,Crystal Palace,3,1,2,1,0
30,West Brom,Southampton,0,1,1,2,0
31,Southampton,Man City,0,3,-3,0,0
32,Chelsea,Southampton,4,2,-2,0,0
33,Southampton,Hull,0,0,0,0,0
34,Liverpool,Southampton,0,0,0,0,0
35,Southampton,Arsenal,0,2,-2,0,0
36,Middlesbrough,Southampton,1,2,1,1,0
37,Southampton,Man United,0,0,0,0,0
38,Southampton,Stoke,0,1,-1,0,0
