,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Newcastle,Tottenham,1,2,1,1,0
2,Tottenham,Fulham,3,1,2,2,0
3,Man United,Tottenham,0,3,3,3,1
4,Watford,Tottenham,2,1,-1,0,0
5,Tottenham,Liverpool,1,2,-1,0,0
6,Brighton,Tottenham,1,2,1,1,0
7,Huddersfield,Tottenham,0,2,2,2,0
8,Tottenham,Cardiff,1,0,1,3,1
9,West Ham,Tottenham,0,1,1,4,1
10,Tottenham,Man City,0,1,-1,0,0
11,Wolves,Tottenham,2,3,1,1,0
12,Crystal Palace,Tottenham,0,1,1,2,0
13,Tottenham,Chelsea,3,1,2,3,1
14,Arsenal,Tottenham,4,2,-2,0,0
15,Tottenham,Southampton,3,1,2,1,0
16,Leicester,Tottenham,0,2,2,2,0
17,Tottenham,Burnley,1,0,1,3,1
18,Everton,Tottenham,2,6,4,4,1
19,Tottenham,Bournemouth,5,0,5,5,1
20,Tottenham,Wolves,1,3,-2,0,0
21,Cardiff,Tottenham,0,3,3,1,0
22,Tottenham,Man United,0,1,-1,0,0
23,Fulham,Tottenham,1,2,1,1,0
24,Tottenham,Watford,2,1,1,2,0
25,Tottenham,Newcastle,1,0,1,3,1
26,Tottenham,Leicester,3,1,2,4,1
27,Burnley,Tottenham,2,1,-1,0,0
28,Chelsea,Tottenham,2,0,-2,0,0
29,Tottenham,Arsenal,1,1,0,0,0
30,Southampton,Tottenham,2,1,-1,0,0
31,Liverpool,Tottenham,2,1,-1,0,0
32,Tottenham,Crystal Palace,2,0,2,1,0
33,Tottenham,Huddersfield,4,0,4,2,0
34,Man City,Tottenham,1,0,-1,0,0
35,Tottenham,Brighton,1,0,1,1,0
36,Tottenham,West Ham,0,1,-1,0,0
37,Bournemouth,Tottenham,1,0,-1,0,0
38,Tottenham,Everton,2,2,0,0,0
