,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,West Ham,Newcastle,0,2,-2,0,0
2,Arsenal,West Ham,2,1,-1,0,0
3,West Ham,Wolves,4,0,4,1,0
4,Leicester,West Ham,0,3,3,2,0
5,Tottenham,West Ham,3,3,0,0,0
6,West Ham,Man City,1,1,0,0,0
7,Liverpool,West Ham,2,1,-1,0,0
8,West Ham,Fulham,1,0,1,1,0
9,Sheffield United,West Ham,0,1,1,2,0
10,West Ham,Aston Villa,2,1,1,3,1
11,West Ham,Man United,1,3,-2,0,0
12,Leeds,West Ham,1,2,1,1,0
13,West Ham,Crystal Palace,1,1,0,0,0
14,Chelsea,West Ham,3,0,-3,0,0
15,West Ham,Brighton,2,2,0,0,0
16,Southampton,West Ham,0,0,0,0,0
17,Everton,West Ham,0,1,1,1,0
18,West Ham,Burnley,1,0,1,2,0
19,West Ham,West Brom,2,1,1,3,1
20,Crystal Palace,West Ham,2,3,1,4,1
21,West Ham,Liverpool,1,3,-2,0,0
22,Aston Villa,West Ham,1,3,2,1,0
23,Fulham,West Ham,0,0,0,0,0
24,West Ham,Sheffield United,3,0,3,1,0
25,West Ham,Tottenham,2,1,1,2,0
26,Man City,West Ham,2,1,-1,0,0
27,West Ham,Leeds,2,0,2,1,0
28,Man United,West Ham,1,0,-1,0,0
29,West Ham,Arsenal,3,3,0,0,0
30,Wolves,West Ham,2,3,1,1,0
31,West Ham,Leicester,3,2,1,2,0
32,Newcastle,West Ham,3,2,-1,0,0
33,West Ham,Chelsea,0,1,-1,0,0
34,Burnley,West Ham,1,2,1,1,0
35,West Ham,Everton,0,1,-1,0,0
36,Brighton,West Ham,1,1,0,0,0
37,West Brom,West Ham,1,3,2,1,0
38,West Ham,Southampton,3,0,3,2,0
