HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results
Arsenal,Crystal Palace,2,1,1,1,0,0,0,Win
Leicester,Everton,2,2,0,1,0,0,0,Draw
Man United,Swansea,1,2,-1,0,1,0,0,Loss
QPR,Hull,0,1,-1,0,2,0,0,Loss
Stoke,Aston Villa,0,1,-1,0,3,0,1,Loss
West Brom,Sunderland,2,2,0,0,3,0,1,Draw
West Ham,Tottenham,0,1,-1,0,4,0,1,Loss
Liverpool,Southampton,2,1,1,1,0,0,0,Win
Newcastle,Man City,0,2,-2,0,1,0,0,Loss
Burnley,Chelsea,1,3,-2,0,2,0,0,Loss
Aston Villa,Newcastle,0,0,0,0,2,0,0,Draw
Chelsea,Leicester,2,0,2,1,0,0,0,Win
Crystal Palace,West Ham,1,3,-2,0,1,0,0,Loss
Everton,Arsenal,2,2,0,0,1,0,0,Draw
Southampton,West Brom,0,0,0,0,1,0,0,Draw
Swansea,Burnley,1,0,1,1,0,0,0,Win
Hull,Stoke,1,1,0,1,0,0,0,Draw
Sunderland,Man United,1,1,0,1,0,0,0,Draw
Tottenham,QPR,4,0,4,2,0,0,0,Win
Man City,Liverpool,3,1,2,3,0,1,0,Win
Burnley,Man United,0,0,0,3,0,1,0,Draw
Everton,Chelsea,3,6,-3,0,1,0,0,Loss
Man City,Stoke,0,1,-1,0,2,0,0,Loss
Newcastle,Crystal Palace,3,3,0,0,2,0,0,Draw
QPR,Sunderland,1,0,1,1,0,0,0,Win
Swansea,West Brom,3,0,3,2,0,0,0,Win
West Ham,Southampton,1,3,-2,0,1,0,0,Loss
Aston Villa,Hull,2,1,1,1,0,0,0,Win
Leicester,Arsenal,1,1,0,1,0,0,0,Draw
Tottenham,Liverpool,0,3,-3,0,1,0,0,Loss
Arsenal,Man City,2,2,0,0,1,0,0,Draw
Chelsea,Swansea,4,2,2,1,0,0,0,Win
Crystal Palace,Burnley,0,0,0,1,0,0,0,Draw
Liverpool,Aston Villa,0,1,-1,0,1,0,0,Loss
Southampton,Newcastle,4,0,4,1,0,0,0,Win
Stoke,Leicester,0,1,-1,0,1,0,0,Loss
Sunderland,Tottenham,2,2,0,0,1,0,0,Draw
West Brom,Everton,0,2,-2,0,2,0,0,Loss
Man United,QPR,4,0,4,1,0,0,0,Win
Hull,West Ham,2,2,0,1,0,0,0,Draw
Aston Villa,Arsenal,0,3,-3,0,1,0,0,Loss
Burnley,Sunderland,0,0,0,0,1,0,0,Draw
Newcastle,Hull,2,2,0,0,1,0,0,Draw
QPR,Stoke,2,2,0,0,1,0,0,Draw
Swansea,Southampton,0,1,-1,0,2,0,0,Loss
West Ham,Liverpool,3,1,2,1,0,0,0,Win
Everton,Crystal Palace,2,3,-1,0,1,0,0,Loss
Leicester,Man United,5,3,2,1,0,0,0,Win
Man City,Chelsea,1,1,0,1,0,0,0,Draw
Tottenham,West Brom,0,1,-1,0,1,0,0,Loss
Arsenal,Tottenham,1,1,0,0,1,0,0,Draw
Chelsea,Aston Villa,3,0,3,1,0,0,0,Win
Crystal Palace,Leicester,2,0,2,2,0,0,0,Win
Hull,Man City,2,4,-2,0,1,0,0,Loss
Liverpool,Everton,1,1,0,0,1,0,0,Draw
Man United,West Ham,2,1,1,1,0,0,0,Win
Southampton,QPR,2,1,1,2,0,0,0,Win
Sunderland,Swansea,0,0,0,2,0,0,0,Draw
West Brom,Burnley,4,0,4,3,0,1,0,Win
Stoke,Newcastle,1,0,1,4,0,1,0,Win
Aston Villa,Man City,0,2,-2,0,1,0,0,Loss
Hull,Crystal Palace,2,0,2,1,0,0,0,Win
Leicester,Burnley,2,2,0,1,0,0,0,Draw
Liverpool,West Brom,2,1,1,2,0,0,0,Win
Sunderland,Stoke,3,1,2,3,0,1,0,Win
Swansea,Newcastle,2,2,0,3,0,1,0,Draw
Chelsea,Arsenal,2,0,2,4,0,1,0,Win
Man United,Everton,2,1,1,5,0,1,0,Win
Tottenham,Southampton,1,0,1,6,0,1,0,Win
West Ham,QPR,2,0,2,7,0,1,0,Win
