HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,Results,HomeWinStreak,AwayWinStreak,TGSH,TGSA
Burnley,Swansea,0,1,-1,0,0,0,0,0
Crystal Palace,West Brom,0,1,-1,0,0,0,0,0
Everton,Tottenham,1,1,0,1,0,0,0,0
Hull,Leicester,2,1,1,2,1,0,0,0
Man City,Sunderland,2,1,1,2,2,0,0,0
Middlesbrough,Stoke,1,1,0,1,0,0,0,0
Southampton,Watford,1,1,0,1,0,0,0,0
Arsenal,Liverpool,3,4,-1,0,0,0,0,0
Bournemouth,Man United,1,3,-2,0,0,0,0,0
Chelsea,West Ham,2,1,1,2,1,0,0,0
Man United,Southampton,2,0,2,2,2,0,0,0
Burnley,Liverpool,2,0,2,2,3,0,1,0
Leicester,Arsenal,0,0,0,1,0,0,0,0
Stoke,Man City,1,4,-3,0,0,0,0,0
Swansea,Hull,0,2,-2,0,0,0,0,0
Tottenham,Crystal Palace,1,0,1,2,1,0,0,0
Watford,Chelsea,1,2,-1,0,0,0,0,0
West Brom,Everton,1,2,-1,0,0,0,0,0
Sunderland,Middlesbrough,1,2,-1,0,0,0,0,0
West Ham,Bournemouth,1,0,1,2,1,0,0,0
Chelsea,Burnley,3,0,3,2,2,0,0,0
Crystal Palace,Bournemouth,1,1,0,1,0,0,0,0
Everton,Stoke,1,0,1,2,1,0,0,0
Hull,Man United,0,1,-1,0,0,0,0,0
Leicester,Swansea,2,1,1,2,1,0,0,0
Southampton,Sunderland,1,1,0,1,0,0,0,0
Tottenham,Liverpool,1,1,0,1,0,0,0,0
Watford,Arsenal,1,3,-2,0,0,0,0,0
Man City,West Ham,3,1,2,2,1,0,0,0
West Brom,Middlesbrough,0,0,0,1,0,0,0,0
Arsenal,Southampton,2,1,1,2,1,0,0,0
Bournemouth,West Brom,1,0,1,2,2,0,0,0
Burnley,Hull,1,1,0,1,0,0,0,0
Liverpool,Leicester,4,1,3,2,1,0,0,0
Man United,Man City,1,2,-1,0,0,0,0,0
Middlesbrough,Crystal Palace,1,2,-1,0,0,0,0,0
Stoke,Tottenham,0,4,-4,0,0,0,0,0
West Ham,Watford,2,4,-2,0,0,0,0,0
Swansea,Chelsea,2,2,0,1,0,0,0,0
Sunderland,Everton,0,3,-3,0,0,0,0,0
Chelsea,Liverpool,1,2,-1,0,0,0,0,0
Everton,Middlesbrough,3,1,2,2,1,0,0,0
Hull,Arsenal,1,4,-3,0,0,0,0,0
Leicester,Burnley,3,0,3,2,1,0,0,0
Man City,Bournemouth,4,0,4,2,2,0,0,0
West Brom,West Ham,4,2,2,2,3,0,1,0
Crystal Palace,Stoke,4,1,3,2,4,0,1,0
Southampton,Swansea,1,0,1,2,5,0,1,0
Tottenham,Sunderland,1,0,1,2,6,0,1,0
Watford,Man United,3,1,2,2,7,0,1,0
Arsenal,Chelsea,3,0,3,2,8,0,1,0
Bournemouth,Everton,1,0,1,2,9,0,1,0
Liverpool,Hull,5,1,4,2,10,0,1,0
Man United,Leicester,4,1,3,2,11,0,1,0
Middlesbrough,Tottenham,1,2,-1,0,0,0,0,0
Stoke,West Brom,1,1,0,1,0,0,0,0
Sunderland,Crystal Palace,2,3,-1,0,0,0,0,0
Swansea,Man City,1,3,-2,0,0,0,0,0
West Ham,Southampton,0,3,-3,0,0,0,0,0
Burnley,Watford,2,0,2,2,1,0,0,0
Everton,Crystal Palace,1,1,0,1,0,0,0,0
Hull,Chelsea,0,2,-2,0,0,0,0,0
Sunderland,West Brom,1,1,0,1,0,0,0,0
Swansea,Liverpool,1,2,-1,0,0,0,0,0
Watford,Bournemouth,2,2,0,1,0,0,0,0
West Ham,Middlesbrough,1,1,0,1,0,0,0,0
Burnley,Arsenal,0,1,-1,0,0,0,0,0
Leicester,Southampton,0,0,0,1,0,0,0,0
Man United,Stoke,1,1,0,1,0,0,0,0
Tottenham,Man City,2,0,2,2,1,0,0,0
Arsenal,Swansea,3,2,1,2,2,0,0,0
Bournemouth,Hull,6,1,5,2,3,0,1,0
Chelsea,Leicester,3,0,3,2,4,0,1,0
Crystal Palace,West Ham,0,1,-1,0,0,0,0,0
Man City,Everton,1,1,0,1,0,0,0,0
Stoke,Sunderland,2,0,2,2,1,0,0,0
West Brom,Tottenham,1,1,0,1,0,0,0,0
Middlesbrough,Watford,0,1,-1,0,0,0,0,0
Southampton,Burnley,3,1,2,2,1,0,0,0
Liverpool,Man United,0,0,0,1,0,0,0,0
Arsenal,Middlesbrough,0,0,0,1,0,0,0,0
Bournemouth,Tottenham,0,0,0,1,0,0,0,0
Burnley,Everton,2,1,1,2,1,0,0,0
Hull,Stoke,0,2,-2,0,0,0,0,0
Leicester,Crystal Palace,3,1,2,2,1,0,0,0
Liverpool,West Brom,2,1,1,2,2,0,0,0
Swansea,Watford,0,0,0,1,0,0,0,0
West Ham,Sunderland,1,0,1,2,1,0,0,0
Chelsea,Man United,4,0,4,2,2,0,0,0
Man City,Southampton,1,1,0,1,0,0,0,0
