HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Arsenal,Crystal Palace,2,1,1,1,0,0,0,Win,J Moss,1.25,6.5,15.0,1.25,5.5,12.0
Leicester,Everton,2,2,0,1,0,0,0,Draw,M Jones,3.2,3.4,2.4,2.9,3.2,2.4
Man United,Swansea,1,2,-1,0,1,0,0,Loss,M Dean,1.36,5.0,11.0,1.4,4.75,9.0
QPR,Hull,0,1,-1,0,2,0,0,Loss,C Pawson,2.5,3.3,3.1,2.5,3.1,2.85
Stoke,Aston Villa,0,1,-1,0,3,0,1,Loss,A Taylor,1.95,3.5,4.5,1.95,3.3,3.9
West Brom,Sunderland,2,2,0,0,3,0,1,Draw,N Swarbrick,2.25,3.4,3.5,2.3,3.25,3.1
West Ham,Tottenham,0,1,-1,0,4,0,1,Loss,C Foy,3.8,3.6,2.05,3.5,3.4,2.05
Liverpool,Southampton,2,1,1,1,0,0,0,Win,M Clattenburg,1.33,5.75,10.0,1.36,4.5,8.75
Newcastle,Man City,0,2,-2,0,1,0,0,Loss,M Atkinson,5.25,4.33,1.67,4.75,3.8,1.67
Burnley,Chelsea,1,3,-2,0,2,0,0,Loss,M Oliver,9.0,5.0,1.4,7.5,4.6,1.4
Aston Villa,Newcastle,0,0,0,0,2,0,0,Draw,M Dean,2.5,3.4,3.0,2.6,3.25,2.9
Chelsea,Leicester,2,0,2,1,0,0,0,Win,L Mason,1.2,7.5,17.0,1.25,6.25,12.5
Crystal Palace,West Ham,1,3,-2,0,1,0,0,Loss,M Clattenburg,2.5,3.3,3.1,2.5,3.0,2.95
Everton,Arsenal,2,2,0,0,1,0,0,Draw,K Friend,2.8,3.4,2.7,2.75,3.25,2.7
Southampton,West Brom,0,0,0,0,1,0,0,Draw,R East,1.85,3.7,4.75,1.87,3.75,4.2
Swansea,Burnley,1,0,1,1,0,0,0,Win,C Pawson,1.65,4.0,6.0,1.7,3.6,5.75
Hull,Stoke,1,1,0,1,0,0,0,Draw,J Moss,2.5,3.25,3.2,2.55,3.2,2.95
Sunderland,Man United,1,1,0,1,0,0,0,Draw,M Atkinson,5.0,4.0,1.75,4.4,3.75,1.83
Tottenham,QPR,4,0,4,2,0,0,0,Win,A Taylor,1.45,4.75,8.0,1.48,4.25,7.75
Man City,Liverpool,3,1,2,3,0,1,0,Win,M Oliver,1.85,4.0,4.33,1.87,3.9,4.0
Burnley,Man United,0,0,0,3,0,1,0,Draw,C Foy,6.0,4.2,1.62,5.75,4.0,1.62
Everton,Chelsea,3,6,-3,0,1,0,0,Loss,J Moss,3.75,3.3,2.2,3.5,3.3,2.2
Man City,Stoke,0,1,-1,0,2,0,0,Loss,L Mason,1.18,8.0,18.0,1.18,6.5,14.5
Newcastle,Crystal Palace,3,3,0,0,2,0,0,Draw,M Jones,1.75,3.75,5.25,1.75,3.5,4.75
QPR,Sunderland,1,0,1,1,0,0,0,Win,R Madley,2.4,3.25,3.3,2.45,3.2,2.85
Swansea,West Brom,3,0,3,2,0,0,0,Win,P Tierney,1.85,3.6,4.75,1.85,3.4,4.2
West Ham,Southampton,1,3,-2,0,1,0,0,Loss,M Dean,2.8,3.4,2.7,2.6,3.2,2.7
Aston Villa,Hull,2,1,1,1,0,0,0,Win,M Clattenburg,2.3,3.3,3.5,2.35,3.1,3.1
Leicester,Arsenal,1,1,0,1,0,0,0,Draw,A Taylor,4.75,3.75,1.83,4.33,3.4,1.83
Tottenham,Liverpool,0,3,-3,0,1,0,0,Loss,P Dowd,2.7,3.5,2.7,2.7,3.2,2.7
