Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Arsenal,0,2,1,-1,0,0,Loss,J Moss
West Ham,1,1,3,-2,0,0,Loss,M Clattenburg
Newcastle,0,3,3,0,0,0,Draw,M Jones
Burnley,1,0,0,0,0,0,Draw,M Dean
Everton,0,2,3,1,1,0,Win,M Oliver
Leicester,1,2,0,2,2,0,Win,K Stroud
Hull,0,2,0,-2,0,0,Loss,M Dean
Chelsea,1,1,2,-1,0,0,Loss,C Pawson
West Brom,0,2,2,0,0,0,Draw,M Clattenburg
Sunderland,1,1,3,-2,0,0,Loss,P Dowd
Man United,0,1,0,-1,0,0,Loss,C Foy
Liverpool,1,3,1,2,1,0,Win,J Moss
Swansea,0,1,1,0,0,0,Draw,M Atkinson
Aston Villa,1,0,1,-1,0,0,Loss,M Oliver
Tottenham,0,0,0,0,0,0,Draw,L Mason
Stoke,1,1,1,0,0,0,Draw,K Friend
Man City,0,3,0,-3,0,0,Loss,P Dowd
Southampton,1,1,3,-2,0,0,Loss,M Dean
QPR,0,0,0,0,0,0,Draw,M Jones
Aston Villa,0,0,0,0,0,0,Draw,R Madley
Tottenham,1,2,1,1,1,0,Win,A Taylor
Burnley,0,2,3,1,2,0,Win,P Dowd
Everton,1,0,1,-1,0,0,Loss,R East
Leicester,0,0,1,1,1,0,Win,L Mason
Newcastle,1,1,1,0,0,0,Draw,A Marriner
Arsenal,1,1,2,-1,0,0,Loss,M Clattenburg
West Ham,0,1,3,2,1,0,Win,M Dean
Southampton,0,1,0,-1,0,0,Loss,M Atkinson
QPR,1,3,1,2,1,0,Win,L Mason
Stoke,0,1,2,1,2,0,Win,A Marriner
Man City,1,2,1,1,3,1,Win,M Oliver
Sunderland,0,1,4,3,4,1,Win,A Taylor
West Brom,1,0,2,-2,0,0,Loss,J Moss
Hull,1,0,2,-2,0,0,Loss,M Clattenburg
Chelsea,0,1,0,-1,0,0,Loss,K Friend
Man United,1,1,2,-1,0,0,Loss,M Oliver
Liverpool,0,1,3,2,1,0,Win,J Moss
Swansea,1,1,0,1,2,0,Win,C Pawson
Norwich,0,1,3,2,1,0,Win,S Hooper
Arsenal,1,1,2,-1,0,0,Loss,L Mason
Aston Villa,1,2,1,1,1,0,Win,K Stroud
Chelsea,0,1,2,1,2,0,Win,C Pawson
Man City,1,0,1,-1,0,0,Loss,M Jones
Tottenham,0,1,0,-1,0,0,Loss,M Oliver
Watford,0,0,1,1,1,0,Win,A Taylor
West Brom,1,2,0,2,2,0,Win,J Moss
West Ham,1,1,3,-2,0,0,Loss,M Clattenburg
Leicester,0,1,0,-1,0,0,Loss,M Dean
Man United,1,0,0,0,0,0,Draw,M Jones
Liverpool,0,1,2,1,1,0,Win,N Swarbrick
Sunderland,1,0,1,-1,0,0,Loss,M Atkinson
Newcastle,1,5,1,4,1,0,Win,S Attwell
Everton,0,1,1,0,0,0,Draw,C Pawson
