Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Everton,1,2,2,0,0,0,Draw,M Jones
Chelsea,0,2,0,-2,0,0,Loss,L Mason
Arsenal,1,1,1,0,0,0,Draw,A Taylor
Stoke,0,0,1,1,1,0,Win,M Oliver
Man United,1,5,3,2,2,0,Win,M Clattenburg
Crystal Palace,0,2,0,-2,0,0,Loss,K Stroud
Burnley,1,2,2,0,0,0,Draw,P Dowd
Newcastle,0,1,0,-1,0,0,Loss,M Atkinson
Swansea,0,2,0,-2,0,0,Loss,M Jones
West Brom,1,0,1,-1,0,0,Loss,S Attwell
Southampton,0,2,0,-2,0,0,Loss,M Oliver
Sunderland,1,0,0,0,0,0,Draw,R Madley
QPR,0,3,2,-1,0,0,Loss,R East
Liverpool,1,1,3,-2,0,0,Loss,L Mason
Aston Villa,0,2,1,-1,0,0,Loss,C Pawson
Man City,1,0,1,-1,0,0,Loss,J Moss
West Ham,0,2,0,-2,0,0,Loss,M Atkinson
Tottenham,1,1,2,-1,0,0,Loss,N Swarbrick
Hull,0,0,1,1,1,0,Win,P Dowd
Liverpool,0,2,2,0,0,0,Draw,M Jones
Aston Villa,1,1,0,1,1,0,Win,M Oliver
Stoke,1,0,1,-1,0,0,Loss,A Marriner
Man United,0,3,1,-2,0,0,Loss,M Atkinson
Crystal Palace,1,0,1,-1,0,0,Loss,L Mason
Arsenal,0,2,1,-1,0,0,Loss,M Jones
Everton,0,2,2,0,0,0,Draw,P Dowd
Man City,0,2,0,-2,0,0,Loss,R Madley
Hull,1,0,0,0,0,0,Draw,J Moss
Tottenham,0,4,3,-1,0,0,Loss,M Dean
West Ham,1,2,1,1,1,0,Win,M Clattenburg
West Brom,0,2,3,1,2,0,Win,M Atkinson
Swansea,1,2,0,2,3,1,Win,L Probert
Burnley,0,0,1,1,4,1,Win,A Taylor
Chelsea,1,1,3,-2,0,0,Loss,M Clattenburg
Newcastle,1,3,0,3,1,0,Win,M Dean
Southampton,1,2,0,2,2,0,Win,R East
Sunderland,0,0,0,0,0,0,Draw,M Atkinson
QPR,1,5,1,4,1,0,Win,M Oliver
Sunderland,1,4,2,2,1,0,Win,L Mason
West Ham,0,1,2,1,2,0,Win,A Taylor
Tottenham,1,1,1,0,0,0,Draw,M Atkinson
Bournemouth,0,1,1,0,0,0,Draw,N Swarbrick
Aston Villa,1,3,2,1,1,0,Win,M Dean
Stoke,0,2,2,0,0,0,Draw,A Marriner
Arsenal,1,2,5,-3,0,0,Loss,C Pawson
Norwich,0,1,2,1,1,0,Win,M Clattenburg
Southampton,0,2,2,0,0,0,Draw,P Tierney
Crystal Palace,1,1,0,1,1,0,Win,M Dean
West Brom,0,2,3,1,2,0,Win,A Taylor
Watford,1,2,1,1,3,1,Win,R East
Newcastle,0,0,3,3,4,1,Win,M Jones
Man United,1,1,1,0,0,0,Draw,C Pawson
Swansea,0,0,3,3,1,0,Win,M Oliver
Chelsea,1,2,1,1,2,0,Win,M Clattenburg
Everton,0,2,3,1,3,1,Win,J Moss
Liverpool,0,1,0,-1,0,0,Loss,M Atkinson
Man City,1,0,0,0,0,0,Draw,C Pawson
Bournemouth,1,0,0,0,0,0,Draw,A Marriner
Tottenham,0,0,1,1,1,0,Win,L Mason
Aston Villa,0,1,1,0,0,0,Draw,R East
Stoke,1,3,0,3,1,0,Win,M Dean
Liverpool,1,2,0,2,2,0,Win,A Marriner
Man City,0,1,3,2,3,1,Win,A Taylor
Arsenal,0,2,1,-1,0,0,Loss,M Atkinson
Norwich,1,1,0,1,1,0,Win,N Swarbrick
West Brom,1,2,2,0,0,0,Draw,M Clattenburg
Watford,0,0,1,1,1,0,Win,J Moss
Newcastle,1,1,0,1,2,0,Win,C Pawson
Crystal Palace,0,0,1,1,3,1,Win,M Jones
Southampton,1,1,0,1,4,1,Win,M Oliver
Sunderland,0,0,2,2,5,1,Win,A Taylor
West Ham,1,2,2,0,0,0,Draw,J Moss
Swansea,1,4,0,4,1,0,Win,M Clattenburg
Man United,0,1,1,0,0,0,Draw,M Oliver
Everton,1,3,1,2,1,0,Win,A Marriner
Chelsea,0,1,1,0,0,0,Draw,C Pawson
Hull,0,2,1,-1,0,0,Loss,M Dean
Arsenal,1,0,0,0,0,0,Draw,M Clattenburg
