Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Newcastle,0,0,2,2,1,0,Win,M Atkinson
Liverpool,1,3,1,2,2,0,Win,M Oliver
Stoke,1,0,1,-1,0,0,Loss,L Mason
Arsenal,0,2,2,0,0,0,Draw,M Clattenburg
Chelsea,1,1,1,0,0,0,Draw,M Dean
Hull,0,2,4,2,1,0,Win,A Taylor
Aston Villa,0,0,2,2,2,0,Win,C Foy
Tottenham,1,4,1,3,3,1,Win,J Moss
West Ham,0,2,1,-1,0,0,Loss,M Atkinson
Man United,1,1,0,1,1,0,Win,M Oliver
QPR,0,2,2,0,0,0,Draw,M Dean
Swansea,1,2,1,1,1,0,Win,N Swarbrick
Southampton,0,0,3,3,2,0,Win,M Jones
Sunderland,0,1,4,3,3,1,Win,C Pawson
Everton,1,1,0,1,4,1,Win,A Marriner
Leicester,0,0,1,1,5,1,Win,J Moss
Crystal Palace,1,3,0,3,6,1,Win,P Dowd
West Brom,0,1,3,2,7,1,Win,M Clattenburg
Burnley,1,2,2,0,0,0,Draw,K Friend
Sunderland,1,3,2,1,1,0,Win,R East
Everton,0,1,1,0,0,0,Draw,M Atkinson
Arsenal,1,0,2,-2,0,0,Loss,M Dean
Chelsea,0,1,1,0,0,0,Draw,M Clattenburg
Hull,1,1,1,0,0,0,Draw,J Moss
Stoke,0,1,4,3,1,0,Win,L Mason
Newcastle,1,5,0,5,2,0,Win,C Foy
Liverpool,0,2,1,-1,0,0,Loss,M Clattenburg
Leicester,1,2,0,2,1,0,Win,R Madley
Burnley,0,1,0,-1,0,0,Loss,A Marriner
West Brom,1,3,0,3,1,0,Win,N Swarbrick
Crystal Palace,0,2,1,-1,0,0,Loss,M Oliver
Man United,0,4,2,-2,0,0,Loss,M Clattenburg
West Ham,1,2,0,2,1,0,Win,A Taylor
Aston Villa,1,3,2,1,2,0,Win,M Dean
Tottenham,0,0,1,1,3,1,Win,A Marriner
QPR,1,6,0,6,4,1,Win,M Dean
Swansea,0,2,4,2,5,1,Win,M Clattenburg
Southampton,1,2,0,2,6,1,Win,C Foy
West Brom,0,0,3,3,1,0,Win,M Dean
Chelsea,1,3,0,3,2,0,Win,M Atkinson
Everton,0,0,2,2,3,1,Win,A Taylor
Watford,1,2,0,2,4,1,Win,M Clattenburg
Crystal Palace,0,0,1,1,5,1,Win,M Jones
West Ham,1,1,2,-1,0,0,Loss,R Madley
Tottenham,0,4,1,-3,0,0,Loss,M Clattenburg
Newcastle,1,6,1,5,1,0,Win,K Friend
Bournemouth,1,5,1,4,2,0,Win,M Dean
Man United,0,0,0,0,0,0,Draw,M Clattenburg
Norwich,1,2,1,1,1,0,Win,R Madley
Aston Villa,0,0,0,0,0,0,Draw,C Pawson
Liverpool,1,1,4,-3,0,0,Loss,J Moss
Southampton,1,3,1,2,1,0,Win,R East
Stoke,0,2,0,-2,0,0,Loss,M Atkinson
Swansea,1,2,1,1,1,0,Win,R Madley
Arsenal,0,2,1,-1,0,0,Loss,A Marriner
Sunderland,1,4,1,3,1,0,Win,A Taylor
Leicester,0,0,0,0,0,0,Draw,C Pawson
Watford,0,1,2,1,1,0,Win,M Atkinson
Everton,1,0,0,0,0,0,Draw,R East
Crystal Palace,1,4,0,4,1,0,Win,J Moss
West Ham,0,2,2,0,0,0,Draw,C Pawson
Sunderland,0,0,1,1,1,0,Win,S Attwell
Leicester,1,1,3,-2,0,0,Loss,A Taylor
Tottenham,1,1,2,-1,0,0,Loss,M Clattenburg
Liverpool,0,3,0,-3,0,0,Loss,M Atkinson
Aston Villa,1,4,0,4,1,0,Win,L Mason
Norwich,0,0,0,0,0,0,Draw,J Moss
Man United,1,0,1,-1,0,0,Loss,M Oliver
Bournemouth,0,0,4,4,1,0,Win,R Madley
West Brom,1,2,1,1,2,0,Win,M Jones
Chelsea,0,0,3,3,3,1,Win,M Dean
Newcastle,0,1,1,0,0,0,Draw,K Friend
Stoke,1,4,0,4,1,0,Win,R Madley
Southampton,0,4,2,-2,0,0,Loss,A Marriner
Arsenal,1,2,2,0,0,0,Draw,A Taylor
Swansea,0,1,1,0,0,0,Draw,M Dean
Sunderland,1,2,1,1,1,0,Win,R Madley
Stoke,0,1,4,3,2,0,Win,M Dean
West Ham,1,3,1,2,3,1,Win,A Marriner
Man United,0,1,2,1,4,1,Win,M Clattenburg
Bournemouth,1,4,0,4,5,1,Win,J Moss
Swansea,0,1,3,2,6,1,Win,N Swarbrick
Tottenham,0,2,0,-2,0,0,Loss,A Marriner
