Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Liverpool,0,2,1,-1,0,0,Loss,M Clattenburg
West Brom,1,0,0,0,0,0,Draw,R East
West Ham,0,1,3,2,1,0,Win,M Dean
Newcastle,1,4,0,4,2,0,Win,C Foy
Swansea,0,0,1,1,3,1,Win,J Moss
QPR,1,2,1,1,4,1,Win,M Clattenburg
Tottenham,0,1,0,-1,0,0,Loss,M Jones
Sunderland,1,8,0,8,1,0,Win,A Marriner
Stoke,1,1,0,1,2,0,Win,J Moss
Hull,0,0,1,1,3,1,Win,M Atkinson
Leicester,1,2,0,2,4,1,Win,M Oliver
Aston Villa,0,1,1,0,0,0,Draw,P Dowd
Man City,1,0,3,-3,0,0,Loss,M Jones
Arsenal,0,1,0,-1,0,0,Loss,A Marriner
Man United,1,1,2,-1,0,0,Loss,K Friend
Burnley,0,1,0,-1,0,0,Loss,M Clattenburg
Everton,1,3,0,3,1,0,Win,J Moss
Crystal Palace,0,1,3,2,2,0,Win,M Dean
Chelsea,1,1,1,0,0,0,Draw,A Taylor
Arsenal,1,2,0,2,1,0,Win,C Pawson
Man United,0,0,1,1,2,0,Win,P Dowd
Newcastle,0,1,2,1,3,1,Win,R Madley
Swansea,1,0,1,-1,0,0,Loss,M Oliver
QPR,0,0,1,1,1,0,Win,R East
West Ham,1,0,0,0,0,0,Draw,C Pawson
Liverpool,1,0,2,-2,0,0,Loss,K Friend
West Brom,0,1,0,-1,0,0,Loss,P Dowd
Crystal Palace,1,1,0,1,1,0,Win,M Atkinson
Chelsea,0,1,1,0,0,0,Draw,M Dean
Burnley,1,2,0,2,1,0,Win,R East
Everton,0,1,0,-1,0,0,Loss,L Mason
Hull,1,2,0,2,1,0,Win,K Friend
Stoke,0,2,1,-1,0,0,Loss,M Clattenburg
Tottenham,1,2,2,0,0,0,Draw,J Moss
Sunderland,0,2,1,-1,0,0,Loss,M Jones
Leicester,0,2,0,-2,0,0,Loss,R East
Aston Villa,1,6,1,5,1,0,Win,R Madley
Man City,0,2,0,-2,0,0,Loss,C Foy
Newcastle,0,2,2,0,0,0,Draw,C Pawson
Everton,1,0,3,-3,0,0,Loss,M Oliver
Watford,0,0,0,0,0,0,Draw,A Marriner
Norwich,1,3,0,3,1,0,Win,J Moss
West Brom,0,0,0,0,0,0,Draw,S Attwell
Man United,1,2,3,-1,0,0,Loss,M Clattenburg
Swansea,1,3,1,2,1,0,Win,R East
Chelsea,0,1,3,2,2,0,Win,R Madley
Leicester,1,2,2,0,0,0,Draw,P Tierney
Liverpool,0,1,1,0,0,0,Draw,A Marriner
Bournemouth,1,2,0,2,1,0,Win,C Pawson
Sunderland,0,0,1,1,2,0,Win,M Jones
Stoke,1,0,1,-1,0,0,Loss,L Mason
Man City,0,3,1,-2,0,0,Loss,R East
Aston Villa,1,1,1,0,0,0,Draw,A Taylor
Crystal Palace,0,1,0,-1,0,0,Loss,M Dean
Tottenham,1,0,2,-2,0,0,Loss,K Friend
Arsenal,1,4,0,4,1,0,Win,J Moss
West Ham,0,2,1,-1,0,0,Loss,M Oliver
Norwich,0,1,0,-1,0,0,Loss,M Clattenburg
Watford,1,2,0,2,1,0,Win,C Pawson
West Brom,1,3,0,3,2,0,Win,M Atkinson
Man United,0,0,1,1,3,1,Win,M Jones
Arsenal,0,0,0,0,0,0,Draw,L Mason
West Ham,1,1,0,1,1,0,Win,M Clattenburg
Swansea,0,0,1,1,2,0,Win,J Moss
Chelsea,1,1,2,-1,0,0,Loss,M Atkinson
Bournemouth,0,2,0,-2,0,0,Loss,M Dean
Sunderland,1,1,1,0,0,0,Draw,N Swarbrick
Stoke,0,1,2,1,1,0,Win,L Mason
Liverpool,1,3,2,1,2,0,Win,R East
Leicester,0,1,0,-1,0,0,Loss,M Oliver
Newcastle,1,3,1,2,1,0,Win,R Madley
Everton,0,1,1,0,0,0,Draw,C Pawson
Aston Villa,0,2,4,2,1,0,Win,N Swarbrick
Man City,1,4,2,2,2,0,Win,A Marriner
Tottenham,0,1,2,1,3,1,Win,J Moss
Crystal Palace,1,4,1,3,4,1,Win,M Oliver
Watford,1,1,1,0,0,0,Draw,R East
Man United,0,2,0,-2,0,0,Loss,A Taylor
Sunderland,1,1,1,0,0,0,Draw,L Mason
Arsenal,0,2,1,-1,0,0,Loss,R Madley
Swansea,1,1,0,1,1,0,Win,M Jones
West Ham,0,0,3,3,2,0,Win,J Moss
Leicester,0,0,0,0,0,0,Draw,M Atkinson
Burnley,1,3,1,2,1,0,Win,M Dean
Man City,0,1,1,0,0,0,Draw,M Clattenburg
Chelsea,1,0,2,-2,0,0,Loss,M Jones
Hull,0,2,1,-1,0,0,Loss,G Scott
Liverpool,1,0,0,0,0,0,Draw,M Clattenburg
Everton,1,1,0,1,1,0,Win,C Pawson
Crystal Palace,0,3,0,-3,0,0,Loss,N Swarbrick
Middlesbrough,1,1,0,1,1,0,Win,S Attwell
Stoke,0,0,0,0,0,0,Draw,A Taylor
Bournemouth,0,1,3,2,1,0,Win,M Clattenburg
Tottenham,1,1,4,-3,0,0,Loss,M Dean
West Brom,1,1,2,-1,0,0,Loss,M Jones
Everton,0,3,0,-3,0,0,Loss,K Friend
Burnley,0,1,0,-1,0,0,Loss,P Tierney
Leicester,1,3,0,3,1,0,Win,M Oliver
Swansea,0,2,1,-1,0,0,Loss,R East
West Ham,1,1,3,-2,0,0,Loss,G Scott
Sunderland,0,0,4,4,1,0,Win,P Tierney
Watford,0,3,4,1,2,0,Win,J Moss
Tottenham,0,2,1,-1,0,0,Loss,A Marriner
Bournemouth,1,0,0,0,0,0,Draw,J Moss
Crystal Palace,1,3,1,2,1,0,Win,R East
West Brom,0,0,1,1,2,0,Win,C Kavanagh
Man City,1,0,3,-3,0,0,Loss,N Swarbrick
Chelsea,0,4,2,-2,0,0,Loss,L Mason
Hull,1,0,0,0,0,0,Draw,M Dean
Liverpool,0,0,0,0,0,0,Draw,R Madley
Arsenal,1,0,2,-2,0,0,Loss,J Moss
Middlesbrough,0,1,2,1,1,0,Win,A Taylor
Man United,1,0,0,0,0,0,Draw,M Dean
Stoke,1,0,1,-1,0,0,Loss,L Probert
Swansea,1,0,0,0,0,0,Draw,M Jones
West Ham,1,3,2,1,1,0,Win,L Mason
Huddersfield,0,0,0,0,0,0,Draw,S Attwell
Watford,1,0,2,-2,0,0,Loss,L Probert
Crystal Palace,0,0,1,1,1,0,Win,R Madley
Man United,1,0,1,-1,0,0,Loss,C Pawson
Stoke,0,2,1,-1,0,0,Loss,M Jones
Newcastle,1,2,2,0,0,0,Draw,K Friend
West Brom,1,1,0,1,1,0,Win,G Scott
Brighton,0,1,1,0,0,0,Draw,N Swarbrick
Burnley,1,0,1,-1,0,0,Loss,L Probert
Liverpool,0,3,0,-3,0,0,Loss,M Jones
Everton,1,4,1,3,1,0,Win,K Friend
Man City,0,2,1,-1,0,0,Loss,P Tierney
Bournemouth,0,1,1,0,0,0,Draw,J Moss
Arsenal,1,1,1,0,0,0,Draw,R Madley
Leicester,1,1,4,-3,0,0,Loss,C Kavanagh
Chelsea,0,1,0,-1,0,0,Loss,R East
Huddersfield,1,1,1,0,0,0,Draw,L Probert
Tottenham,0,5,2,-3,0,0,Loss,G Scott
Man United,0,0,0,0,0,0,Draw,C Pawson
Crystal Palace,1,1,2,-1,0,0,Loss,S Attwell
Watford,0,2,2,0,0,0,Draw,R East
Tottenham,1,1,1,0,0,0,Draw,K Friend
Brighton,1,1,1,0,0,0,Draw,M Dean
West Brom,0,2,3,1,1,0,Win,M Oliver
Liverpool,1,0,2,-2,0,0,Loss,M Atkinson
Burnley,0,1,1,0,0,0,Draw,R Madley
Stoke,1,0,0,0,0,0,Draw,A Taylor
Newcastle,0,3,0,-3,0,0,Loss,A Marriner
West Ham,0,3,0,-3,0,0,Loss,J Moss
Arsenal,0,3,2,-1,0,0,Loss,A Marriner
Chelsea,1,2,3,-1,0,0,Loss,M Dean
Leicester,0,0,0,0,0,0,Draw,R East
Bournemouth,1,2,1,1,1,0,Win,A Taylor
Everton,0,1,1,0,0,0,Draw,J Moss
Swansea,0,0,1,1,1,0,Win,M Oliver
Man City,1,0,1,-1,0,0,Loss,A Marriner
Burnley,1,0,0,0,0,0,Draw,G Scott
Everton,0,2,1,-1,0,0,Loss,L Mason
Leicester,1,1,2,-1,0,0,Loss,J Moss
Crystal Palace,0,0,2,2,1,0,Win,M Atkinson
Brighton,1,2,2,0,0,0,Draw,A Taylor
Liverpool,0,3,0,-3,0,0,Loss,P Tierney
Wolves,0,2,0,-2,0,0,Loss,S Attwell
Chelsea,1,0,3,-3,0,0,Loss,C Pawson
Bournemouth,0,0,0,0,0,0,Draw,L Probert
Newcastle,1,0,0,0,0,0,Draw,C Kavanagh
Man City,0,6,1,-5,0,0,Loss,L Mason
Watford,1,1,1,0,0,0,Draw,S Hooper
Fulham,0,3,2,-1,0,0,Loss,M Oliver
Man United,1,2,2,0,0,0,Draw,K Friend
Tottenham,0,3,1,-2,0,0,Loss,A Taylor
Cardiff,0,1,0,-1,0,0,Loss,J Moss
Arsenal,1,3,2,1,1,0,Win,C Kavanagh
Huddersfield,0,1,3,2,2,0,Win,S Attwell
West Ham,1,1,2,-1,0,0,Loss,C Pawson
Man City,1,1,3,-2,0,0,Loss,P Tierney
Chelsea,0,0,0,0,0,0,Draw,J Moss
Leicester,0,1,2,1,1,0,Win,M Oliver
Everton,1,2,1,1,2,0,Win,G Scott
Crystal Palace,1,1,1,0,0,0,Draw,A Marriner
Burnley,0,1,1,0,0,0,Draw,A Taylor
Cardiff,1,1,2,-1,0,0,Loss,M Atkinson
Arsenal,0,2,0,-2,0,0,Loss,G Scott
Fulham,1,2,0,2,1,0,Win,A Taylor
Man United,0,3,2,-1,0,0,Loss,S Attwell
Tottenham,1,2,1,1,1,0,Win,K Friend
Brighton,0,0,1,1,2,0,Win,M Oliver
Liverpool,1,1,3,-2,0,0,Loss,P Tierney
Wolves,1,3,1,2,1,0,Win,J Moss
Newcastle,0,3,1,-2,0,0,Loss,A Taylor
Watford,0,1,1,0,0,0,Draw,M Dean
Bournemouth,1,3,3,0,0,0,Draw,G Scott
West Ham,0,3,0,-3,0,0,Loss,S Attwell
Huddersfield,1,1,1,0,0,0,Draw,L Probert
Burnley,0,3,0,-3,0,0,Loss,G Scott
Liverpool,1,1,2,-1,0,0,Loss,A Marriner
Brighton,0,0,2,2,1,0,Win,K Friend
Man United,1,1,1,0,0,0,Draw,M Dean
Sheffield United,0,0,1,1,1,0,Win,L Mason
Bournemouth,1,1,3,-2,0,0,Loss,C Kavanagh
Tottenham,0,2,1,-1,0,0,Loss,G Scott
Chelsea,1,1,4,-3,0,0,Loss,P Tierney
Wolves,0,1,1,0,0,0,Draw,P Bankes
Leicester,1,0,9,-9,0,0,Loss,A Marriner
Man City,0,2,1,-1,0,0,Loss,L Mason
Everton,1,1,2,-1,0,0,Loss,P Tierney
Arsenal,0,2,2,0,0,0,Draw,S Attwell
Watford,1,2,1,1,1,0,Win,M Oliver
Norwich,1,2,1,1,2,0,Win,K Friend
Newcastle,0,2,1,-1,0,0,Loss,D Coote
West Ham,1,0,1,-1,0,0,Loss,M Atkinson
Aston Villa,0,1,3,2,1,0,Win,C Pawson
Chelsea,0,0,2,2,2,0,Win,J Moss
Crystal Palace,1,1,1,0,0,0,Draw,A Madley
Tottenham,1,1,0,1,1,0,Win,M Dean
Leicester,0,1,2,1,2,0,Win,L Mason
Wolves,1,2,3,-1,0,0,Loss,D England
Crystal Palace,0,0,2,2,1,0,Win,A Marriner
Liverpool,0,4,0,-4,0,0,Loss,K Friend
Burnley,1,1,2,-1,0,0,Loss,S Hooper
Aston Villa,1,2,0,2,1,0,Win,C Pawson
West Ham,0,3,1,-2,0,0,Loss,A Taylor
Newcastle,1,0,1,-1,0,0,Loss,G Scott
Norwich,0,0,3,3,1,0,Win,K Friend
Arsenal,1,0,2,-2,0,0,Loss,G Scott
Watford,0,1,3,2,1,0,Win,M Oliver
Man City,1,1,0,1,2,0,Win,A Marriner
Everton,0,1,1,0,0,0,Draw,L Mason
Man United,0,2,2,0,0,0,Draw,C Kavanagh
Brighton,1,1,1,0,0,0,Draw,A Marriner
Bournemouth,0,0,2,2,1,0,Win,C Pawson
Sheffield United,1,3,1,2,2,0,Win,P Bankes
Watford,1,1,1,0,0,0,Draw,R East
Man United,0,2,0,-2,0,0,Loss,A Taylor
Sunderland,1,1,1,0,0,0,Draw,L Mason
Arsenal,0,2,1,-1,0,0,Loss,R Madley
Swansea,1,1,0,1,1,0,Win,M Jones
West Ham,0,0,3,3,2,0,Win,J Moss
Leicester,0,0,0,0,0,0,Draw,M Atkinson
Burnley,1,3,1,2,1,0,Win,M Dean
Man City,0,1,1,0,0,0,Draw,M Clattenburg
Chelsea,1,0,2,-2,0,0,Loss,M Jones
Hull,0,2,1,-1,0,0,Loss,G Scott
Liverpool,1,0,0,0,0,0,Draw,M Clattenburg
Everton,1,1,0,1,1,0,Win,C Pawson
Crystal Palace,0,3,0,-3,0,0,Loss,N Swarbrick
Middlesbrough,1,1,0,1,1,0,Win,S Attwell
Stoke,0,0,0,0,0,0,Draw,A Taylor
Bournemouth,0,1,3,2,1,0,Win,M Clattenburg
Tottenham,1,1,4,-3,0,0,Loss,M Dean
West Brom,1,1,2,-1,0,0,Loss,M Jones
Everton,0,3,0,-3,0,0,Loss,K Friend
Burnley,0,1,0,-1,0,0,Loss,P Tierney
Leicester,1,3,0,3,1,0,Win,M Oliver
Swansea,0,2,1,-1,0,0,Loss,R East
West Ham,1,1,3,-2,0,0,Loss,G Scott
Sunderland,0,0,4,4,1,0,Win,P Tierney
Watford,0,3,4,1,2,0,Win,J Moss
Tottenham,0,2,1,-1,0,0,Loss,A Marriner
Bournemouth,1,0,0,0,0,0,Draw,J Moss
Crystal Palace,1,3,1,2,1,0,Win,R East
West Brom,0,0,1,1,2,0,Win,C Kavanagh
Man City,1,0,3,-3,0,0,Loss,N Swarbrick
Chelsea,0,4,2,-2,0,0,Loss,L Mason
Hull,1,0,0,0,0,0,Draw,M Dean
Liverpool,0,0,0,0,0,0,Draw,R Madley
Arsenal,1,0,2,-2,0,0,Loss,J Moss
Middlesbrough,0,1,2,1,1,0,Win,A Taylor
Man United,1,0,0,0,0,0,Draw,M Dean
Stoke,1,0,1,-1,0,0,Loss,L Probert
Everton,0,3,1,-2,0,0,Loss,A Madley
Man United,1,1,1,0,0,0,Draw,C Pawson
Newcastle,0,2,2,0,0,0,Draw,P Tierney
West Ham,1,0,0,0,0,0,Draw,D Coote
Man City,0,0,0,0,0,0,Draw,J Moss
Wolves,1,0,1,-1,0,0,Loss,A Madley
Chelsea,0,3,1,-2,0,0,Loss,M Atkinson
Leeds,1,1,0,1,1,0,Win,D Coote
Burnley,1,2,2,0,0,0,Draw,C Kavanagh
Watford,0,0,1,1,1,0,Win,P Bankes
Aston Villa,1,1,0,1,2,0,Win,A Madley
Norwich,0,2,1,-1,0,0,Loss,M Atkinson
Liverpool,0,4,0,-4,0,0,Loss,A Marriner
