Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Tottenham,1,0,1,-1,0,0,Loss,C Foy
Crystal Palace,0,1,3,2,1,0,Win,M Clattenburg
Southampton,1,1,3,-2,0,0,Loss,M Dean
Hull,0,2,2,0,0,0,Draw,M Atkinson
Liverpool,1,3,1,2,1,0,Win,C Pawson
Man United,0,2,1,-1,0,0,Loss,L Mason
QPR,1,2,0,2,1,0,Win,A Taylor
Burnley,0,1,3,2,2,0,Win,K Friend
Man City,1,2,1,1,3,1,Win,M Atkinson
Stoke,0,2,2,0,0,0,Draw,C Foy
Aston Villa,1,0,0,0,0,0,Draw,J Moss
Everton,0,2,1,-1,0,0,Loss,M Clattenburg
Newcastle,1,1,0,1,1,0,Win,M Dean
West Brom,0,1,2,1,2,0,Win,M Jones
Swansea,1,3,1,2,3,1,Win,C Foy
Sunderland,0,1,1,0,0,0,Draw,P Dowd
Leicester,1,2,0,2,1,0,Win,M Atkinson
Chelsea,0,2,0,-2,0,0,Loss,M Oliver
Arsenal,1,1,2,-1,0,0,Loss,N Swarbrick
West Brom,1,1,1,0,0,0,Draw,J Moss
Swansea,0,1,1,0,0,0,Draw,M Dean
Hull,1,3,0,3,1,0,Win,M Atkinson
Liverpool,0,2,0,-2,0,0,Loss,A Marriner
Man United,1,1,1,0,0,0,Draw,M Clattenburg
Southampton,0,0,0,0,0,0,Draw,C Pawson
Tottenham,0,2,2,0,0,0,Draw,J Moss
Crystal Palace,1,1,3,-2,0,0,Loss,M Dean
Chelsea,1,0,1,-1,0,0,Loss,A Marriner
Arsenal,0,3,0,-3,0,0,Loss,A Taylor
Sunderland,1,1,0,1,1,0,Win,L Mason
Leicester,0,2,1,-1,0,0,Loss,M Clattenburg
Stoke,1,1,1,0,0,0,Draw,R East
Man City,0,2,0,-2,0,0,Loss,A Taylor
QPR,0,0,0,0,0,0,Draw,M Jones
Burnley,1,1,0,1,1,0,Win,J Moss
Aston Villa,0,1,0,-1,0,0,Loss,L Mason
Everton,1,1,2,-1,0,0,Loss,K Friend
Newcastle,0,2,0,-2,0,0,Loss,M Atkinson
Arsenal,0,0,2,2,1,0,Win,M Atkinson
Leicester,1,1,2,-1,0,0,Loss,A Taylor
Bournemouth,1,3,4,-1,0,0,Loss,J Moss
Liverpool,0,0,3,3,1,0,Win,K Friend
Newcastle,1,2,0,2,2,0,Win,A Taylor
Man City,0,1,2,1,3,1,Win,R Madley
Norwich,1,2,2,0,0,0,Draw,M Dean
Sunderland,0,2,2,0,0,0,Draw,N Swarbrick
Crystal Palace,0,1,3,2,1,0,Win,M Clattenburg
Chelsea,1,2,1,1,2,0,Win,J Moss
Watford,0,2,0,-2,0,0,Loss,K Stroud
Everton,1,1,1,0,0,0,Draw,P Tierney
Tottenham,0,4,1,-3,0,0,Loss,A Taylor
West Brom,1,1,1,0,0,0,Draw,M Atkinson
Man United,0,0,0,0,0,0,Draw,M Clattenburg
Stoke,1,0,0,0,0,0,Draw,A Marriner
Swansea,0,0,0,0,0,0,Draw,L Mason
Aston Villa,0,1,1,0,0,0,Draw,M Dean
Southampton,1,2,1,1,1,0,Win,M Oliver
Liverpool,1,2,0,2,2,0,Win,R Madley
Bournemouth,0,1,3,2,3,1,Win,M Atkinson
Newcastle,0,2,1,-1,0,0,Loss,N Swarbrick
Man City,1,2,2,0,0,0,Draw,C Pawson
Aston Villa,1,2,0,2,1,0,Win,J Moss
Southampton,0,1,0,-1,0,0,Loss,M Clattenburg
Norwich,0,2,2,0,0,0,Draw,M Jones
Sunderland,1,1,0,1,1,0,Win,M Dean
Tottenham,1,1,0,1,2,0,Win,A Marriner
Everton,0,2,3,1,3,1,Win,A Taylor
Chelsea,0,2,2,0,0,0,Draw,R Madley
Crystal Palace,1,2,2,0,0,0,Draw,M Clattenburg
Arsenal,1,3,3,0,0,0,Draw,C Pawson
Leicester,0,2,2,0,0,0,Draw,J Moss
Watford,1,3,1,2,1,0,Win,M Dean
West Brom,0,0,3,3,2,0,Win,L Mason
Swansea,1,1,4,-3,0,0,Loss,M Oliver
Man United,1,3,2,1,1,0,Win,M Dean
Stoke,0,2,1,-1,0,0,Loss,M Jones
Chelsea,0,2,1,-1,0,0,Loss,A Taylor
Bournemouth,1,1,0,1,1,0,Win,C Pawson
Man City,0,3,1,-2,0,0,Loss,A Marriner
Watford,1,2,4,-2,0,0,Loss,M Atkinson
West Brom,0,4,2,-2,0,0,Loss,M Clattenburg
Southampton,1,0,3,-3,0,0,Loss,J Moss
Middlesbrough,1,1,1,0,0,0,Draw,N Swarbrick
Crystal Palace,0,0,1,1,1,0,Win,M Atkinson
Sunderland,1,1,0,1,2,0,Win,R Madley
Everton,0,2,0,-2,0,0,Loss,A Taylor
Stoke,1,1,1,0,0,0,Draw,A Marriner
Tottenham,0,3,2,-1,0,0,Loss,M Dean
Man United,0,1,1,0,0,0,Draw,J Moss
Arsenal,1,1,5,-4,0,0,Loss,C Pawson
Liverpool,0,2,2,0,0,0,Draw,M Clattenburg
Burnley,1,1,0,1,1,0,Win,R Madley
Hull,1,1,0,1,2,0,Win,L Mason
Swansea,0,1,4,3,3,1,Win,A Marriner
Leicester,0,1,0,-1,0,0,Loss,A Taylor
Man United,1,0,2,-2,0,0,Loss,M Dean
Crystal Palace,1,3,0,3,1,0,Win,N Swarbrick
Middlesbrough,0,1,3,2,2,0,Win,M Atkinson
Man City,1,0,4,-4,0,0,Loss,K Friend
Southampton,0,1,3,2,1,0,Win,G Scott
West Brom,1,2,2,0,0,0,Draw,M Oliver
Watford,0,1,1,0,0,0,Draw,C Pawson
Chelsea,1,1,2,-1,0,0,Loss,A Marriner
Bournemouth,0,3,2,-1,0,0,Loss,R Madley
Leicester,1,2,3,-1,0,0,Loss,R East
Hull,0,2,1,-1,0,0,Loss,M Jones
Arsenal,0,3,0,-3,0,0,Loss,M Atkinson
Swansea,1,1,0,1,1,0,Win,K Friend
Sunderland,0,2,2,0,0,0,Draw,A Marriner
Everton,1,0,0,0,0,0,Draw,R East
Stoke,0,0,0,0,0,0,Draw,L Probert
Tottenham,1,1,0,1,1,0,Win,A Taylor
Liverpool,1,0,4,-4,0,0,Loss,N Swarbrick
Burnley,0,1,2,1,1,0,Win,R Madley
Man United,0,4,0,-4,0,0,Loss,M Atkinson
Southampton,0,3,2,-1,0,0,Loss,L Mason
Newcastle,0,3,0,-3,0,0,Loss,N Swarbrick
Huddersfield,1,2,0,2,1,0,Win,K Friend
West Brom,0,0,0,0,0,0,Draw,P Tierney
Tottenham,1,2,3,-1,0,0,Loss,M Oliver
Swansea,1,1,0,1,1,0,Win,R East
Burnley,0,1,1,0,0,0,Draw,S Attwell
Brighton,1,0,3,-3,0,0,Loss,M Atkinson
