Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Crystal Palace,1,2,1,1,1,0,Win,J Moss,1.25,6.5,15.0,1.25,5.5,12.0
Everton,0,2,2,0,0,0,Draw,K Friend,2.8,3.4,2.7,2.75,3.25,2.7
Leicester,0,1,1,0,0,0,Draw,A Taylor,4.75,3.75,1.83,4.33,3.4,1.83
Man City,1,2,2,0,0,0,Draw,M Clattenburg,3.0,3.4,2.5,2.85,3.5,2.5
Aston Villa,0,0,3,3,1,0,Win,M Jones,4.75,3.6,1.85,4.2,3.4,1.85
Tottenham,1,1,1,0,0,0,Draw,M Oliver,1.75,3.9,5.0,1.8,3.6,4.75
Chelsea,0,2,0,-2,0,0,Loss,M Atkinson,1.67,4.2,5.25,1.72,3.75,5.25
Hull,1,2,2,0,0,0,Draw,R East,1.4,5.0,9.0,1.44,4.33,7.0
Sunderland,0,0,2,2,1,0,Win,K Friend,5.5,3.8,1.73,5.25,3.7,1.72
Burnley,1,3,0,3,2,0,Win,C Pawson,1.25,6.5,14.0,1.28,5.5,9.5
Swansea,0,2,1,-1,0,0,Loss,P Dowd,3.75,3.5,2.1,3.3,3.3,2.15
Man United,1,1,2,-1,0,0,Loss,M Dean,2.15,3.6,3.5,2.2,3.25,3.2
West Brom,0,0,1,1,1,0,Win,C Foy,4.5,3.8,1.85,4.2,3.8,1.9
Southampton,1,1,0,1,2,0,Win,A Marriner,1.8,3.75,5.0,1.8,3.7,4.75
Stoke,0,3,2,-1,0,0,Loss,A Taylor,4.0,3.6,2.0,3.75,3.3,2.0
Newcastle,1,4,1,3,1,0,Win,L Mason,1.44,4.75,8.0,1.45,4.33,6.5
Liverpool,0,2,2,0,0,0,Draw,M Oliver,2.8,3.5,2.6,2.75,3.4,2.62
QPR,1,2,1,1,1,0,Win,M Atkinson,1.29,6.0,13.0,1.29,5.5,9.25
West Ham,0,1,2,1,2,0,Win,N Swarbrick,3.5,3.5,2.2,3.1,3.4,2.2
Southampton,0,2,0,-2,0,0,Loss,C Pawson,2.9,3.4,2.6,2.8,3.3,2.6
Stoke,1,3,0,3,1,0,Win,J Moss,1.44,4.75,8.0,1.48,4.5,7.5
Man City,0,0,2,2,2,0,Win,M Dean,1.8,4.0,4.5,1.8,3.7,4.1
Aston Villa,1,5,0,5,3,1,Win,A Taylor,1.25,6.5,15.0,1.28,6.0,11.0
Tottenham,0,2,1,-1,0,0,Loss,M Atkinson,3.25,3.5,2.3,3.1,3.2,2.3
Leicester,1,2,1,1,1,0,Win,M Jones,1.29,6.0,12.0,1.29,5.5,11.5
Crystal Palace,0,1,2,1,2,0,Win,M Clattenburg,4.75,3.75,1.83,4.1,3.6,1.83
Everton,1,2,0,2,3,1,Win,A Marriner,1.57,4.5,6.0,1.57,4.2,6.0
QPR,0,1,2,1,4,1,Win,K Friend,7.0,4.33,1.53,6.0,4.33,1.55
West Ham,1,3,0,3,5,1,Win,A Taylor,1.4,5.0,9.0,1.4,4.5,7.5
Newcastle,0,1,2,1,6,1,Win,M Jones,6.0,3.8,1.57,5.5,3.8,1.6
Liverpool,1,4,1,3,7,1,Win,A Taylor,1.83,3.75,4.2,1.85,3.6,4.0
Burnley,0,0,1,1,8,1,Win,M Dean,6.5,4.33,1.57,6.25,4.1,1.57
Chelsea,1,0,0,0,0,0,Draw,M Oliver,2.4,3.3,3.3,2.35,3.3,3.2
Hull,0,1,3,2,1,0,Win,L Mason,5.5,4.0,1.7,5.25,3.8,1.7
Swansea,1,0,1,-1,0,0,Loss,K Friend,1.3,6.0,11.0,1.3,5.75,10.0
Man United,0,1,1,0,0,0,Draw,M Dean,2.45,3.5,3.0,2.4,3.5,2.95
Sunderland,1,0,0,0,0,0,Draw,A Taylor,1.3,6.0,11.0,1.3,5.75,10.0
West Brom,1,4,1,3,1,0,Win,R Madley,1.4,5.25,8.5,1.4,4.75,7.0
West Ham,1,0,2,-2,0,0,Loss,M Atkinson,1.29,6.0,12.0,1.28,5.75,10.5
