Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Arsenal,0,2,1,-1,0,0,Loss,J Moss,1.25,6.5,15.0,1.25,5.5,12.0
West Ham,1,1,3,-2,0,0,Loss,M Clattenburg,2.5,3.3,3.1,2.5,3.0,2.95
Newcastle,0,3,3,0,0,0,Draw,M Jones,1.75,3.75,5.25,1.75,3.5,4.75
Burnley,1,0,0,0,0,0,Draw,M Dean,2.25,3.3,3.6,2.25,3.2,3.2
Everton,0,2,3,1,1,0,Win,M Oliver,1.4,5.0,9.0,1.42,4.1,8.25
Leicester,1,2,0,2,2,0,Win,K Stroud,2.63,3.4,2.88,2.65,3.1,2.7
Hull,0,2,0,-2,0,0,Loss,M Dean,2.1,3.5,3.8,2.1,3.2,3.6
Chelsea,1,1,2,-1,0,0,Loss,C Pawson,8.5,4.75,1.44,7.0,4.25,1.44
West Brom,0,2,2,0,0,0,Draw,M Clattenburg,1.91,3.6,4.5,1.91,3.4,4.0
Sunderland,1,1,3,-2,0,0,Loss,P Dowd,2.1,3.5,3.8,2.1,3.4,3.7
Man United,0,1,0,-1,0,0,Loss,C Foy,1.3,6.0,11.0,1.32,5.5,7.6
Liverpool,1,3,1,2,1,0,Win,J Moss,4.33,3.7,1.91,3.7,3.6,1.91
Swansea,0,1,1,0,0,0,Draw,M Atkinson,1.8,3.75,5.0,1.83,3.6,4.1
Aston Villa,1,0,1,-1,0,0,Loss,M Oliver,2.1,3.4,4.0,2.1,3.2,3.6
Tottenham,0,0,0,0,0,0,Draw,L Mason,1.6,4.2,6.0,1.62,3.75,5.25
Stoke,1,1,1,0,0,0,Draw,K Friend,2.6,3.25,3.0,2.62,3.25,2.85
Man City,0,3,0,-3,0,0,Loss,P Dowd,1.29,6.0,12.0,1.3,5.5,11.0
Southampton,1,1,3,-2,0,0,Loss,M Dean,3.75,3.4,2.15,3.3,3.2,2.2
QPR,0,0,0,0,0,0,Draw,M Jones,2.38,3.4,3.25,2.4,3.3,2.85
Aston Villa,0,0,0,0,0,0,Draw,R Madley,2.4,3.3,3.3,2.4,3.2,2.9
Tottenham,1,2,1,1,1,0,Win,A Taylor,3.5,3.5,2.2,3.4,3.3,2.3
Burnley,0,2,3,1,2,0,Win,P Dowd,2.55,3.25,3.1,2.55,3.25,2.9
Everton,1,0,1,-1,0,0,Loss,R East,2.8,3.3,2.75,2.8,3.1,2.75
Leicester,0,0,1,1,1,0,Win,L Mason,2.4,3.3,3.25,2.4,3.25,2.9
Newcastle,1,1,1,0,0,0,Draw,A Marriner,2.38,3.3,3.3,2.4,3.1,3.0
Arsenal,1,1,2,-1,0,0,Loss,M Clattenburg,4.75,3.75,1.83,4.1,3.6,1.83
West Ham,0,1,3,2,1,0,Win,M Dean,2.15,3.4,3.75,2.15,3.4,3.5
Southampton,0,1,0,-1,0,0,Loss,M Atkinson,1.7,3.8,5.75,1.7,3.6,5.0
QPR,1,3,1,2,1,0,Win,L Mason,1.83,3.75,4.75,1.83,3.6,4.1
Stoke,0,1,2,1,2,0,Win,A Marriner,2.1,3.3,3.5,2.2,3.1,3.4
Man City,1,2,1,1,3,1,Win,M Oliver,5.0,4.0,1.67,5.0,4.0,1.7
Sunderland,0,1,4,3,4,1,Win,A Taylor,2.9,3.2,2.7,2.75,3.1,2.6
West Brom,1,0,2,-2,0,0,Loss,J Moss,1.95,3.5,4.5,1.95,3.4,3.75
Hull,1,0,2,-2,0,0,Loss,M Clattenburg,2.05,3.3,4.2,2.0,3.3,4.1
Chelsea,0,1,0,-1,0,0,Loss,K Friend,1.36,5.25,10.0,1.36,5.0,9.25
Man United,1,1,2,-1,0,0,Loss,M Oliver,4.5,3.6,1.91,4.1,3.7,1.9
Liverpool,0,1,3,2,1,0,Win,J Moss,1.45,4.75,8.0,1.45,4.75,7.0
Swansea,1,1,0,1,2,0,Win,C Pawson,2.25,3.6,3.3,2.2,3.2,3.3
Norwich,0,1,3,2,1,0,Win,S Hooper,2.55,3.3,3.0,2.6,3.2,2.7
Arsenal,1,1,2,-1,0,0,Loss,L Mason,5.25,3.9,1.73,5.0,3.75,1.75
Aston Villa,1,2,1,1,1,0,Win,K Stroud,1.85,3.6,4.75,1.85,3.5,4.1
Chelsea,0,1,2,1,2,0,Win,C Pawson,1.36,5.0,11.0,1.36,4.75,7.75
Man City,1,0,1,-1,0,0,Loss,M Jones,5.5,4.2,1.67,5.25,3.9,1.67
Tottenham,0,1,0,-1,0,0,Loss,M Oliver,2.0,3.6,4.0,2.0,3.4,3.6
Watford,0,0,1,1,1,0,Win,A Taylor,2.5,3.3,3.1,2.5,3.2,2.8
West Brom,1,2,0,2,2,0,Win,J Moss,1.83,3.6,5.0,1.8,3.4,4.5
West Ham,1,1,3,-2,0,0,Loss,M Clattenburg,2.0,3.6,4.0,2.0,3.5,3.5
Leicester,0,1,0,-1,0,0,Loss,M Dean,2.2,3.6,3.4,2.25,3.3,3.1
