Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Everton,1,2,2,0,0,0,Draw,M Jones,3.2,3.4,2.4,2.9,3.2,2.4
Chelsea,0,2,0,-2,0,0,Loss,L Mason,1.2,7.5,17.0,1.25,6.25,12.5
Arsenal,1,1,1,0,0,0,Draw,A Taylor,4.75,3.75,1.83,4.33,3.4,1.83
Stoke,0,0,1,1,1,0,Win,M Oliver,2.1,3.4,4.0,2.15,3.4,3.25
Man United,1,5,3,2,2,0,Win,M Clattenburg,5.5,4.2,1.67,4.75,3.8,1.67
Crystal Palace,0,2,0,-2,0,0,Loss,K Stroud,2.63,3.4,2.88,2.65,3.1,2.7
Burnley,1,2,2,0,0,0,Draw,P Dowd,1.8,3.75,5.0,1.8,3.4,4.5
Newcastle,0,1,0,-1,0,0,Loss,M Atkinson,2.25,3.6,3.3,2.2,3.3,3.25
Swansea,0,2,0,-2,0,0,Loss,M Jones,1.95,3.7,4.2,1.95,3.6,4.0
West Brom,1,0,1,-1,0,0,Loss,S Attwell,2.3,3.5,3.3,2.3,3.3,3.0
Southampton,0,2,0,-2,0,0,Loss,M Oliver,1.44,4.75,8.0,1.44,4.5,6.5
Sunderland,1,0,0,0,0,0,Draw,R Madley,2.1,3.5,3.8,2.15,3.4,3.2
QPR,0,3,2,-1,0,0,Loss,R East,2.38,3.4,3.25,2.38,3.2,3.0
Liverpool,1,1,3,-2,0,0,Loss,L Mason,3.8,3.6,2.05,3.6,3.5,2.1
Aston Villa,0,2,1,-1,0,0,Loss,C Pawson,2.4,3.4,3.2,2.4,3.2,3.2
Man City,1,0,1,-1,0,0,Loss,J Moss,7.0,4.75,1.5,5.5,4.6,1.5
West Ham,0,2,0,-2,0,0,Loss,M Atkinson,1.75,3.9,5.0,1.75,3.5,4.75
Tottenham,1,1,2,-1,0,0,Loss,N Swarbrick,3.8,3.6,2.05,3.5,3.4,2.05
Hull,0,0,1,1,1,0,Win,P Dowd,2.25,3.4,3.5,2.25,3.25,3.1
Liverpool,0,2,2,0,0,0,Draw,M Jones,1.4,5.0,9.0,1.4,5.0,7.75
Aston Villa,1,1,0,1,1,0,Win,M Oliver,2.2,3.4,3.6,2.2,3.2,3.3
