Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Southampton,1,2,1,1,1,0,Win,M Clattenburg,1.33,5.75,10.0,1.36,4.5,8.75
Man City,0,3,1,-2,0,0,Loss,M Oliver,1.85,4.0,4.33,1.87,3.9,4.0
Tottenham,0,0,3,3,1,0,Win,P Dowd,2.7,3.5,2.7,2.7,3.2,2.7
Aston Villa,1,0,1,-1,0,0,Loss,L Mason,1.3,6.0,11.0,1.3,5.5,11.0
West Ham,0,3,1,-2,0,0,Loss,C Pawson,4.5,3.8,1.85,4.25,3.8,1.85
Everton,1,1,1,0,0,0,Draw,M Atkinson,1.91,3.75,4.33,1.95,3.6,4.0
West Brom,1,2,1,1,1,0,Win,M Oliver,1.44,5.0,7.5,1.44,4.33,7.0
QPR,0,2,3,1,2,0,Win,P Dowd,6.0,4.2,1.6,5.75,4.0,1.62
Hull,1,0,0,0,0,0,Draw,N Swarbrick,1.44,4.75,8.0,1.45,4.25,7.0
Newcastle,0,1,0,-1,0,0,Loss,A Marriner,3.8,3.75,2.0,3.75,3.5,2.05
Chelsea,1,1,2,-1,0,0,Loss,A Taylor,3.4,3.4,2.3,3.1,3.25,2.3
Crystal Palace,0,3,1,-2,0,0,Loss,J Moss,4.33,3.7,1.91,3.7,3.6,1.91
Stoke,1,1,0,1,1,0,Win,C Pawson,1.73,4.0,5.0,1.75,4.0,4.75
Leicester,0,1,3,2,2,0,Win,L Mason,3.8,3.6,2.05,3.6,3.5,2.1
Sunderland,1,0,0,0,0,0,Draw,N Swarbrick,1.5,4.5,7.5,1.53,4.1,7.0
Man United,0,3,0,-3,0,0,Loss,M Atkinson,1.8,3.8,4.75,1.85,3.6,4.5
Arsenal,1,2,2,0,0,0,Draw,M Oliver,2.8,3.5,2.6,2.75,3.4,2.62
Burnley,0,0,1,1,1,0,Win,A Taylor,4.75,3.8,1.8,4.2,3.5,1.83
Swansea,1,4,1,3,2,0,Win,A Marriner,1.7,4.0,5.5,1.7,4.0,5.0
Leicester,1,2,2,0,0,0,Draw,M Jones,1.4,5.0,9.0,1.4,5.0,7.75
Sunderland,0,0,1,1,1,0,Win,C Pawson,4.5,3.6,1.91,3.8,3.5,1.91
Aston Villa,0,0,2,2,2,0,Win,M Clattenburg,4.5,3.6,1.91,4.0,3.4,1.91
West Ham,1,2,0,2,3,1,Win,A Marriner,1.67,4.0,5.75,1.7,3.8,4.5
Everton,0,0,0,0,0,0,Draw,A Taylor,3.4,3.4,2.3,3.2,3.4,2.3
Tottenham,1,3,2,1,1,0,Win,P Dowd,1.91,3.8,4.2,1.91,3.75,4.0
Southampton,0,0,2,2,2,0,Win,K Friend,2.63,3.3,2.9,2.6,3.25,2.65
Man City,1,2,1,1,3,1,Win,M Clattenburg,3.1,3.6,2.38,3.0,3.4,2.4
Burnley,1,2,0,2,4,1,Win,L Mason,1.36,5.25,10.0,1.36,5.0,9.25
Swansea,0,0,1,1,5,1,Win,R East,4.0,3.6,2.0,3.9,3.5,2.0
