Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Swansea,1,1,2,-1,0,0,Loss,M Dean,1.36,5.0,11.0,1.4,4.75,9.0
Sunderland,0,1,1,0,0,0,Draw,M Atkinson,5.0,4.0,1.75,4.4,3.75,1.83
Burnley,0,0,0,0,0,0,Draw,C Foy,6.0,4.2,1.62,5.75,4.0,1.62
QPR,1,4,0,4,1,0,Win,P Dowd,1.29,6.25,12.0,1.33,5.0,11.5
Leicester,0,5,3,-2,0,0,Loss,M Clattenburg,5.5,4.2,1.67,4.75,3.8,1.67
West Ham,1,2,1,1,1,0,Win,L Mason,1.4,5.5,8.0,1.4,4.6,7.25
Everton,1,2,1,1,2,0,Win,K Friend,1.67,4.2,5.25,1.67,4.0,5.25
West Brom,0,2,2,0,0,0,Draw,M Dean,5.0,4.0,1.75,4.5,4.1,1.75
Chelsea,1,1,1,0,0,0,Draw,P Dowd,2.88,3.6,2.5,2.75,3.5,2.55
Man City,0,1,0,-1,0,0,Loss,M Oliver,1.91,3.75,4.33,1.91,3.75,4.0
Crystal Palace,1,1,0,1,1,0,Win,C Foy,1.3,6.0,11.0,1.32,5.5,7.6
Arsenal,0,1,2,1,2,0,Win,M Dean,2.15,3.6,3.5,2.2,3.25,3.2
Hull,1,3,0,3,3,1,Win,A Taylor,1.33,5.75,10.0,1.36,5.25,9.25
Stoke,1,2,1,1,4,1,Win,J Moss,1.45,4.5,8.5,1.44,4.25,7.25
Southampton,0,1,2,1,5,1,Win,K Friend,2.8,3.4,2.7,2.8,3.25,2.7
Liverpool,1,3,0,3,6,1,Win,M Atkinson,1.8,3.8,4.75,1.85,3.6,4.5
Aston Villa,0,1,1,0,0,0,Draw,L Mason,6.25,4.0,1.62,6.0,3.9,1.62
Newcastle,1,3,1,2,1,0,Win,M Jones,1.4,5.0,9.0,1.4,4.5,7.5
Tottenham,0,0,0,0,0,0,Draw,J Moss,3.25,3.6,2.3,3.1,3.5,2.3
Stoke,0,1,1,0,0,0,Draw,M Oliver,4.2,3.5,2.0,4.0,3.4,2.0
Southampton,1,0,1,-1,0,0,Loss,P Dowd,1.83,3.75,4.75,1.87,3.8,4.25
QPR,0,0,2,2,1,0,Win,N Swarbrick,6.0,4.2,1.62,4.75,4.0,1.65
Leicester,1,3,1,2,2,0,Win,M Atkinson,1.36,5.5,9.5,1.36,5.0,7.5
West Ham,0,1,1,0,0,0,Draw,M Clattenburg,4.2,3.6,1.95,3.75,3.25,2.0
Burnley,1,3,1,2,1,0,Win,K Friend,1.29,6.0,12.0,1.3,5.75,8.0
Swansea,0,2,1,-1,0,0,Loss,N Swarbrick,4.2,3.5,2.0,3.6,3.4,2.0
Sunderland,1,2,0,2,1,0,Win,R East,1.36,5.25,10.0,1.36,5.0,9.25
Newcastle,0,0,1,1,2,0,Win,A Taylor,4.2,3.5,2.0,4.0,3.4,2.0
Tottenham,1,3,0,3,3,1,Win,M Clattenburg,1.91,3.75,4.33,1.91,3.5,4.25
Liverpool,0,1,2,1,4,1,Win,M Atkinson,2.05,3.4,3.6,2.15,3.4,3.6
