Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Liverpool,0,2,1,-1,0,0,Loss,M Clattenburg,1.33,5.75,10.0,1.36,4.5,8.75
West Brom,1,0,0,0,0,0,Draw,R East,1.85,3.7,4.75,1.87,3.75,4.2
West Ham,0,1,3,2,1,0,Win,M Dean,2.8,3.4,2.7,2.6,3.2,2.7
Newcastle,1,4,0,4,2,0,Win,C Foy,1.8,3.75,5.0,1.83,3.3,4.5
Swansea,0,0,1,1,3,1,Win,J Moss,2.5,3.3,3.1,2.6,3.25,2.9
QPR,1,2,1,1,4,1,Win,M Clattenburg,1.44,4.6,8.5,1.45,4.2,7.0
Tottenham,0,1,0,-1,0,0,Loss,M Jones,2.2,3.5,3.5,2.2,3.5,3.3
Sunderland,1,8,0,8,1,0,Win,A Marriner,1.57,4.0,7.0,1.62,3.75,5.25
Stoke,1,1,0,1,2,0,Win,J Moss,1.65,4.0,6.0,1.65,3.75,6.0
Hull,0,0,1,1,3,1,Win,M Atkinson,3.8,3.6,2.05,3.6,3.3,2.05
Leicester,1,2,0,2,4,1,Win,M Oliver,1.44,4.75,8.0,1.44,4.5,6.5
Aston Villa,0,1,1,0,0,0,Draw,P Dowd,5.25,3.75,1.75,4.33,3.6,1.78
Man City,1,0,3,-3,0,0,Loss,M Jones,3.2,3.6,2.3,3.2,3.4,2.35
Arsenal,0,1,0,-1,0,0,Loss,A Marriner,1.8,3.75,5.0,1.8,3.7,4.75
Man United,1,1,2,-1,0,0,Loss,K Friend,2.8,3.4,2.7,2.8,3.25,2.7
Burnley,0,1,0,-1,0,0,Loss,M Clattenburg,5.5,3.75,1.73,4.75,3.5,1.75
Everton,1,3,0,3,1,0,Win,J Moss,2.45,3.5,3.0,2.5,3.4,2.9
Crystal Palace,0,1,3,2,2,0,Win,M Dean,3.75,3.4,2.15,3.3,3.2,2.2
Chelsea,1,1,1,0,0,0,Draw,A Taylor,4.75,3.75,1.83,4.6,3.6,1.83
Arsenal,1,2,0,2,1,0,Win,C Pawson,2.9,3.4,2.6,2.8,3.3,2.6
Man United,0,0,1,1,2,0,Win,P Dowd,1.83,3.75,4.75,1.87,3.8,4.25
Newcastle,0,1,2,1,3,1,Win,R Madley,3.3,3.3,2.38,2.9,3.25,2.4
Swansea,1,0,1,-1,0,0,Loss,M Oliver,1.6,4.0,6.5,1.62,3.9,6.0
QPR,0,0,1,1,1,0,Win,R East,4.75,3.6,1.85,4.2,3.4,1.85
West Ham,1,0,0,0,0,0,Draw,C Pawson,1.73,3.9,5.25,1.72,3.7,4.5
Liverpool,1,0,2,-2,0,0,Loss,K Friend,2.63,3.3,2.9,2.6,3.25,2.65
West Brom,0,1,0,-1,0,0,Loss,P Dowd,3.4,3.2,2.38,3.5,3.2,2.25
Crystal Palace,1,1,0,1,1,0,Win,M Atkinson,1.7,3.8,5.75,1.7,3.6,5.0
Chelsea,0,1,1,0,0,0,Draw,M Dean,1.62,4.0,6.5,1.62,3.9,6.0
Burnley,1,2,0,2,1,0,Win,R East,1.4,4.5,7.5,1.45,4.2,7.0
Everton,0,1,0,-1,0,0,Loss,L Mason,2.63,3.2,2.8,2.6,3.1,2.75
Hull,1,2,0,2,1,0,Win,K Friend,1.53,4.2,7.5,1.53,3.8,6.5
Stoke,0,2,1,-1,0,0,Loss,M Clattenburg,3.5,3.25,2.3,3.0,3.3,2.3
Tottenham,1,2,2,0,0,0,Draw,J Moss,2.1,3.5,3.8,2.1,3.4,3.7
Sunderland,0,2,1,-1,0,0,Loss,M Jones,4.2,3.4,2.05,3.6,3.25,2.05
Leicester,0,2,0,-2,0,0,Loss,R East,2.6,3.4,2.9,2.6,3.25,2.65
Aston Villa,1,6,1,5,1,0,Win,R Madley,1.75,3.8,5.25,1.78,3.5,4.5
Man City,0,2,0,-2,0,0,Loss,C Foy,1.57,4.5,6.0,1.55,4.0,5.75
Newcastle,0,2,2,0,0,0,Draw,C Pawson,2.88,3.3,2.7,2.8,3.1,2.75
Everton,1,0,3,-3,0,0,Loss,M Oliver,1.95,3.6,4.33,1.95,3.5,4.1
Watford,0,0,0,0,0,0,Draw,A Marriner,2.8,3.3,2.75,2.65,3.25,2.6
Norwich,1,3,0,3,1,0,Win,J Moss,2.05,3.5,4.0,2.05,3.4,3.5
West Brom,0,0,0,0,0,0,Draw,S Attwell,3.2,3.2,2.5,2.8,3.2,2.5
Man United,1,2,3,-1,0,0,Loss,M Clattenburg,3.1,3.3,2.5,3.2,3.2,2.4
Swansea,1,3,1,2,1,0,Win,R East,2.05,3.4,4.2,2.05,3.25,3.6
Chelsea,0,1,3,2,2,0,Win,R Madley,1.83,3.7,4.8,1.83,3.6,4.5
Leicester,1,2,2,0,0,0,Draw,P Tierney,1.75,4.0,5.0,1.75,3.7,4.4
Liverpool,0,1,1,0,0,0,Draw,A Marriner,2.05,3.6,3.8,2.05,3.5,3.6
Bournemouth,1,2,0,2,1,0,Win,C Pawson,1.55,4.33,6.5,1.55,4.0,5.75
Sunderland,0,0,1,1,2,0,Win,M Jones,4.75,3.8,1.8,4.75,3.6,1.75
Stoke,1,0,1,-1,0,0,Loss,L Mason,1.57,4.0,7.0,1.57,3.9,5.75
Man City,0,3,1,-2,0,0,Loss,R East,1.6,4.33,6.0,1.6,4.2,5.25
Aston Villa,1,1,1,0,0,0,Draw,A Taylor,1.5,4.5,7.5,1.5,4.25,6.0
Crystal Palace,0,1,0,-1,0,0,Loss,M Dean,2.6,3.3,3.0,2.6,3.25,2.65
Tottenham,1,0,2,-2,0,0,Loss,K Friend,2.7,3.4,2.8,2.6,3.3,2.6
