Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
West Ham,0,0,1,1,1,0,Win,C Foy,3.8,3.6,2.05,3.5,3.4,2.05
QPR,1,4,0,4,2,0,Win,A Taylor,1.45,4.75,8.0,1.48,4.25,7.75
Liverpool,1,0,3,-3,0,0,Loss,P Dowd,2.7,3.5,2.7,2.7,3.2,2.7
Sunderland,0,2,2,0,0,0,Draw,C Pawson,3.6,3.5,2.15,3.4,3.2,2.15
West Brom,1,0,1,-1,0,0,Loss,K Friend,1.53,4.33,7.0,1.53,4.0,6.0
Arsenal,0,1,1,0,0,0,Draw,M Oliver,1.75,3.9,5.0,1.8,3.6,4.75
Southampton,1,1,0,1,1,0,Win,M Jones,2.2,3.5,3.5,2.2,3.5,3.3
Man City,0,4,1,-3,0,0,Loss,J Moss,1.45,4.75,8.0,1.5,4.33,7.0
Newcastle,1,1,2,-1,0,0,Loss,A Taylor,1.75,3.9,5.0,1.8,3.75,4.6
Aston Villa,0,1,2,1,1,0,Win,N Swarbrick,3.75,3.6,2.1,3.6,3.5,2.1
Stoke,1,1,2,-1,0,0,Loss,M Jones,1.7,4.0,5.5,1.7,3.6,5.0
Hull,0,1,2,1,1,0,Win,C Pawson,3.6,3.4,2.2,3.25,3.3,2.2
Everton,1,2,1,1,2,0,Win,M Oliver,2.25,3.6,3.25,2.35,3.4,3.2
Chelsea,0,3,0,-3,0,0,Loss,M Dean,1.4,5.0,9.0,1.4,4.75,8.5
Crystal Palace,1,0,0,0,0,0,Draw,L Mason,1.6,4.2,6.0,1.62,3.75,5.25
Swansea,0,1,2,1,1,0,Win,R Madley,2.5,3.4,3.0,2.5,3.25,2.75
Burnley,1,2,1,1,2,0,Win,M Jones,1.5,4.5,7.5,1.5,4.1,6.25
Leicester,0,1,2,1,3,1,Win,N Swarbrick,3.8,3.6,2.05,3.5,3.4,2.05
Man United,1,0,0,0,0,0,Draw,J Moss,3.25,3.6,2.3,3.1,3.5,2.3
Chelsea,1,5,3,2,1,0,Win,P Dowd,5.0,3.75,1.8,4.25,3.6,1.8
Crystal Palace,0,2,1,-1,0,0,Loss,A Taylor,3.5,3.5,2.2,3.4,3.3,2.3
Sunderland,1,2,1,1,1,0,Win,C Foy,1.62,4.2,6.0,1.62,3.9,5.0
West Brom,0,0,3,3,2,0,Win,K Friend,2.9,3.3,2.63,2.75,3.1,2.62
Arsenal,1,2,1,1,3,1,Win,M Atkinson,3.25,3.5,2.3,3.1,3.2,2.3
Liverpool,0,3,2,-1,0,0,Loss,P Dowd,1.91,3.8,4.2,1.91,3.75,4.0
West Ham,1,2,2,0,0,0,Draw,J Moss,1.8,3.8,4.75,1.83,3.6,4.0
Swansea,1,3,2,1,1,0,Win,M Oliver,1.75,3.8,5.25,1.75,3.5,4.75
QPR,0,1,2,1,2,0,Win,C Pawson,4.75,3.9,1.8,4.5,3.8,1.8
Man United,0,3,0,-3,0,0,Loss,M Clattenburg,1.91,3.75,4.33,1.91,3.5,4.25
Leicester,1,4,3,1,1,0,Win,M Dean,1.53,4.0,6.0,1.6,4.0,5.25
Burnley,0,0,0,0,0,0,Draw,M Atkinson,3.5,3.4,2.1,3.6,3.5,2.1
Aston Villa,1,0,1,-1,0,0,Loss,L Probert,1.62,4.2,6.0,1.62,4.1,5.5
Newcastle,0,1,3,2,1,0,Win,K Friend,3.3,3.5,2.3,3.3,3.3,2.3
Southampton,0,2,2,0,0,0,Draw,J Moss,2.1,3.5,3.8,2.1,3.4,3.7
Man City,1,0,1,-1,0,0,Loss,A Marriner,3.75,3.75,2.05,3.6,3.6,2.05
Stoke,0,3,0,-3,0,0,Loss,M Clattenburg,2.9,3.4,2.6,2.7,3.25,2.55
Hull,1,2,0,2,1,0,Win,A Taylor,1.8,3.8,4.75,1.75,3.8,4.25
Everton,0,0,1,1,2,0,Win,J Moss,2.4,3.6,3.0,2.35,3.4,2.85
Man United,0,1,0,-1,0,0,Loss,J Moss,1.65,4.0,6.0,1.65,4.0,5.5
