Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Tottenham,1,0,1,-1,0,0,Loss,C Foy,3.8,3.6,2.05,3.5,3.4,2.05
Crystal Palace,0,1,3,2,1,0,Win,M Clattenburg,2.5,3.3,3.1,2.5,3.0,2.95
Southampton,1,1,3,-2,0,0,Loss,M Dean,2.8,3.4,2.7,2.6,3.2,2.7
Hull,0,2,2,0,0,0,Draw,M Atkinson,2.15,3.4,3.75,2.25,3.3,3.4
Liverpool,1,3,1,2,1,0,Win,C Pawson,4.5,3.8,1.85,4.25,3.8,1.85
Man United,0,2,1,-1,0,0,Loss,L Mason,1.4,5.5,8.0,1.4,4.6,7.25
QPR,1,2,0,2,1,0,Win,A Taylor,1.91,3.6,4.5,1.95,3.4,4.25
Burnley,0,1,3,2,2,0,Win,K Friend,2.8,3.4,2.7,2.8,3.2,2.7
Man City,1,2,1,1,3,1,Win,M Atkinson,6.5,4.5,1.55,6.0,4.2,1.57
Stoke,0,2,2,0,0,0,Draw,C Foy,2.38,3.4,3.25,2.4,3.2,2.95
Aston Villa,1,0,0,0,0,0,Draw,J Moss,1.75,3.75,5.5,1.75,3.6,4.6
Everton,0,2,1,-1,0,0,Loss,M Clattenburg,1.85,3.8,4.5,1.85,3.6,4.0
Newcastle,1,1,0,1,1,0,Win,M Dean,2.15,3.5,3.6,2.2,3.3,3.3
West Brom,0,1,2,1,2,0,Win,M Jones,2.5,3.4,3.0,2.5,3.25,3.0
Swansea,1,3,1,2,3,1,Win,C Foy,2.35,3.4,3.25,2.4,3.4,3.0
Sunderland,0,1,1,0,0,0,Draw,P Dowd,2.95,3.4,2.55,2.85,3.25,2.62
Leicester,1,2,0,2,1,0,Win,M Atkinson,1.75,3.9,5.0,1.75,3.5,4.75
Chelsea,0,2,0,-2,0,0,Loss,M Oliver,1.33,5.75,10.0,1.33,5.0,8.75
Arsenal,1,1,2,-1,0,0,Loss,N Swarbrick,3.5,3.5,2.2,3.1,3.4,2.2
West Brom,1,1,1,0,0,0,Draw,J Moss,1.85,3.75,4.5,1.8,3.6,4.2
Swansea,0,1,1,0,0,0,Draw,M Dean,2.25,3.5,3.4,2.25,3.2,3.2
Hull,1,3,0,3,1,0,Win,M Atkinson,1.75,3.75,5.25,1.75,3.5,4.75
Liverpool,0,2,0,-2,0,0,Loss,A Marriner,1.67,4.0,5.75,1.7,3.8,4.5
Man United,1,1,1,0,0,0,Draw,M Clattenburg,4.2,3.6,1.95,3.75,3.25,2.0
Southampton,0,0,0,0,0,0,Draw,C Pawson,1.73,3.9,5.25,1.72,3.7,4.5
Tottenham,0,2,2,0,0,0,Draw,J Moss,1.8,3.8,4.75,1.83,3.6,4.0
Crystal Palace,1,1,3,-2,0,0,Loss,M Dean,2.15,3.4,3.75,2.15,3.4,3.5
Chelsea,1,0,1,-1,0,0,Loss,A Marriner,6.25,4.0,1.62,5.75,4.1,1.62
Arsenal,0,3,0,-3,0,0,Loss,A Taylor,1.4,5.0,9.0,1.4,4.5,7.5
Sunderland,1,1,0,1,1,0,Win,L Mason,1.8,3.5,4.5,1.85,3.4,4.25
Leicester,0,2,1,-1,0,0,Loss,M Clattenburg,2.38,3.3,3.1,2.3,3.3,3.0
Stoke,1,1,1,0,0,0,Draw,R East,2.3,3.4,3.4,2.3,3.2,3.1
Man City,0,2,0,-2,0,0,Loss,A Taylor,1.25,6.5,11.0,1.28,6.0,11.0
QPR,0,0,0,0,0,0,Draw,M Jones,2.38,3.4,3.25,2.38,3.2,2.95
Burnley,1,1,0,1,1,0,Win,J Moss,2.25,3.5,3.4,2.25,3.3,3.1
Aston Villa,0,1,0,-1,0,0,Loss,L Mason,1.91,3.7,4.33,1.95,3.5,3.7
Everton,1,1,2,-1,0,0,Loss,K Friend,2.9,3.4,2.6,2.65,3.2,2.6
Newcastle,0,2,0,-2,0,0,Loss,M Atkinson,1.83,4.0,4.33,1.8,3.9,4.4
Arsenal,0,0,2,2,1,0,Win,M Atkinson,1.29,6.0,12.0,1.28,5.75,10.5
Leicester,1,1,2,-1,0,0,Loss,A Taylor,2.25,3.5,3.4,2.25,3.2,3.5
Bournemouth,1,3,4,-1,0,0,Loss,J Moss,2.38,3.4,3.2,2.35,3.4,3.1
Liverpool,0,0,3,3,1,0,Win,K Friend,1.36,5.5,9.0,1.36,5.0,7.25
Newcastle,1,2,0,2,2,0,Win,A Taylor,2.25,3.5,3.4,2.25,3.4,3.0
Man City,0,1,2,1,3,1,Win,R Madley,1.29,6.5,11.0,1.28,6.0,10.5
Norwich,1,2,2,0,0,0,Draw,M Dean,2.25,3.5,3.4,2.25,3.25,3.1
Sunderland,0,2,2,0,0,0,Draw,N Swarbrick,3.2,3.4,2.4,3.1,3.2,2.3
Crystal Palace,0,1,3,2,1,0,Win,M Clattenburg,2.0,3.6,4.0,2.0,3.5,3.5
Chelsea,1,2,1,1,2,0,Win,J Moss,4.0,3.8,1.95,3.6,3.7,2.0
Watford,0,2,0,-2,0,0,Loss,K Stroud,2.6,3.4,2.9,2.6,3.2,2.7
Everton,1,1,1,0,0,0,Draw,P Tierney,2.6,3.5,2.8,2.55,3.3,2.7
Tottenham,0,4,1,-3,0,0,Loss,A Taylor,1.57,4.2,6.5,1.57,4.1,5.25
West Brom,1,1,1,0,0,0,Draw,M Atkinson,2.05,3.5,4.0,2.05,3.25,3.6
Man United,0,0,0,0,0,0,Draw,M Clattenburg,1.44,4.5,9.0,1.44,4.33,8.0
Stoke,1,0,0,0,0,0,Draw,A Marriner,2.63,3.3,2.9,2.65,3.1,2.9
Swansea,0,0,0,0,0,0,Draw,L Mason,2.1,3.4,3.9,2.1,3.25,3.5
Aston Villa,0,1,1,0,0,0,Draw,M Dean,2.63,3.25,2.75,2.65,3.25,2.75
Southampton,1,2,1,1,1,0,Win,M Oliver,3.6,3.4,2.2,3.25,3.3,2.2
Liverpool,1,2,0,2,2,0,Win,R Madley,4.0,3.5,2.05,3.8,3.4,2.05
