Opponent,HomeBool,FTHG,FTAG,ScoreDiff,Results,WinStreak,TGS
Swansea,1,0,1,-1,0,0,0
Liverpool,1,2,0,2,2,1,0
Chelsea,0,3,0,-3,0,0,0
Hull,1,1,1,0,1,0,0
Leicester,0,3,0,-3,0,0,0
Watford,1,2,0,2,2,1,0
Arsenal,1,0,1,-1,0,0,0
Southampton,0,3,1,-2,0,0,0
Everton,1,2,1,1,2,1,0
Man United,0,0,0,0,1,0,0
Crystal Palace,1,3,2,1,2,1,0
West Brom,0,4,0,-4,0,0,0
Man City,1,1,2,-1,0,0,0
Stoke,0,2,0,-2,0,0,0
Bournemouth,1,3,2,1,2,1,0
West Ham,0,1,0,-1,0,0,0
Tottenham,0,2,1,-1,0,0,0
Middlesbrough,1,1,0,1,2,1,0
Sunderland,1,4,1,3,2,2,0
Man City,0,2,1,-1,0,0,0
Southampton,1,1,0,1,2,1,0
Arsenal,0,2,1,-1,0,0,0
Leicester,1,1,0,1,2,1,0
Watford,0,2,1,-1,0,0,0
Chelsea,1,1,1,0,1,0,0
Hull,0,1,1,0,1,0,0
Swansea,0,3,2,-1,0,0,0
Liverpool,0,2,1,-1,0,0,0
Sunderland,0,0,0,0,1,0,0
Tottenham,1,0,2,-2,0,0,0
Stoke,1,1,0,1,2,1,0
Middlesbrough,0,0,0,0,1,0,0
Everton,0,3,1,-2,0,0,0
Man United,1,0,2,-2,0,0,0
Crystal Palace,0,0,2,2,2,1,0
West Brom,1,2,2,0,1,0,0
Bournemouth,0,2,1,-1,0,0,0
West Ham,1,1,2,-1,0,0,0
Chelsea,0,2,3,1,2,1,0
West Brom,1,0,1,-1,0,0,0
Tottenham,0,1,1,0,1,0,0
Crystal Palace,1,1,0,1,2,1,0
Liverpool,0,1,1,0,1,0,0
Huddersfield,1,0,0,0,1,0,0
Everton,0,0,1,1,2,1,0
West Ham,1,1,1,0,1,0,0
Man City,0,3,0,-3,0,0,0
Newcastle,1,1,0,1,2,1,0
Southampton,0,0,1,1,2,2,0
Swansea,1,2,0,2,2,3,1
Arsenal,1,0,1,-1,0,0,0
Bournemouth,0,1,2,1,2,1,0
Leicester,0,1,0,-1,0,0,0
