Opponent,HomeBool,FTHG,FTAG,ScoreDiff,Results,WinStreak,TGS
Bournemouth,0,1,3,2,2,1,0
Southampton,1,2,0,2,2,2,0
Hull,0,0,1,1,2,3,1
Man City,1,1,2,-1,0,0,0
Watford,0,3,1,-2,0,0,0
Leicester,1,4,1,3,2,1,0
Stoke,1,1,1,0,1,0,0
Liverpool,0,0,0,0,1,0,0
Chelsea,0,4,0,-4,0,0,0
Burnley,1,0,0,0,1,0,0
Swansea,0,1,3,2,2,1,0
Arsenal,1,1,1,0,1,0,0
West Ham,1,1,1,0,1,0,0
Everton,0,1,1,0,1,0,0
Tottenham,1,1,0,1,2,1,0
Crystal Palace,0,1,2,1,2,2,0
West Brom,0,0,2,2,2,3,1
Sunderland,1,3,1,2,2,4,1
Middlesbrough,1,2,1,1,2,5,1
West Ham,0,0,2,2,2,6,1
Liverpool,1,1,1,0,1,0,0
Stoke,0,1,1,0,1,0,0
Hull,1,0,0,0,1,0,0
Leicester,0,0,3,3,2,1,0
Watford,1,2,0,2,2,2,0
Bournemouth,1,1,1,0,1,0,0
Middlesbrough,0,1,3,2,2,1,0
West Brom,1,0,0,0,1,0,0
Everton,1,1,1,0,1,0,0
Sunderland,0,0,3,3,2,1,0
Chelsea,1,2,0,2,2,2,0
Burnley,0,0,2,2,2,3,1
Man City,0,0,0,0,1,0,0
Swansea,1,1,1,0,1,0,0
Arsenal,0,2,0,-2,0,0,0
Tottenham,0,2,1,-1,0,0,0
Southampton,0,0,0,0,1,0,0
Crystal Palace,1,2,0,2,2,1,0
West Ham,1,4,0,4,2,1,0
Swansea,0,0,4,4,2,2,0
Leicester,1,2,0,2,2,3,1
Stoke,0,2,2,0,1,0,0
Everton,1,4,0,4,2,1,0
Southampton,0,0,1,1,2,2,0
Crystal Palace,1,4,0,4,2,3,1
Liverpool,0,0,0,0,1,0,0
Huddersfield,0,2,1,-1,0,0,0
Tottenham,1,1,0,1,2,1,0
Chelsea,0,1,0,-1,0,0,0
Newcastle,1,4,1,3,2,1,0
Brighton,1,1,0,1,2,2,0
Watford,0,2,4,2,2,3,1
Arsenal,0,1,3,2,2,4,1
Man City,1,1,2,-1,0,0,0
Bournemouth,1,1,0,1,2,1,0
West Brom,0,1,2,1,2,2,0
Leicester,0,2,2,0,1,0,0
Burnley,1,2,2,0,1,0,0
Southampton,1,0,0,0,1,0,0
Everton,0,0,2,2,2,1,0
Stoke,1,3,0,3,2,2,0
Burnley,0,0,1,1,2,3,1
Tottenham,0,2,0,-2,0,0,0
Huddersfield,1,2,0,2,2,1,0
Newcastle,0,1,0,-1,0,0,0
Chelsea,1,2,1,1,2,1,0
Crystal Palace,0,2,3,1,2,2,0
Liverpool,1,2,1,1,2,3,1
Swansea,1,2,0,2,2,4,1
Man City,0,2,3,1,2,5,1
West Brom,1,0,1,-1,0,0,0
Bournemouth,0,0,2,2,2,1,0
Arsenal,1,2,1,1,2,2,0
Brighton,0,1,0,-1,0,0,0
West Ham,0,0,0,0,1,0,0
Watford,1,1,0,1,2,1,0
Leicester,1,2,1,1,2,1,0
Brighton,0,3,2,-1,0,0,0
Tottenham,1,0,3,-3,0,0,0
Burnley,0,0,2,2,2,1,0
Watford,0,1,2,1,2,2,0
