,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Newcastle,Arsenal,0,1,1,1,0
2,Arsenal,Burnley,2,1,1,2,0
3,Liverpool,Arsenal,3,1,-2,0,0
4,Arsenal,Tottenham,2,2,0,0,0
5,Watford,Arsenal,2,2,0,0,0
6,Arsenal,Aston Villa,3,2,1,1,0
7,Man United,Arsenal,1,1,0,0,0
8,Arsenal,Bournemouth,1,0,1,1,0
9,Sheffield United,Arsenal,1,0,-1,0,0
10,Arsenal,Crystal Palace,2,2,0,0,0
11,Arsenal,Wolves,1,1,0,0,0
12,Leicester,Arsenal,2,0,-2,0,0
13,Arsenal,Southampton,2,2,0,0,0
14,Norwich,Arsenal,2,2,0,0,0
15,Arsenal,Brighton,1,2,-1,0,0
16,West Ham,Arsenal,1,3,2,1,0
17,Arsenal,Man City,0,3,-3,0,0
18,Everton,Arsenal,0,0,0,0,0
19,Bournemouth,Arsenal,1,1,0,0,0
20,Arsenal,Chelsea,1,2,-1,0,0
21,Arsenal,Man United,2,0,2,1,0
22,Crystal Palace,Arsenal,1,1,0,0,0
23,Arsenal,Sheffield United,1,1,0,0,0
24,Chelsea,Arsenal,2,2,0,0,0
25,Burnley,Arsenal,0,0,0,0,0
26,Arsenal,Newcastle,4,0,4,1,0
27,Arsenal,Everton,3,2,1,2,0
28,Arsenal,West Ham,1,0,1,3,1
29,Man City,Arsenal,3,0,-3,0,0
30,Brighton,Arsenal,2,1,-1,0,0
31,Southampton,Arsenal,0,2,2,1,0
32,Arsenal,Norwich,4,0,4,2,0
33,Wolves,Arsenal,0,2,2,3,1
34,Arsenal,Leicester,1,1,0,0,0
35,Tottenham,Arsenal,2,1,-1,0,0
36,Arsenal,Liverpool,2,1,1,1,0
37,Aston Villa,Arsenal,1,0,-1,0,0
38,Arsenal,Watford,3,2,1,1,0
