,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Huddersfield,Chelsea,0,3,3,1,0
2,Chelsea,Arsenal,3,2,1,2,0
3,Newcastle,Chelsea,1,2,1,3,1
4,Chelsea,Bournemouth,2,0,2,4,1
5,Chelsea,Cardiff,4,1,3,5,1
6,West Ham,Chelsea,0,0,0,0,0
7,Chelsea,Liverpool,1,1,0,0,0
8,Southampton,Chelsea,0,3,3,1,0
9,Chelsea,Man United,2,2,0,0,0
10,Burnley,Chelsea,0,4,4,1,0
11,Chelsea,Crystal Palace,3,1,2,2,0
12,Chelsea,Everton,0,0,0,0,0
13,Tottenham,Chelsea,3,1,-2,0,0
14,Chelsea,Fulham,2,0,2,1,0
15,Wolves,Chelsea,2,1,-1,0,0
16,Chelsea,Man City,2,0,2,1,0
17,Brighton,Chelsea,1,2,1,2,0
18,Chelsea,Leicester,0,1,-1,0,0
19,Watford,Chelsea,1,2,1,1,0
20,Crystal Palace,Chelsea,0,1,1,2,0
21,Chelsea,Southampton,0,0,0,0,0
22,Chelsea,Newcastle,2,1,1,1,0
23,Arsenal,Chelsea,2,0,-2,0,0
24,Bournemouth,Chelsea,4,0,-4,0,0
25,Chelsea,Huddersfield,5,0,5,1,0
26,Man City,Chelsea,6,0,-6,0,0
27,Chelsea,Tottenham,2,0,2,1,0
28,Fulham,Chelsea,1,2,1,2,0
29,Chelsea,Wolves,1,1,0,0,0
30,Everton,Chelsea,2,0,-2,0,0
31,Cardiff,Chelsea,1,2,1,1,0
32,Chelsea,Brighton,3,0,3,2,0
33,Chelsea,West Ham,2,0,2,3,1
34,Liverpool,Chelsea,2,0,-2,0,0
35,Chelsea,Burnley,2,2,0,0,0
36,Man United,Chelsea,1,1,0,0,0
37,Chelsea,Watford,3,0,3,1,0
38,Leicester,Chelsea,0,0,0,0,0
