,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Crystal Palace,Everton,0,0,0,0,0
2,Sheffield United,Crystal Palace,1,0,-1,0,0
3,Man United,Crystal Palace,1,2,1,1,0
4,Crystal Palace,Aston Villa,1,0,1,2,0
5,Tottenham,Crystal Palace,4,0,-4,0,0
6,Crystal Palace,Wolves,1,1,0,0,0
7,Crystal Palace,Norwich,2,0,2,1,0
8,West Ham,Crystal Palace,1,2,1,2,0
9,Crystal Palace,Man City,0,2,-2,0,0
10,Arsenal,Crystal Palace,2,2,0,0,0
11,Crystal Palace,Leicester,0,2,-2,0,0
12,Chelsea,Crystal Palace,2,0,-2,0,0
13,Crystal Palace,Liverpool,1,2,-1,0,0
14,Burnley,Crystal Palace,0,2,2,1,0
15,Crystal Palace,Bournemouth,1,0,1,2,0
16,Watford,Crystal Palace,0,0,0,0,0
17,Crystal Palace,Brighton,1,1,0,0,0
18,Newcastle,Crystal Palace,1,0,-1,0,0
19,Crystal Palace,West Ham,2,1,1,1,0
20,Southampton,Crystal Palace,1,1,0,0,0
21,Norwich,Crystal Palace,1,1,0,0,0
22,Crystal Palace,Arsenal,1,1,0,0,0
23,Man City,Crystal Palace,2,2,0,0,0
24,Crystal Palace,Southampton,0,2,-2,0,0
25,Crystal Palace,Sheffield United,0,1,-1,0,0
26,Everton,Crystal Palace,3,1,-2,0,0
27,Crystal Palace,Newcastle,1,0,1,1,0
28,Brighton,Crystal Palace,0,1,1,2,0
29,Crystal Palace,Watford,1,0,1,3,1
30,Bournemouth,Crystal Palace,0,2,2,4,1
31,Liverpool,Crystal Palace,4,0,-4,0,0
32,Crystal Palace,Burnley,0,1,-1,0,0
33,Leicester,Crystal Palace,3,0,-3,0,0
34,Crystal Palace,Chelsea,2,3,-1,0,0
35,Aston Villa,Crystal Palace,2,0,-2,0,0
36,Crystal Palace,Man United,0,2,-2,0,0
37,Wolves,Crystal Palace,2,0,-2,0,0
38,Crystal Palace,Tottenham,1,1,0,0,0
