,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Everton,Tottenham,1,1,0,0,0
2,West Brom,Everton,1,2,1,1,0
3,Everton,Stoke,1,0,1,2,0
4,Sunderland,Everton,0,3,3,3,1
5,Everton,Middlesbrough,3,1,2,4,1
6,Bournemouth,Everton,1,0,-1,0,0
7,Everton,Crystal Palace,1,1,0,0,0
8,Man City,Everton,1,1,0,0,0
9,Burnley,Everton,2,1,-1,0,0
10,Everton,West Ham,2,0,2,1,0
11,Chelsea,Everton,5,0,-5,0,0
12,Everton,Swansea,1,1,0,0,0
13,Southampton,Everton,1,0,-1,0,0
14,Everton,Man United,1,1,0,0,0
15,Watford,Everton,3,2,-1,0,0
16,Everton,Arsenal,2,1,1,1,0
17,Everton,Liverpool,0,1,-1,0,0
18,Leicester,Everton,0,2,2,1,0
19,Hull,Everton,2,2,0,0,0
20,Everton,Southampton,3,0,3,1,0
21,Everton,Man City,4,0,4,2,0
22,Crystal Palace,Everton,0,1,1,3,1
23,Stoke,Everton,1,1,0,0,0
24,Everton,Bournemouth,6,3,3,1,0
25,Middlesbrough,Everton,0,0,0,0,0
26,Everton,Sunderland,2,0,2,1,0
27,Tottenham,Everton,3,2,-1,0,0
28,Everton,West Brom,3,0,3,1,0
29,Everton,Hull,4,0,4,2,0
30,Liverpool,Everton,3,1,-2,0,0
31,Man United,Everton,1,1,0,0,0
32,Everton,Leicester,4,2,2,1,0
33,Everton,Burnley,3,1,2,2,0
34,West Ham,Everton,0,0,0,0,0
35,Everton,Chelsea,0,3,-3,0,0
36,Swansea,Everton,1,0,-1,0,0
37,Everton,Watford,1,0,1,1,0
38,Arsenal,Everton,3,1,-2,0,0
