,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Liverpool,Norwich,4,1,3,1,0
2,Southampton,Liverpool,1,2,1,2,0
3,Liverpool,Arsenal,3,1,2,3,1
4,Burnley,Liverpool,0,3,3,4,1
5,Liverpool,Newcastle,3,1,2,5,1
6,Chelsea,Liverpool,1,2,1,6,1
7,Sheffield United,Liverpool,0,1,1,7,1
8,Liverpool,Leicester,2,1,1,8,1
9,Man United,Liverpool,1,1,0,0,0
10,Liverpool,Tottenham,2,1,1,1,0
11,Aston Villa,Liverpool,1,2,1,2,0
12,Liverpool,Man City,3,1,2,3,1
13,Crystal Palace,Liverpool,1,2,1,4,1
14,Liverpool,Brighton,2,1,1,5,1
15,Liverpool,Everton,5,2,3,6,1
16,Bournemouth,Liverpool,0,3,3,7,1
17,Liverpool,Watford,2,0,2,8,1
18,Leicester,Liverpool,0,4,4,9,1
19,Liverpool,Wolves,1,0,1,10,1
20,Liverpool,Sheffield United,2,0,2,11,1
21,Tottenham,Liverpool,0,1,1,12,1
22,Liverpool,Man United,2,0,2,13,1
23,Wolves,Liverpool,1,2,1,14,1
24,West Ham,Liverpool,0,2,2,15,1
25,Liverpool,Southampton,4,0,4,16,1
26,Norwich,Liverpool,0,1,1,17,1
27,Liverpool,West Ham,3,2,1,18,1
28,Watford,Liverpool,3,0,-3,0,0
29,Liverpool,Bournemouth,2,1,1,1,0
30,Everton,Liverpool,0,0,0,0,0
31,Liverpool,Crystal Palace,4,0,4,1,0
32,Man City,Liverpool,4,0,-4,0,0
33,Liverpool,Aston Villa,2,0,2,1,0
34,Brighton,Liverpool,1,3,2,2,0
35,Liverpool,Burnley,1,1,0,0,0
36,Arsenal,Liverpool,2,1,-1,0,0
37,Liverpool,Chelsea,5,3,2,1,0
38,Newcastle,Liverpool,1,3,2,2,0
