,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,West Ham,Man City,0,5,5,1,0
2,Man City,Tottenham,2,2,0,0,0
3,Bournemouth,Man City,1,3,2,1,0
4,Man City,Brighton,4,0,4,2,0
5,Norwich,Man City,3,2,-1,0,0
6,Man City,Watford,8,0,8,1,0
7,Everton,Man City,1,3,2,2,0
8,Man City,Wolves,0,2,-2,0,0
9,Crystal Palace,Man City,0,2,2,1,0
10,Man City,Aston Villa,3,0,3,2,0
11,Man City,Southampton,2,1,1,3,1
12,Liverpool,Man City,3,1,-2,0,0
13,Man City,Chelsea,2,1,1,1,0
14,Newcastle,Man City,2,2,0,0,0
15,Burnley,Man City,1,4,3,1,0
16,Man City,Man United,1,2,-1,0,0
17,Arsenal,Man City,0,3,3,1,0
18,Man City,Leicester,3,1,2,2,0
19,Wolves,Man City,3,2,-1,0,0
20,Man City,Sheffield United,2,0,2,1,0
21,Man City,Everton,2,1,1,2,0
22,Aston Villa,Man City,1,6,5,3,1
23,Man City,Crystal Palace,2,2,0,0,0
24,Sheffield United,Man City,0,1,1,1,0
25,Tottenham,Man City,2,0,-2,0,0
26,Man City,West Ham,2,0,2,1,0
27,Leicester,Man City,0,1,1,2,0
28,Man United,Man City,2,0,-2,0,0
29,Man City,Arsenal,3,0,3,1,0
30,Man City,Burnley,5,0,5,2,0
31,Chelsea,Man City,2,1,-1,0,0
32,Man City,Liverpool,4,0,4,1,0
33,Southampton,Man City,1,0,-1,0,0
34,Man City,Newcastle,5,0,5,1,0
35,Brighton,Man City,0,5,5,2,0
36,Man City,Bournemouth,2,1,1,3,1
37,Watford,Man City,0,4,4,4,1
38,Man City,Norwich,5,0,5,5,1
