,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Man United,Crystal Palace,1,3,-2,0,0
2,Brighton,Man United,2,3,1,1,0
3,Man United,Tottenham,1,6,-5,0,0
4,Newcastle,Man United,1,4,3,1,0
5,Man United,Chelsea,0,0,0,0,0
6,Man United,Arsenal,0,1,-1,0,0
7,Everton,Man United,1,3,2,1,0
8,Man United,West Brom,1,0,1,2,0
9,Southampton,Man United,2,3,1,3,1
10,West Ham,Man United,1,3,2,4,1
11,Man United,Man City,0,0,0,0,0
12,Sheffield United,Man United,2,3,1,1,0
13,Man United,Leeds,6,2,4,2,0
14,Leicester,Man United,2,2,0,0,0
15,Man United,Wolves,1,0,1,1,0
16,Man United,Aston Villa,2,1,1,2,0
17,Burnley,Man United,0,1,1,3,1
18,Liverpool,Man United,0,0,0,0,0
19,Fulham,Man United,1,2,1,1,0
20,Man United,Sheffield United,1,2,-1,0,0
21,Arsenal,Man United,0,0,0,0,0
22,Man United,Southampton,9,0,9,1,0
23,Man United,Everton,3,3,0,0,0
24,West Brom,Man United,1,1,0,0,0
25,Man United,Newcastle,3,1,2,1,0
26,Chelsea,Man United,0,0,0,0,0
27,Crystal Palace,Man United,0,0,0,0,0
28,Man City,Man United,0,2,2,1,0
29,Man United,West Ham,1,0,1,2,0
30,Man United,Brighton,2,1,1,3,1
31,Tottenham,Man United,1,3,2,4,1
32,Man United,Burnley,3,1,2,5,1
33,Leeds,Man United,0,0,0,0,0
34,Aston Villa,Man United,1,3,2,1,0
35,Man United,Leicester,1,2,-1,0,0
36,Man United,Liverpool,2,4,-2,0,0
37,Man United,Fulham,1,1,0,0,0
38,Wolves,Man United,1,2,1,1,0
