,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Southampton,Swansea,0,0,0,0,0
2,Southampton,West Ham,3,2,1,1,0
3,Huddersfield,Southampton,0,0,0,0,0
4,Southampton,Watford,0,2,-2,0,0
5,Crystal Palace,Southampton,0,1,1,1,0
6,Southampton,Man United,0,1,-1,0,0
7,Stoke,Southampton,2,1,-1,0,0
8,Southampton,Newcastle,2,2,0,0,0
9,Southampton,West Brom,1,0,1,1,0
10,Brighton,Southampton,1,1,0,0,0
11,Southampton,Burnley,0,1,-1,0,0
12,Liverpool,Southampton,3,0,-3,0,0
13,Southampton,Everton,4,1,3,1,0
14,Man City,Southampton,2,1,-1,0,0
15,Bournemouth,Southampton,1,1,0,0,0
16,Southampton,Arsenal,1,1,0,0,0
17,Southampton,Leicester,1,4,-3,0,0
18,Chelsea,Southampton,1,0,-1,0,0
19,Southampton,Huddersfield,1,1,0,0,0
20,Tottenham,Southampton,5,2,-3,0,0
21,Man United,Southampton,0,0,0,0,0
22,Southampton,Crystal Palace,1,2,-1,0,0
23,Watford,Southampton,2,2,0,0,0
24,Southampton,Tottenham,1,1,0,0,0
25,Southampton,Brighton,1,1,0,0,0
26,West Brom,Southampton,2,3,1,1,0
27,Southampton,Liverpool,0,2,-2,0,0
28,Burnley,Southampton,1,1,0,0,0
29,Southampton,Stoke,0,0,0,0,0
30,Newcastle,Southampton,3,0,-3,0,0
31,West Ham,Southampton,3,0,-3,0,0
32,Arsenal,Southampton,3,2,-1,0,0
33,Southampton,Chelsea,2,3,-1,0,0
34,Leicester,Southampton,0,0,0,0,0
35,Southampton,Bournemouth,2,1,1,1,0
36,Everton,Southampton,1,1,0,0,0
37,Swansea,Southampton,0,1,1,1,0
38,Southampton,Man City,0,1,-1,0,0
