,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Tottenham,Aston Villa,3,1,2,1,0
2,Man City,Tottenham,2,2,0,0,0
3,Tottenham,Newcastle,0,1,-1,0,0
4,Arsenal,Tottenham,2,2,0,0,0
5,Tottenham,Crystal Palace,4,0,4,1,0
6,Leicester,Tottenham,2,1,-1,0,0
7,Tottenham,Southampton,2,1,1,1,0
8,Brighton,Tottenham,3,0,-3,0,0
9,Tottenham,Watford,1,1,0,0,0
10,Liverpool,Tottenham,2,1,-1,0,0
11,Everton,Tottenham,1,1,0,0,0
12,Tottenham,Sheffield United,1,1,0,0,0
13,West Ham,Tottenham,2,3,1,1,0
14,Tottenham,Bournemouth,3,2,1,2,0
15,Man United,Tottenham,2,1,-1,0,0
16,Tottenham,Burnley,5,0,5,1,0
17,Wolves,Tottenham,1,2,1,2,0
18,Tottenham,Chelsea,0,2,-2,0,0
19,Tottenham,Brighton,2,1,1,1,0
20,Norwich,Tottenham,2,2,0,0,0
21,Southampton,Tottenham,1,0,-1,0,0
22,Tottenham,Liverpool,0,1,-1,0,0
23,Watford,Tottenham,0,0,0,0,0
24,Tottenham,Norwich,2,1,1,1,0
25,Tottenham,Man City,2,0,2,2,0
26,Aston Villa,Tottenham,2,3,1,3,1
27,Chelsea,Tottenham,2,1,-1,0,0
28,Tottenham,Wolves,2,3,-1,0,0
29,Burnley,Tottenham,1,1,0,0,0
30,Tottenham,Man United,1,1,0,0,0
31,Tottenham,West Ham,2,0,2,1,0
32,Sheffield United,Tottenham,3,1,-2,0,0
33,Tottenham,Everton,1,0,1,1,0
34,Bournemouth,Tottenham,0,0,0,0,0
35,Tottenham,Arsenal,2,1,1,1,0
36,Newcastle,Tottenham,1,3,2,2,0
37,Tottenham,Leicester,3,0,3,3,1
38,Crystal Palace,Tottenham,1,1,0,0,0
