,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,West Ham,Man City,0,5,-5,0,0
2,Brighton,West Ham,1,1,0,0,0
3,Watford,West Ham,1,3,2,1,0
4,West Ham,Norwich,2,0,2,2,0
5,Aston Villa,West Ham,0,0,0,0,0
6,West Ham,Man United,2,0,2,1,0
7,Bournemouth,West Ham,2,2,0,0,0
8,West Ham,Crystal Palace,1,2,-1,0,0
9,Everton,West Ham,2,0,-2,0,0
10,West Ham,Sheffield United,1,1,0,0,0
11,West Ham,Newcastle,2,3,-1,0,0
12,Burnley,West Ham,3,0,-3,0,0
13,West Ham,Tottenham,2,3,-1,0,0
14,Chelsea,West Ham,0,1,1,1,0
15,Wolves,West Ham,2,0,-2,0,0
16,West Ham,Arsenal,1,3,-2,0,0
17,Southampton,West Ham,0,1,1,1,0
18,Crystal Palace,West Ham,2,1,-1,0,0
19,West Ham,Leicester,1,2,-1,0,0
20,West Ham,Bournemouth,4,0,4,1,0
21,Sheffield United,West Ham,1,0,-1,0,0
22,West Ham,Everton,1,1,0,0,0
23,Leicester,West Ham,4,1,-3,0,0
24,West Ham,Liverpool,0,2,-2,0,0
25,West Ham,Brighton,3,3,0,0,0
26,Man City,West Ham,2,0,-2,0,0
27,Liverpool,West Ham,3,2,-1,0,0
28,West Ham,Southampton,3,1,2,1,0
29,Arsenal,West Ham,1,0,-1,0,0
30,West Ham,Wolves,0,2,-2,0,0
31,Tottenham,West Ham,2,0,-2,0,0
32,West Ham,Chelsea,3,2,1,1,0
33,Newcastle,West Ham,2,2,0,0,0
34,West Ham,Burnley,0,1,-1,0,0
35,Norwich,West Ham,0,4,4,1,0
36,West Ham,Watford,3,1,2,2,0
37,Man United,West Ham,1,1,0,0,0
38,West Ham,Aston Villa,1,1,0,0,0
