,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Arsenal,Liverpool,3,4,-1,0,0
2,Leicester,Arsenal,0,0,0,0,0
3,Watford,Arsenal,1,3,2,1,0
4,Arsenal,Southampton,2,1,1,2,0
5,Hull,Arsenal,1,4,3,3,1
6,Arsenal,Chelsea,3,0,3,4,1
7,Burnley,Arsenal,0,1,1,5,1
8,Arsenal,Swansea,3,2,1,6,1
9,Arsenal,Middlesbrough,0,0,0,0,0
10,Sunderland,Arsenal,1,4,3,1,0
11,Arsenal,Tottenham,1,1,0,0,0
12,Man United,Arsenal,1,1,0,0,0
13,Arsenal,Bournemouth,3,1,2,1,0
14,West Ham,Arsenal,1,5,4,2,0
15,Arsenal,Stoke,3,1,2,3,1
16,Everton,Arsenal,2,1,-1,0,0
17,Man City,Arsenal,2,1,-1,0,0
18,Arsenal,West Brom,1,0,1,1,0
19,Arsenal,Crystal Palace,2,0,2,2,0
20,Bournemouth,Arsenal,3,3,0,0,0
21,Swansea,Arsenal,0,4,4,1,0
22,Arsenal,Burnley,2,1,1,2,0
23,Arsenal,Watford,1,2,-1,0,0
24,Chelsea,Arsenal,3,1,-2,0,0
25,Arsenal,Hull,2,0,2,1,0
26,Liverpool,Arsenal,3,1,-2,0,0
27,West Brom,Arsenal,3,1,-2,0,0
28,Arsenal,Man City,2,2,0,0,0
29,Arsenal,West Ham,3,0,3,1,0
30,Crystal Palace,Arsenal,3,0,-3,0,0
31,Middlesbrough,Arsenal,1,2,1,1,0
32,Arsenal,Leicester,1,0,1,2,0
33,Tottenham,Arsenal,2,0,-2,0,0
34,Arsenal,Man United,2,0,2,1,0
35,Southampton,Arsenal,0,2,2,2,0
36,Stoke,Arsenal,1,4,3,3,1
37,Arsenal,Sunderland,2,0,2,4,1
38,Arsenal,Everton,3,1,2,5,1
