,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Southampton,Burnley,0,0,0,0,0
2,Burnley,Watford,1,3,-2,0,0
3,Fulham,Burnley,4,2,-2,0,0
4,Burnley,Man United,0,2,-2,0,0
5,Wolves,Burnley,1,0,-1,0,0
6,Burnley,Bournemouth,4,0,4,1,0
7,Cardiff,Burnley,1,2,1,2,0
8,Burnley,Huddersfield,1,1,0,0,0
9,Man City,Burnley,5,0,-5,0,0
10,Burnley,Chelsea,0,4,-4,0,0
11,West Ham,Burnley,4,2,-2,0,0
12,Leicester,Burnley,0,0,0,0,0
13,Burnley,Newcastle,1,2,-1,0,0
14,Crystal Palace,Burnley,2,0,-2,0,0
15,Burnley,Liverpool,1,3,-2,0,0
16,Burnley,Brighton,1,0,1,1,0
17,Tottenham,Burnley,1,0,-1,0,0
18,Arsenal,Burnley,3,1,-2,0,0
19,Burnley,Everton,1,5,-4,0,0
20,Burnley,West Ham,2,0,2,1,0
21,Huddersfield,Burnley,1,2,1,2,0
22,Burnley,Fulham,2,1,1,3,1
23,Watford,Burnley,0,0,0,0,0
24,Man United,Burnley,2,2,0,0,0
25,Burnley,Southampton,1,1,0,0,0
26,Brighton,Burnley,1,3,2,1,0
27,Burnley,Tottenham,2,1,1,2,0
28,Newcastle,Burnley,2,0,-2,0,0
29,Burnley,Crystal Palace,1,3,-2,0,0
30,Liverpool,Burnley,4,2,-2,0,0
31,Burnley,Leicester,1,2,-1,0,0
32,Burnley,Wolves,2,0,2,1,0
33,Bournemouth,Burnley,1,3,2,2,0
34,Burnley,Cardiff,2,0,2,3,1
35,Chelsea,Burnley,2,2,0,0,0
36,Burnley,Man City,0,1,-1,0,0
37,Everton,Burnley,2,0,-2,0,0
38,Burnley,Arsenal,1,3,-2,0,0
