,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Wolves,Everton,2,2,0,0,0
2,Everton,Southampton,2,1,1,1,0
3,Bournemouth,Everton,2,2,0,0,0
4,Everton,Huddersfield,1,1,0,0,0
5,Everton,West Ham,1,3,-2,0,0
6,Arsenal,Everton,2,0,-2,0,0
7,Everton,Fulham,3,0,3,1,0
8,Leicester,Everton,1,2,1,2,0
9,Everton,Crystal Palace,2,0,2,3,1
10,Man United,Everton,2,1,-1,0,0
11,Everton,Brighton,3,1,2,1,0
12,Chelsea,Everton,0,0,0,0,0
13,Everton,Cardiff,1,0,1,1,0
14,Liverpool,Everton,1,0,-1,0,0
15,Everton,Newcastle,1,1,0,0,0
16,Everton,Watford,2,2,0,0,0
17,Man City,Everton,3,1,-2,0,0
18,Everton,Tottenham,2,6,-4,0,0
19,Burnley,Everton,1,5,4,1,0
20,Brighton,Everton,1,0,-1,0,0
21,Everton,Leicester,0,1,-1,0,0
22,Everton,Bournemouth,2,0,2,1,0
23,Southampton,Everton,2,1,-1,0,0
24,Huddersfield,Everton,0,1,1,1,0
25,Everton,Wolves,1,3,-2,0,0
26,Everton,Man City,0,2,-2,0,0
27,Watford,Everton,1,0,-1,0,0
28,Cardiff,Everton,0,3,3,1,0
29,Everton,Liverpool,0,0,0,0,0
30,Newcastle,Everton,3,2,-1,0,0
31,Everton,Chelsea,2,0,2,1,0
32,West Ham,Everton,0,2,2,2,0
33,Everton,Arsenal,1,0,1,3,1
34,Fulham,Everton,2,0,-2,0,0
35,Everton,Man United,4,0,4,1,0
36,Crystal Palace,Everton,0,0,0,0,0
37,Everton,Burnley,2,0,2,1,0
38,Tottenham,Everton,2,2,0,0,0
