,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Man United,Leicester,2,1,-1,0,0
2,Leicester,Wolves,2,0,2,1,0
3,Southampton,Leicester,1,2,1,2,0
4,Leicester,Liverpool,1,2,-1,0,0
5,Bournemouth,Leicester,4,2,-2,0,0
6,Leicester,Huddersfield,3,1,2,1,0
7,Newcastle,Leicester,0,2,2,2,0
8,Leicester,Everton,1,2,-1,0,0
9,Arsenal,Leicester,3,1,-2,0,0
10,Leicester,West Ham,1,1,0,0,0
11,Cardiff,Leicester,0,1,1,1,0
12,Leicester,Burnley,0,0,0,0,0
13,Brighton,Leicester,1,1,0,0,0
14,Leicester,Watford,2,0,2,1,0
15,Fulham,Leicester,1,1,0,0,0
16,Leicester,Tottenham,0,2,-2,0,0
17,Crystal Palace,Leicester,1,0,-1,0,0
18,Chelsea,Leicester,0,1,1,1,0
19,Leicester,Man City,2,1,1,2,0
20,Leicester,Cardiff,0,1,-1,0,0
21,Everton,Leicester,0,1,1,1,0
22,Leicester,Southampton,1,2,-1,0,0
23,Wolves,Leicester,4,3,-1,0,0
24,Liverpool,Leicester,1,1,0,0,0
25,Leicester,Man United,0,1,-1,0,0
26,Tottenham,Leicester,3,1,-2,0,0
27,Leicester,Crystal Palace,1,4,-3,0,0
28,Leicester,Brighton,2,1,1,1,0
29,Watford,Leicester,2,1,-1,0,0
30,Leicester,Fulham,3,1,2,1,0
31,Burnley,Leicester,1,2,1,2,0
32,Leicester,Bournemouth,2,0,2,3,1
33,Huddersfield,Leicester,1,4,3,4,1
34,Leicester,Newcastle,0,1,-1,0,0
35,West Ham,Leicester,2,2,0,0,0
36,Leicester,Arsenal,3,0,3,1,0
37,Man City,Leicester,1,0,-1,0,0
38,Leicester,Chelsea,0,0,0,0,0
