,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Brighton,Man City,0,2,2,1,0
2,Man City,Everton,1,1,0,0,0
3,Bournemouth,Man City,1,2,1,1,0
4,Man City,Liverpool,5,0,5,2,0
5,Watford,Man City,0,6,6,3,1
6,Man City,Crystal Palace,5,0,5,4,1
7,Chelsea,Man City,0,1,1,5,1
8,Man City,Stoke,7,2,5,6,1
9,Man City,Burnley,3,0,3,7,1
10,West Brom,Man City,2,3,1,8,1
11,Man City,Arsenal,3,1,2,9,1
12,Leicester,Man City,0,2,2,10,1
13,Huddersfield,Man City,1,2,1,11,1
14,Man City,Southampton,2,1,1,12,1
15,Man City,West Ham,2,1,1,13,1
16,Man United,Man City,1,2,1,14,1
17,Swansea,Man City,0,4,4,15,1
18,Man City,Tottenham,4,1,3,16,1
19,Man City,Bournemouth,4,0,4,17,1
20,Newcastle,Man City,0,1,1,18,1
21,Crystal Palace,Man City,0,0,0,0,0
22,Man City,Watford,3,1,2,1,0
23,Liverpool,Man City,4,3,-1,0,0
24,Man City,Newcastle,3,1,2,1,0
25,Man City,West Brom,3,0,3,2,0
26,Burnley,Man City,1,1,0,0,0
27,Man City,Leicester,5,1,4,1,0
28,Arsenal,Man City,0,3,3,2,0
29,Man City,Chelsea,1,0,1,3,1
30,Stoke,Man City,0,2,2,4,1
31,Everton,Man City,1,3,2,5,1
32,Man City,Man United,2,3,-1,0,0
33,Tottenham,Man City,1,3,2,1,0
34,Man City,Swansea,5,0,5,2,0
35,West Ham,Man City,1,4,3,3,1
36,Man City,Huddersfield,0,0,0,0,0
37,Man City,Brighton,3,1,2,1,0
38,Southampton,Man City,0,1,1,2,0
