,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Man United,West Ham,4,0,4,1,0
2,Swansea,Man United,0,4,4,2,0
3,Man United,Leicester,2,0,2,3,1
4,Stoke,Man United,2,2,0,0,0
5,Man United,Everton,4,0,4,1,0
6,Southampton,Man United,0,1,1,2,0
7,Man United,Crystal Palace,4,0,4,3,1
8,Liverpool,Man United,0,0,0,0,0
9,Huddersfield,Man United,2,1,-1,0,0
10,Man United,Tottenham,1,0,1,1,0
11,Chelsea,Man United,1,0,-1,0,0
12,Man United,Newcastle,4,1,3,1,0
13,Man United,Brighton,1,0,1,2,0
14,Watford,Man United,2,4,2,3,1
15,Arsenal,Man United,1,3,2,4,1
16,Man United,Man City,1,2,-1,0,0
17,Man United,Bournemouth,1,0,1,1,0
18,West Brom,Man United,1,2,1,2,0
19,Leicester,Man United,2,2,0,0,0
20,Man United,Burnley,2,2,0,0,0
21,Man United,Southampton,0,0,0,0,0
22,Everton,Man United,0,2,2,1,0
23,Man United,Stoke,3,0,3,2,0
24,Burnley,Man United,0,1,1,3,1
25,Tottenham,Man United,2,0,-2,0,0
26,Man United,Huddersfield,2,0,2,1,0
27,Newcastle,Man United,1,0,-1,0,0
28,Man United,Chelsea,2,1,1,1,0
29,Crystal Palace,Man United,2,3,1,2,0
30,Man United,Liverpool,2,1,1,3,1
31,Man United,Swansea,2,0,2,4,1
32,Man City,Man United,2,3,1,5,1
33,Man United,West Brom,0,1,-1,0,0
34,Bournemouth,Man United,0,2,2,1,0
35,Man United,Arsenal,2,1,1,2,0
36,Brighton,Man United,1,0,-1,0,0
37,West Ham,Man United,0,0,0,0,0
38,Man United,Watford,1,0,1,1,0
