,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Crystal Palace,Southampton,1,0,-1,0,0
2,Southampton,Tottenham,2,5,-3,0,0
3,Burnley,Southampton,0,1,1,1,0
4,Southampton,West Brom,2,0,2,2,0
5,Chelsea,Southampton,3,3,0,0,0
6,Southampton,Everton,2,0,2,1,0
7,Aston Villa,Southampton,3,4,1,2,0
8,Southampton,Newcastle,2,0,2,3,1
9,Wolves,Southampton,1,1,0,0,0
10,Southampton,Man United,2,3,-1,0,0
11,Brighton,Southampton,1,2,1,1,0
12,Southampton,Sheffield United,3,0,3,2,0
13,Arsenal,Southampton,1,1,0,0,0
14,Southampton,Man City,0,1,-1,0,0
15,Fulham,Southampton,0,0,0,0,0
16,Southampton,West Ham,0,0,0,0,0
17,Southampton,Liverpool,1,0,1,1,0
18,Leicester,Southampton,2,0,-2,0,0
19,Southampton,Arsenal,1,3,-2,0,0
20,Southampton,Aston Villa,0,1,-1,0,0
21,Man United,Southampton,9,0,-9,0,0
22,Newcastle,Southampton,3,2,-1,0,0
23,Southampton,Wolves,1,2,-1,0,0
24,Southampton,Chelsea,1,1,0,0,0
25,Leeds,Southampton,3,0,-3,0,0
26,Everton,Southampton,1,0,-1,0,0
27,Sheffield United,Southampton,0,2,2,1,0
28,Man City,Southampton,5,2,-3,0,0
29,Southampton,Brighton,1,2,-1,0,0
30,Southampton,Burnley,3,2,1,1,0
31,West Brom,Southampton,3,0,-3,0,0
32,Tottenham,Southampton,2,1,-1,0,0
33,Southampton,Leicester,1,1,0,0,0
34,Liverpool,Southampton,2,0,-2,0,0
35,Southampton,Crystal Palace,3,1,2,1,0
36,Southampton,Fulham,3,1,2,2,0
37,Southampton,Leeds,0,2,-2,0,0
38,West Ham,Southampton,3,0,-3,0,0
