,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Tottenham,Everton,0,1,-1,0,0
2,Southampton,Tottenham,2,5,3,1,0
3,Tottenham,Newcastle,1,1,0,0,0
4,Man United,Tottenham,1,6,5,1,0
5,Tottenham,West Ham,3,3,0,0,0
6,Burnley,Tottenham,0,1,1,1,0
7,Tottenham,Brighton,2,1,1,2,0
8,West Brom,Tottenham,0,1,1,3,1
9,Tottenham,Man City,2,0,2,4,1
10,Chelsea,Tottenham,0,0,0,0,0
11,Tottenham,Arsenal,2,0,2,1,0
12,Crystal Palace,Tottenham,1,1,0,0,0
13,Liverpool,Tottenham,2,1,-1,0,0
14,Tottenham,Leicester,0,2,-2,0,0
15,Wolves,Tottenham,1,1,0,0,0
16,Tottenham,Leeds,3,0,3,1,0
17,Tottenham,Fulham,1,1,0,0,0
18,Sheffield United,Tottenham,1,3,2,1,0
19,Tottenham,Liverpool,1,3,-2,0,0
20,Brighton,Tottenham,1,0,-1,0,0
21,Tottenham,Chelsea,0,1,-1,0,0
22,Tottenham,West Brom,2,0,2,1,0
23,Man City,Tottenham,3,0,-3,0,0
24,West Ham,Tottenham,2,1,-1,0,0
25,Tottenham,Burnley,4,0,4,1,0
26,Fulham,Tottenham,0,1,1,2,0
27,Tottenham,Crystal Palace,4,1,3,3,1
28,Arsenal,Tottenham,2,1,-1,0,0
29,Aston Villa,Tottenham,0,2,2,1,0
30,Newcastle,Tottenham,2,2,0,0,0
31,Tottenham,Man United,1,3,-2,0,0
32,Everton,Tottenham,2,2,0,0,0
33,Tottenham,Southampton,2,1,1,1,0
34,Tottenham,Sheffield United,4,0,4,2,0
35,Leeds,Tottenham,3,1,-2,0,0
36,Tottenham,Wolves,2,0,2,1,0
37,Tottenham,Aston Villa,1,2,-1,0,0
38,Leicester,Tottenham,2,4,2,1,0
