,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Man United,West Ham,4,0,-4,0,0
2,Southampton,West Ham,3,2,-1,0,0
3,Newcastle,West Ham,3,0,-3,0,0
4,West Ham,Huddersfield,2,0,2,1,0
5,West Brom,West Ham,0,0,0,0,0
6,West Ham,Tottenham,2,3,-1,0,0
7,West Ham,Swansea,1,0,1,1,0
8,Burnley,West Ham,1,1,0,0,0
9,West Ham,Brighton,0,3,-3,0,0
10,Crystal Palace,West Ham,2,2,0,0,0
11,West Ham,Liverpool,1,4,-3,0,0
12,Watford,West Ham,2,0,-2,0,0
13,West Ham,Leicester,1,1,0,0,0
14,Everton,West Ham,4,0,-4,0,0
15,Man City,West Ham,2,1,-1,0,0
16,West Ham,Chelsea,1,0,1,1,0
17,West Ham,Arsenal,0,0,0,0,0
18,Stoke,West Ham,0,3,3,1,0
19,West Ham,Newcastle,2,3,-1,0,0
20,Bournemouth,West Ham,3,3,0,0,0
21,West Ham,West Brom,2,1,1,1,0
22,Tottenham,West Ham,1,1,0,0,0
23,Huddersfield,West Ham,1,4,3,1,0
24,West Ham,Bournemouth,1,1,0,0,0
25,West Ham,Crystal Palace,1,1,0,0,0
26,Brighton,West Ham,3,1,-2,0,0
27,West Ham,Watford,2,0,2,1,0
28,Liverpool,West Ham,4,1,-3,0,0
29,Swansea,West Ham,4,1,-3,0,0
30,West Ham,Burnley,0,3,-3,0,0
31,West Ham,Southampton,3,0,3,1,0
32,Chelsea,West Ham,1,1,0,0,0
33,West Ham,Stoke,1,1,0,0,0
34,Arsenal,West Ham,4,1,-3,0,0
35,West Ham,Man City,1,4,-3,0,0
36,Leicester,West Ham,0,2,2,1,0
37,West Ham,Man United,0,0,0,0,0
38,West Ham,Everton,3,1,2,1,0
