Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Leicester,0,2,2,0,0,0,Draw,M Jones
Arsenal,1,2,2,0,0,0,Draw,K Friend
Chelsea,1,3,6,-3,0,0,Loss,J Moss
West Brom,0,0,2,2,1,0,Win,A Taylor
Crystal Palace,1,2,3,-1,0,0,Loss,M Oliver
Liverpool,0,1,1,0,0,0,Draw,M Atkinson
Man United,0,2,1,-1,0,0,Loss,K Friend
Aston Villa,1,3,0,3,1,0,Win,A Taylor
Burnley,0,1,3,2,2,0,Win,A Marriner
Swansea,1,0,0,0,0,0,Draw,K Friend
Sunderland,0,1,1,0,0,0,Draw,L Mason
West Ham,1,2,1,1,1,0,Win,M Clattenburg
Tottenham,0,2,1,-1,0,0,Loss,M Oliver
Hull,1,1,1,0,0,0,Draw,R Madley
Man City,0,1,0,-1,0,0,Loss,A Marriner
QPR,1,3,1,2,1,0,Win,N Swarbrick
Southampton,0,3,0,-3,0,0,Loss,J Moss
Stoke,1,0,1,-1,0,0,Loss,L Mason
Newcastle,0,3,2,-1,0,0,Loss,C Pawson
Hull,0,2,0,-2,0,0,Loss,K Friend
Man City,1,1,1,0,0,0,Draw,M Atkinson
West Brom,1,0,0,0,0,0,Draw,M Oliver
Crystal Palace,0,0,1,1,1,0,Win,R East
Liverpool,1,0,0,0,0,0,Draw,A Taylor
Chelsea,0,1,0,-1,0,0,Loss,J Moss
Leicester,1,2,2,0,0,0,Draw,P Dowd
Arsenal,0,2,0,-2,0,0,Loss,A Marriner
Stoke,0,2,0,-2,0,0,Loss,M Clattenburg
Newcastle,1,3,0,3,1,0,Win,M Atkinson
QPR,0,1,2,1,2,0,Win,J Moss
Southampton,1,1,0,1,3,1,Win,L Mason
Swansea,0,1,1,0,0,0,Draw,M Oliver
Burnley,1,1,0,1,1,0,Win,M Jones
Man United,1,3,0,3,2,0,Win,A Marriner
Aston Villa,0,3,2,-1,0,0,Loss,M Clattenburg
Sunderland,1,0,2,-2,0,0,Loss,L Probert
West Ham,0,1,2,1,1,0,Win,K Friend
Tottenham,1,0,1,-1,0,0,Loss,J Moss
Watford,1,2,2,0,0,0,Draw,M Jones
Southampton,0,0,3,3,1,0,Win,M Oliver
Man City,1,0,2,-2,0,0,Loss,A Taylor
Tottenham,0,0,0,0,0,0,Draw,M Jones
Chelsea,1,3,1,2,1,0,Win,A Marriner
Swansea,0,0,0,0,0,0,Draw,S Attwell
West Brom,0,2,3,1,1,0,Win,R Madley
Liverpool,1,1,1,0,0,0,Draw,M Atkinson
Man United,1,0,3,-3,0,0,Loss,J Moss
Arsenal,0,2,1,-1,0,0,Loss,L Mason
Sunderland,1,6,2,4,1,0,Win,A Marriner
West Ham,0,1,1,0,0,0,Draw,P Tierney
Aston Villa,1,4,0,4,1,0,Win,M Oliver
Bournemouth,0,3,3,0,0,0,Draw,K Friend
Crystal Palace,1,1,1,0,0,0,Draw,C Pawson
Norwich,0,1,1,0,0,0,Draw,M Atkinson
Leicester,1,2,3,-1,0,0,Loss,J Moss
Newcastle,0,0,1,1,1,0,Win,L Mason
Stoke,1,3,4,-1,0,0,Loss,M Clattenburg
Tottenham,1,1,1,0,0,0,Draw,M Oliver
Man City,0,0,0,0,0,0,Draw,R East
Chelsea,0,3,3,0,0,0,Draw,M Jones
Swansea,1,1,2,-1,0,0,Loss,A Taylor
Newcastle,1,3,0,3,1,0,Win,C Pawson
Stoke,0,0,3,3,2,0,Win,A Marriner
West Brom,1,0,1,-1,0,0,Loss,M Oliver
Aston Villa,0,1,3,2,1,0,Win,R East
West Ham,1,2,3,-1,0,0,Loss,A Taylor
Arsenal,1,0,2,-2,0,0,Loss,M Clattenburg
Man United,0,1,0,-1,0,0,Loss,A Marriner
Watford,0,1,1,0,0,0,Draw,K Friend
Crystal Palace,0,0,0,0,0,0,Draw,M Jones
Southampton,1,1,1,0,0,0,Draw,C Pawson
Liverpool,0,4,0,-4,0,0,Loss,R Madley
Bournemouth,1,2,1,1,1,0,Win,N Swarbrick
Leicester,0,3,1,-2,0,0,Loss,A Marriner
Sunderland,0,3,0,-3,0,0,Loss,A Taylor
Norwich,1,3,0,3,1,0,Win,L Mason
Tottenham,1,1,1,0,0,0,Draw,M Atkinson
West Brom,0,1,2,1,1,0,Win,N Swarbrick
Stoke,1,1,0,1,2,0,Win,M Oliver
Sunderland,0,0,3,3,3,1,Win,M Jones
Middlesbrough,1,3,1,2,4,1,Win,L Mason
Bournemouth,0,1,0,-1,0,0,Loss,R Madley
Crystal Palace,1,1,1,0,0,0,Draw,J Moss
Man City,0,1,1,0,0,0,Draw,M Oliver
Burnley,0,2,1,-1,0,0,Loss,M Jones
West Ham,1,2,0,2,1,0,Win,A Taylor
Chelsea,0,5,0,-5,0,0,Loss,R Madley
Swansea,1,1,1,0,0,0,Draw,M Atkinson
Southampton,0,1,0,-1,0,0,Loss,C Pawson
Man United,1,1,1,0,0,0,Draw,M Oliver
Watford,0,3,2,-1,0,0,Loss,A Taylor
Arsenal,1,2,1,1,1,0,Win,M Clattenburg
Liverpool,1,0,1,-1,0,0,Loss,M Dean
Leicester,0,0,2,2,1,0,Win,S Attwell
Hull,0,2,2,0,0,0,Draw,J Moss
Southampton,1,3,0,3,1,0,Win,K Friend
Man City,1,4,0,4,2,0,Win,M Clattenburg
Crystal Palace,0,0,1,1,3,1,Win,A Taylor
Stoke,0,1,1,0,0,0,Draw,C Pawson
Bournemouth,1,6,3,3,1,0,Win,M Jones
Middlesbrough,0,0,0,0,0,0,Draw,M Dean
Sunderland,1,2,0,2,1,0,Win,S Attwell
Tottenham,0,3,2,-1,0,0,Loss,M Oliver
West Brom,1,3,0,3,1,0,Win,G Scott
Hull,1,4,0,4,2,0,Win,P Tierney
Liverpool,0,3,1,-2,0,0,Loss,A Taylor
Man United,0,1,1,0,0,0,Draw,N Swarbrick
Leicester,1,4,2,2,1,0,Win,R Madley
Burnley,1,3,1,2,2,0,Win,M Clattenburg
West Ham,0,0,0,0,0,0,Draw,R East
Chelsea,1,0,3,-3,0,0,Loss,J Moss
Swansea,0,1,0,-1,0,0,Loss,M Atkinson
Watford,1,1,0,1,1,0,Win,K Friend
Arsenal,0,3,1,-2,0,0,Loss,M Oliver
Stoke,1,1,0,1,1,0,Win,N Swarbrick
