Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Southampton,1,2,1,1,1,0,Win,M Clattenburg
Man City,0,3,1,-2,0,0,Loss,M Oliver
Tottenham,0,0,3,3,1,0,Win,P Dowd
Aston Villa,1,0,1,-1,0,0,Loss,L Mason
West Ham,0,3,1,-2,0,0,Loss,C Pawson
Everton,1,1,1,0,0,0,Draw,M Atkinson
West Brom,1,2,1,1,1,0,Win,M Oliver
QPR,0,2,3,1,2,0,Win,P Dowd
Hull,1,0,0,0,0,0,Draw,N Swarbrick
Newcastle,0,1,0,-1,0,0,Loss,A Marriner
Chelsea,1,1,2,-1,0,0,Loss,A Taylor
Crystal Palace,0,3,1,-2,0,0,Loss,J Moss
Stoke,1,1,0,1,1,0,Win,C Pawson
Leicester,0,1,3,2,2,0,Win,L Mason
Sunderland,1,0,0,0,0,0,Draw,N Swarbrick
Man United,0,3,0,-3,0,0,Loss,M Atkinson
Arsenal,1,2,2,0,0,0,Draw,M Oliver
Burnley,0,0,1,1,1,0,Win,A Taylor
Swansea,1,4,1,3,2,0,Win,A Marriner
Leicester,1,2,2,0,0,0,Draw,M Jones
Sunderland,0,0,1,1,1,0,Win,C Pawson
Aston Villa,0,0,2,2,2,0,Win,M Clattenburg
West Ham,1,2,0,2,3,1,Win,A Marriner
Everton,0,0,0,0,0,0,Draw,A Taylor
Tottenham,1,3,2,1,1,0,Win,P Dowd
Southampton,0,0,2,2,2,0,Win,K Friend
Man City,1,2,1,1,3,1,Win,M Clattenburg
Burnley,1,2,0,2,4,1,Win,L Mason
Swansea,0,0,1,1,5,1,Win,R East
Man United,1,1,2,-1,0,0,Loss,M Atkinson
Arsenal,0,4,1,-3,0,0,Loss,A Taylor
Newcastle,1,2,0,2,1,0,Win,L Mason
West Brom,0,0,0,0,0,0,Draw,R East
Hull,0,1,0,-1,0,0,Loss,L Probert
QPR,1,2,1,1,1,0,Win,M Atkinson
Chelsea,0,1,1,0,0,0,Draw,A Marriner
Crystal Palace,1,1,3,-2,0,0,Loss,J Moss
Stoke,0,6,1,-5,0,0,Loss,A Taylor
Stoke,0,0,1,1,1,0,Win,A Taylor
Bournemouth,1,1,0,1,2,0,Win,C Pawson
Arsenal,0,0,0,0,0,0,Draw,M Oliver
West Ham,1,0,3,-3,0,0,Loss,K Friend
Man United,0,3,1,-2,0,0,Loss,M Oliver
Norwich,1,1,1,0,0,0,Draw,A Taylor
Aston Villa,1,3,2,1,1,0,Win,J Moss
Everton,0,1,1,0,0,0,Draw,M Atkinson
Tottenham,0,0,0,0,0,0,Draw,C Pawson
Southampton,1,1,1,0,0,0,Draw,A Marriner
Chelsea,0,1,3,2,1,0,Win,M Clattenburg
Crystal Palace,1,1,2,-1,0,0,Loss,N Swarbrick
Man City,0,1,4,3,1,0,Win,J Moss
Swansea,1,1,0,1,2,0,Win,A Taylor
Newcastle,0,2,0,-2,0,0,Loss,A Marriner
West Brom,1,2,2,0,0,0,Draw,C Pawson
Watford,0,3,0,-3,0,0,Loss,M Clattenburg
Leicester,1,1,0,1,1,0,Win,M Atkinson
Sunderland,0,0,1,1,2,0,Win,K Friend
West Ham,0,2,0,-2,0,0,Loss,R Madley
Arsenal,1,3,3,0,0,0,Draw,M Jones
Man United,1,0,1,-1,0,0,Loss,M Clattenburg
Norwich,0,4,5,1,1,0,Win,L Mason
Leicester,0,2,0,-2,0,0,Loss,A Marriner
Sunderland,1,2,2,0,0,0,Draw,R Madley
Aston Villa,0,0,6,6,1,0,Win,N Swarbrick
Man City,1,3,0,3,2,0,Win,M Atkinson
Crystal Palace,0,1,2,1,3,1,Win,A Marriner
Southampton,0,3,2,-1,0,0,Loss,R East
Tottenham,1,1,1,0,0,0,Draw,J Moss
Stoke,1,4,1,3,1,0,Win,M Clattenburg
Bournemouth,0,1,2,1,2,0,Win,M Jones
Everton,1,4,0,4,3,1,Win,R Madley
Newcastle,1,2,2,0,0,0,Draw,A Marriner
Swansea,0,3,1,-2,0,0,Loss,R East
Watford,1,2,0,2,1,0,Win,L Mason
Chelsea,1,1,1,0,0,0,Draw,M Oliver
West Brom,0,1,1,0,0,0,Draw,R Madley
Arsenal,0,3,4,1,1,0,Win,M Oliver
Burnley,0,2,0,-2,0,0,Loss,L Mason
Tottenham,0,1,1,0,0,0,Draw,R Madley
Leicester,1,4,1,3,1,0,Win,C Pawson
Chelsea,0,1,2,1,2,0,Win,M Atkinson
Hull,1,5,1,4,3,1,Win,A Marriner
Swansea,0,1,2,1,4,1,Win,M Oliver
Man United,1,0,0,0,0,0,Draw,A Taylor
West Brom,1,2,1,1,1,0,Win,N Swarbrick
Crystal Palace,0,2,4,2,2,0,Win,A Marriner
Watford,1,6,1,5,3,1,Win,M Oliver
Southampton,0,0,0,0,0,0,Draw,M Clattenburg
Sunderland,1,2,0,2,1,0,Win,A Taylor
Bournemouth,0,4,3,-1,0,0,Loss,R Madley
West Ham,1,2,2,0,0,0,Draw,M Clattenburg
Middlesbrough,0,0,3,3,1,0,Win,J Moss
Everton,0,0,1,1,2,0,Win,M Dean
Stoke,1,4,1,3,3,1,Win,M Oliver
Man City,1,1,0,1,4,1,Win,C Pawson
Sunderland,0,2,2,0,0,0,Draw,A Taylor
Man United,0,1,1,0,0,0,Draw,M Oliver
Swansea,1,2,3,-1,0,0,Loss,K Friend
Chelsea,1,1,1,0,0,0,Draw,M Clattenburg
Hull,0,2,0,-2,0,0,Loss,L Mason
Tottenham,1,2,0,2,1,0,Win,A Taylor
Leicester,0,3,1,-2,0,0,Loss,M Oliver
Arsenal,1,3,1,2,1,0,Win,R Madley
Burnley,1,2,1,1,2,0,Win,C Pawson
Man City,0,1,1,0,0,0,Draw,M Oliver
Everton,1,3,1,2,1,0,Win,A Taylor
Bournemouth,1,2,2,0,0,0,Draw,L Mason
Stoke,0,1,2,1,1,0,Win,M Dean
West Brom,0,0,1,1,2,0,Win,J Moss
Crystal Palace,1,1,2,-1,0,0,Loss,A Marriner
Watford,0,0,1,1,1,0,Win,C Pawson
Southampton,1,0,0,0,0,0,Draw,R Madley
West Ham,0,0,4,4,1,0,Win,N Swarbrick
Middlesbrough,1,3,0,3,2,0,Win,M Atkinson
Watford,0,3,3,0,0,0,Draw,A Taylor
Crystal Palace,1,1,0,1,1,0,Win,K Friend
Arsenal,1,4,0,4,2,0,Win,C Pawson
Man City,0,5,0,-5,0,0,Loss,J Moss
Burnley,1,1,1,0,0,0,Draw,R East
Leicester,0,2,3,1,1,0,Win,A Taylor
Newcastle,0,1,1,0,0,0,Draw,C Pawson
Man United,1,0,0,0,0,0,Draw,M Atkinson
Tottenham,0,4,1,-3,0,0,Loss,A Marriner
Huddersfield,1,3,0,3,1,0,Win,K Friend
West Ham,0,1,4,3,2,0,Win,N Swarbrick
Southampton,1,3,0,3,3,1,Win,M Jones
Chelsea,1,1,1,0,0,0,Draw,M Oliver
Stoke,0,0,3,3,1,0,Win,M Atkinson
Brighton,0,1,5,4,2,0,Win,G Scott
Everton,1,1,1,0,0,0,Draw,C Pawson
West Brom,1,0,0,0,0,0,Draw,P Tierney
Bournemouth,0,0,4,4,1,0,Win,A Marriner
Arsenal,0,3,3,0,0,0,Draw,M Atkinson
