Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Swansea,1,1,2,-1,0,0,Loss,M Dean
Sunderland,0,1,1,0,0,0,Draw,M Atkinson
Burnley,0,0,0,0,0,0,Draw,C Foy
QPR,1,4,0,4,1,0,Win,P Dowd
Leicester,0,5,3,-2,0,0,Loss,M Clattenburg
West Ham,1,2,1,1,1,0,Win,L Mason
Everton,1,2,1,1,2,0,Win,K Friend
West Brom,0,2,2,0,0,0,Draw,M Dean
Chelsea,1,1,1,0,0,0,Draw,P Dowd
Man City,0,1,0,-1,0,0,Loss,M Oliver
Crystal Palace,1,1,0,1,1,0,Win,C Foy
Arsenal,0,1,2,1,2,0,Win,M Dean
Hull,1,3,0,3,3,1,Win,A Taylor
Stoke,1,2,1,1,4,1,Win,J Moss
Southampton,0,1,2,1,5,1,Win,K Friend
Liverpool,1,3,0,3,6,1,Win,M Atkinson
Aston Villa,0,1,1,0,0,0,Draw,L Mason
Newcastle,1,3,1,2,1,0,Win,M Jones
Tottenham,0,0,0,0,0,0,Draw,J Moss
Stoke,0,1,1,0,0,0,Draw,M Oliver
Southampton,1,0,1,-1,0,0,Loss,P Dowd
QPR,0,0,2,2,1,0,Win,N Swarbrick
Leicester,1,3,1,2,2,0,Win,M Atkinson
West Ham,0,1,1,0,0,0,Draw,M Clattenburg
Burnley,1,3,1,2,1,0,Win,K Friend
Swansea,0,2,1,-1,0,0,Loss,N Swarbrick
Sunderland,1,2,0,2,1,0,Win,R East
Newcastle,0,0,1,1,2,0,Win,A Taylor
Tottenham,1,3,0,3,3,1,Win,M Clattenburg
Liverpool,0,1,2,1,4,1,Win,M Atkinson
Aston Villa,1,3,1,2,5,1,Win,R East
Man City,1,4,2,2,6,1,Win,M Clattenburg
Chelsea,0,1,0,-1,0,0,Loss,M Dean
Everton,0,3,0,-3,0,0,Loss,A Marriner
West Brom,1,0,1,-1,0,0,Loss,A Taylor
Crystal Palace,0,1,2,1,1,0,Win,M Oliver
Arsenal,1,1,1,0,0,0,Draw,M Dean
Hull,0,0,0,0,0,0,Draw,L Probert
Tottenham,1,1,0,1,1,0,Win,J Moss
Aston Villa,0,0,1,1,2,0,Win,M Dean
Newcastle,1,0,0,0,0,0,Draw,C Pawson
Swansea,0,2,1,-1,0,0,Loss,M Atkinson
Liverpool,1,3,1,2,1,0,Win,M Oliver
Southampton,0,2,3,1,2,0,Win,M Clattenburg
Sunderland,1,3,0,3,3,1,Win,M Jones
Arsenal,0,3,0,-3,0,0,Loss,A Taylor
Everton,0,0,3,3,1,0,Win,J Moss
Man City,1,0,0,0,0,0,Draw,M Clattenburg
Crystal Palace,0,0,0,0,0,0,Draw,M Jones
West Brom,1,2,0,2,1,0,Win,M Dean
Watford,0,1,2,1,2,0,Win,R Madley
Leicester,0,1,1,0,0,0,Draw,C Pawson
West Ham,1,0,0,0,0,0,Draw,M Clattenburg
Bournemouth,0,2,1,-1,0,0,Loss,A Taylor
Norwich,1,1,2,-1,0,0,Loss,M Oliver
Stoke,0,2,0,-2,0,0,Loss,K Friend
Chelsea,1,0,0,0,0,0,Draw,M Atkinson
Swansea,1,2,1,1,1,0,Win,J Moss
Newcastle,0,3,3,0,0,0,Draw,M Dean
Liverpool,0,0,1,1,1,0,Win,M Clattenburg
Southampton,1,0,1,-1,0,0,Loss,M Jones
