Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
West Ham,0,0,1,1,1,0,Win,C Foy
QPR,1,4,0,4,2,0,Win,A Taylor
Liverpool,1,0,3,-3,0,0,Loss,P Dowd
Sunderland,0,2,2,0,0,0,Draw,C Pawson
West Brom,1,0,1,-1,0,0,Loss,K Friend
Arsenal,0,1,1,0,0,0,Draw,M Oliver
Southampton,1,1,0,1,1,0,Win,M Jones
Man City,0,4,1,-3,0,0,Loss,J Moss
Newcastle,1,1,2,-1,0,0,Loss,A Taylor
Aston Villa,0,1,2,1,1,0,Win,N Swarbrick
Stoke,1,1,2,-1,0,0,Loss,M Jones
Hull,0,1,2,1,1,0,Win,C Pawson
Everton,1,2,1,1,2,0,Win,M Oliver
Chelsea,0,3,0,-3,0,0,Loss,M Dean
Crystal Palace,1,0,0,0,0,0,Draw,L Mason
Swansea,0,1,2,1,1,0,Win,R Madley
Burnley,1,2,1,1,2,0,Win,M Jones
Leicester,0,1,2,1,3,1,Win,N Swarbrick
Man United,1,0,0,0,0,0,Draw,J Moss
Chelsea,1,5,3,2,1,0,Win,P Dowd
Crystal Palace,0,2,1,-1,0,0,Loss,A Taylor
Sunderland,1,2,1,1,1,0,Win,C Foy
West Brom,0,0,3,3,2,0,Win,K Friend
Arsenal,1,2,1,1,3,1,Win,M Atkinson
Liverpool,0,3,2,-1,0,0,Loss,P Dowd
West Ham,1,2,2,0,0,0,Draw,J Moss
Swansea,1,3,2,1,1,0,Win,M Oliver
QPR,0,1,2,1,2,0,Win,C Pawson
Man United,0,3,0,-3,0,0,Loss,M Clattenburg
Leicester,1,4,3,1,1,0,Win,M Dean
Burnley,0,0,0,0,0,0,Draw,M Atkinson
Aston Villa,1,0,1,-1,0,0,Loss,L Probert
Newcastle,0,1,3,2,1,0,Win,K Friend
Southampton,0,2,2,0,0,0,Draw,J Moss
Man City,1,0,1,-1,0,0,Loss,A Marriner
Stoke,0,3,0,-3,0,0,Loss,M Clattenburg
Hull,1,2,0,2,1,0,Win,A Taylor
Everton,0,0,1,1,2,0,Win,J Moss
Man United,0,1,0,-1,0,0,Loss,J Moss
Stoke,1,2,2,0,0,0,Draw,R Madley
Leicester,0,1,1,0,0,0,Draw,M Atkinson
Everton,1,0,0,0,0,0,Draw,M Jones
Sunderland,0,0,1,1,1,0,Win,C Pawson
Crystal Palace,1,1,0,1,2,0,Win,M Oliver
Man City,1,4,1,3,3,1,Win,M Clattenburg
Swansea,0,2,2,0,0,0,Draw,M Dean
Liverpool,1,0,0,0,0,0,Draw,C Pawson
Bournemouth,0,1,5,4,1,0,Win,R East
Aston Villa,1,3,1,2,2,0,Win,M Dean
Arsenal,0,1,1,0,0,0,Draw,M Atkinson
West Ham,1,4,1,3,1,0,Win,A Taylor
Chelsea,1,0,0,0,0,0,Draw,M Oliver
West Brom,0,1,1,0,0,0,Draw,J Moss
Newcastle,1,1,2,-1,0,0,Loss,R East
Southampton,0,0,2,2,1,0,Win,K Friend
Norwich,1,3,0,3,2,0,Win,M Jones
Watford,0,1,2,1,3,1,Win,A Taylor
Everton,0,1,1,0,0,0,Draw,M Oliver
Leicester,1,0,1,-1,0,0,Loss,L Mason
Sunderland,1,4,1,3,1,0,Win,M Dean
Crystal Palace,0,1,3,2,2,0,Win,M Atkinson
Norwich,0,0,3,3,3,1,Win,K Friend
Watford,1,1,0,1,4,1,Win,R East
Man City,0,1,2,1,5,1,Win,M Clattenburg
Swansea,1,2,1,1,6,1,Win,M Jones
West Ham,0,1,0,-1,0,0,Loss,A Marriner
Arsenal,1,2,2,0,0,0,Draw,M Oliver
Aston Villa,0,0,2,2,1,0,Win,A Taylor
Bournemouth,1,3,0,3,2,0,Win,N Swarbrick
Liverpool,0,1,1,0,0,0,Draw,J Moss
Man United,1,3,0,3,1,0,Win,M Dean
Stoke,0,0,4,4,2,0,Win,N Swarbrick
West Brom,1,1,1,0,0,0,Draw,M Jones
Chelsea,0,2,2,0,0,0,Draw,M Clattenburg
Southampton,1,1,2,-1,0,0,Loss,J Moss
Newcastle,0,5,1,-4,0,0,Loss,A Taylor
Everton,0,1,1,0,0,0,Draw,M Atkinson
Crystal Palace,1,1,0,1,1,0,Win,M Oliver
Liverpool,1,1,1,0,0,0,Draw,R Madley
Stoke,0,0,4,4,1,0,Win,A Taylor
Sunderland,1,1,0,1,2,0,Win,M Dean
Middlesbrough,0,1,2,1,3,1,Win,G Scott
Man City,1,2,0,2,4,1,Win,A Marriner
West Brom,0,1,1,0,0,0,Draw,K Friend
Bournemouth,0,0,0,0,0,0,Draw,C Pawson
Leicester,1,1,1,0,0,0,Draw,R Madley
Arsenal,0,1,1,0,0,0,Draw,M Clattenburg
West Ham,1,3,2,1,1,0,Win,M Dean
Chelsea,0,2,1,-1,0,0,Loss,M Oliver
Swansea,1,5,0,5,1,0,Win,J Moss
Man United,0,1,0,-1,0,0,Loss,R Madley
Hull,1,3,0,3,1,0,Win,A Marriner
Burnley,1,2,1,1,2,0,Win,K Friend
Southampton,0,1,4,3,3,1,Win,M Dean
Watford,0,1,4,3,4,1,Win,M Oliver
Chelsea,1,2,0,2,5,1,Win,M Atkinson
West Brom,1,4,0,4,6,1,Win,A Taylor
Man City,0,2,2,0,0,0,Draw,A Marriner
Sunderland,0,0,0,0,0,0,Draw,L Mason
Middlesbrough,1,1,0,1,1,0,Win,M Clattenburg
Liverpool,0,2,0,-2,0,0,Loss,A Taylor
Stoke,1,4,0,4,1,0,Win,J Moss
Everton,1,3,2,1,2,0,Win,M Oliver
Southampton,1,2,1,1,3,1,Win,A Marriner
