Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Burnley,0,1,3,2,1,0,Win,M Oliver,9.0,5.0,1.4,7.5,4.6,1.4
Leicester,1,2,0,2,2,0,Win,L Mason,1.2,7.5,17.0,1.25,6.25,12.5
Everton,0,3,6,3,3,1,Win,J Moss,3.75,3.3,2.2,3.5,3.3,2.2
Swansea,1,4,2,2,4,1,Win,K Friend,1.3,5.75,12.0,1.3,5.0,9.5
Man City,0,1,1,0,0,0,Draw,M Dean,2.38,3.5,3.1,2.4,3.4,3.0
Aston Villa,1,3,0,3,1,0,Win,P Dowd,1.22,7.0,16.0,1.25,5.5,11.0
Arsenal,1,2,0,2,2,0,Win,M Atkinson,1.67,4.2,5.25,1.72,3.75,5.25
Crystal Palace,0,1,2,1,3,1,Win,C Pawson,8.5,4.75,1.44,7.0,4.25,1.44
Man United,0,1,1,0,0,0,Draw,P Dowd,2.88,3.6,2.5,2.75,3.5,2.55
QPR,1,2,1,1,1,0,Win,M Jones,1.17,8.5,21.0,1.18,6.25,15.0
Liverpool,0,1,2,1,2,0,Win,A Taylor,3.4,3.4,2.3,3.1,3.25,2.3
West Brom,1,2,0,2,3,1,Win,L Mason,1.25,6.5,15.0,1.25,5.75,10.5
Sunderland,0,0,0,0,0,0,Draw,K Friend,9.0,5.0,1.4,8.0,5.0,1.4
Tottenham,1,3,0,3,1,0,Win,M Dean,1.4,5.0,9.0,1.4,4.75,8.5
Newcastle,0,2,1,-1,0,0,Loss,M Atkinson,7.0,4.33,1.53,6.75,4.0,1.55
Hull,1,2,0,2,1,0,Win,C Foy,1.18,8.0,18.0,1.18,6.25,15.5
Stoke,0,0,2,2,2,0,Win,N Swarbrick,6.25,4.0,1.62,5.75,3.75,1.67
West Ham,1,2,0,2,3,1,Win,M Oliver,1.33,5.75,10.0,1.33,5.0,8.75
Southampton,0,1,1,0,0,0,Draw,A Taylor,4.75,3.75,1.83,4.6,3.6,1.83
Tottenham,0,5,3,-2,0,0,Loss,P Dowd,5.0,3.75,1.8,4.25,3.6,1.8
Newcastle,1,2,0,2,1,0,Win,R East,1.2,7.5,17.0,1.2,6.0,14.5
Swansea,0,0,5,5,2,0,Win,J Moss,7.0,4.2,1.55,6.0,3.9,1.55
Man City,1,1,1,0,0,0,Draw,M Clattenburg,2.15,3.5,3.6,2.15,3.4,3.5
Aston Villa,0,1,2,1,1,0,Win,N Swarbrick,10.0,5.25,1.36,9.0,4.4,1.36
Everton,1,1,0,1,2,0,Win,J Moss,1.33,5.5,11.0,1.33,5.0,8.25
Burnley,1,1,1,0,0,0,Draw,M Atkinson,1.2,7.5,17.0,1.2,6.25,12.5
West Ham,0,0,1,1,1,0,Win,A Marriner,6.25,4.0,1.62,5.75,4.1,1.62
Southampton,1,1,1,0,0,0,Draw,M Dean,1.62,4.0,6.5,1.62,3.9,6.0
Hull,0,2,3,1,1,0,Win,M Oliver,7.0,4.33,1.44,6.75,4.25,1.45
Stoke,1,2,1,1,2,0,Win,J Moss,1.29,5.5,11.0,1.28,5.25,10.5
QPR,0,0,1,1,3,1,Win,A Marriner,9.0,5.0,1.4,8.0,5.0,1.4
Man United,1,1,0,1,4,1,Win,M Dean,2.0,3.4,4.33,2.0,3.5,3.9
Arsenal,0,0,0,0,0,0,Draw,M Oliver,2.4,3.3,3.3,2.35,3.3,3.2
Leicester,0,1,3,2,1,0,Win,M Clattenburg,5.75,3.8,1.7,5.25,3.8,1.7
Crystal Palace,1,1,0,1,2,0,Win,K Friend,1.36,5.25,10.0,1.36,5.0,9.25
Liverpool,1,1,1,0,0,0,Draw,A Marriner,2.1,3.5,3.8,2.1,3.3,3.8
West Brom,0,3,0,-3,0,0,Loss,M Jones,4.1,3.5,2.0,4.0,3.5,2.0
Sunderland,1,3,1,2,1,0,Win,L Mason,1.36,5.25,9.5,1.36,5.25,8.75
Swansea,1,2,2,0,0,0,Draw,M Oliver,1.36,5.0,11.0,1.4,4.75,9.0
Man City,0,3,0,-3,0,0,Loss,M Atkinson,2.1,3.5,3.75,2.1,3.4,3.7
West Brom,0,2,3,1,1,0,Win,M Clattenburg,6.5,4.0,1.62,5.25,3.8,1.62
