Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Leicester,0,2,2,0,0,0,Draw,M Jones,3.2,3.4,2.4,2.9,3.2,2.4
Arsenal,1,2,2,0,0,0,Draw,K Friend,2.8,3.4,2.7,2.75,3.25,2.7
Chelsea,1,3,6,-3,0,0,Loss,J Moss,3.75,3.3,2.2,3.5,3.3,2.2
West Brom,0,0,2,2,1,0,Win,A Taylor,3.5,3.5,2.2,3.3,3.2,2.2
Crystal Palace,1,2,3,-1,0,0,Loss,M Oliver,1.4,5.0,9.0,1.42,4.1,8.25
Liverpool,0,1,1,0,0,0,Draw,M Atkinson,1.91,3.75,4.33,1.95,3.6,4.0
Man United,0,2,1,-1,0,0,Loss,K Friend,1.67,4.2,5.25,1.67,4.0,5.25
Aston Villa,1,3,0,3,1,0,Win,A Taylor,1.6,4.0,6.5,1.62,3.7,5.5
Burnley,0,1,3,2,2,0,Win,A Marriner,4.75,3.75,1.83,4.6,3.6,1.85
Swansea,1,0,0,0,0,0,Draw,K Friend,1.75,3.8,5.25,1.75,3.6,4.5
Sunderland,0,1,1,0,0,0,Draw,L Mason,4.0,3.5,2.05,3.6,3.3,2.05
West Ham,1,2,1,1,1,0,Win,M Clattenburg,1.85,3.8,4.5,1.85,3.6,4.0
Tottenham,0,2,1,-1,0,0,Loss,M Oliver,2.25,3.6,3.25,2.35,3.4,3.2
Hull,1,1,1,0,0,0,Draw,R Madley,1.53,4.33,7.0,1.55,3.8,6.0
Man City,0,1,0,-1,0,0,Loss,A Marriner,1.5,4.75,7.0,1.53,4.5,6.0
QPR,1,3,1,2,1,0,Win,N Swarbrick,1.45,4.5,8.5,1.45,4.25,6.75
Southampton,0,3,0,-3,0,0,Loss,J Moss,2.45,3.5,3.0,2.5,3.4,2.9
Stoke,1,0,1,-1,0,0,Loss,L Mason,1.83,3.6,5.0,1.83,3.4,4.33
Newcastle,0,3,2,-1,0,0,Loss,C Pawson,2.9,3.4,2.6,2.8,3.3,2.6
Hull,0,2,0,-2,0,0,Loss,K Friend,3.4,3.4,2.3,3.0,3.3,2.3
Man City,1,1,1,0,0,0,Draw,M Atkinson,4.5,3.75,1.85,4.0,3.4,1.9
West Brom,1,0,0,0,0,0,Draw,M Oliver,1.85,3.6,4.75,1.85,3.4,4.2
Crystal Palace,0,0,1,1,1,0,Win,R East,2.8,3.3,2.75,2.8,3.1,2.75
Liverpool,1,0,0,0,0,0,Draw,A Taylor,3.4,3.4,2.3,3.2,3.4,2.3
Chelsea,0,1,0,-1,0,0,Loss,J Moss,1.33,5.5,11.0,1.33,5.0,8.25
Leicester,1,2,2,0,0,0,Draw,P Dowd,1.83,3.6,5.0,1.83,3.5,4.2
Arsenal,0,2,0,-2,0,0,Loss,A Marriner,1.57,4.5,6.0,1.57,4.2,6.0
Stoke,0,2,0,-2,0,0,Loss,M Clattenburg,2.5,3.3,3.1,2.5,3.2,2.8
Newcastle,1,3,0,3,1,0,Win,M Atkinson,1.83,3.75,4.75,1.83,3.5,4.2
QPR,0,1,2,1,2,0,Win,J Moss,3.3,3.4,2.15,3.25,3.25,2.2
Southampton,1,1,0,1,3,1,Win,L Mason,2.63,3.2,2.8,2.6,3.1,2.75
Swansea,0,1,1,0,0,0,Draw,M Oliver,2.5,3.3,3.1,2.5,3.3,2.95
Burnley,1,1,0,1,1,0,Win,M Jones,1.73,3.8,5.5,1.72,3.8,5.0
Man United,1,3,0,3,2,0,Win,A Marriner,3.75,3.4,2.15,3.4,3.4,2.2
Aston Villa,0,3,2,-1,0,0,Loss,M Clattenburg,2.75,3.3,2.8,2.65,3.25,2.6
Sunderland,1,0,2,-2,0,0,Loss,L Probert,1.8,3.75,5.0,1.8,3.6,4.75
West Ham,0,1,2,1,1,0,Win,K Friend,2.9,3.4,2.6,2.65,3.2,2.6
Tottenham,1,0,1,-1,0,0,Loss,J Moss,2.4,3.6,3.0,2.35,3.4,2.85
Watford,1,2,2,0,0,0,Draw,M Jones,1.7,3.9,5.5,1.7,3.5,5.0
Southampton,0,0,3,3,1,0,Win,M Oliver,1.95,3.6,4.33,1.95,3.5,4.1
Man City,1,0,2,-2,0,0,Loss,A Taylor,5.0,4.0,1.73,4.4,3.75,1.73
Tottenham,0,0,0,0,0,0,Draw,M Jones,2.0,3.5,4.2,1.95,3.4,3.75
Chelsea,1,3,1,2,1,0,Win,A Marriner,4.0,3.6,2.0,3.75,3.5,2.0
Swansea,0,0,0,0,0,0,Draw,S Attwell,2.3,3.4,3.4,2.3,3.2,3.1
West Brom,0,2,3,1,1,0,Win,R Madley,3.1,3.3,2.5,2.8,3.25,2.45
Liverpool,1,1,1,0,0,0,Draw,M Atkinson,2.7,3.4,2.8,2.7,3.2,2.75
Man United,1,0,3,-3,0,0,Loss,J Moss,3.25,3.4,2.38,3.0,3.3,2.4
Arsenal,0,2,1,-1,0,0,Loss,L Mason,1.44,4.75,8.0,1.44,4.6,7.25
Sunderland,1,6,2,4,1,0,Win,A Marriner,1.5,4.5,7.5,1.5,4.0,6.5
West Ham,0,1,1,0,0,0,Draw,P Tierney,2.6,3.5,2.8,2.55,3.3,2.7
Aston Villa,1,4,0,4,1,0,Win,M Oliver,1.57,4.2,6.5,1.57,3.9,5.75
Bournemouth,0,3,3,0,0,0,Draw,K Friend,2.9,3.6,2.5,2.65,3.4,2.5
Crystal Palace,1,1,1,0,0,0,Draw,C Pawson,2.1,3.6,3.75,2.1,3.3,3.4
Norwich,0,1,1,0,0,0,Draw,M Atkinson,2.9,3.5,2.55,2.8,3.3,2.55
Leicester,1,2,3,-1,0,0,Loss,J Moss,2.1,3.75,3.6,2.1,3.4,3.3
Newcastle,0,0,1,1,1,0,Win,L Mason,3.2,3.5,2.2,3.1,3.5,2.25
Stoke,1,3,4,-1,0,0,Loss,M Clattenburg,1.95,3.6,4.2,1.95,3.3,3.9
Tottenham,1,1,1,0,0,0,Draw,M Oliver,2.8,3.5,2.63,2.7,3.4,2.6
Man City,0,0,0,0,0,0,Draw,R East,1.53,4.75,6.0,1.53,4.75,5.75
Chelsea,0,3,3,0,0,0,Draw,M Jones,1.83,3.75,4.75,1.83,3.8,4.4
Swansea,1,1,2,-1,0,0,Loss,A Taylor,1.73,3.8,5.5,1.72,3.6,4.75
Newcastle,1,3,0,3,1,0,Win,C Pawson,1.65,4.2,5.5,1.67,3.5,5.25
Stoke,0,0,3,3,2,0,Win,A Marriner,2.7,3.4,2.8,2.6,3.3,2.75
West Brom,1,0,1,-1,0,0,Loss,M Oliver,1.53,4.2,7.5,1.53,3.9,6.25
Aston Villa,0,1,3,2,1,0,Win,R East,4.5,3.6,1.91,4.33,3.6,1.85
West Ham,1,2,3,-1,0,0,Loss,A Taylor,1.73,4.0,5.0,1.7,3.6,5.0
Arsenal,1,0,2,-2,0,0,Loss,M Clattenburg,2.7,3.5,2.7,2.6,3.4,2.55
Man United,0,1,0,-1,0,0,Loss,A Marriner,2.1,3.5,3.75,2.0,3.4,3.6
Watford,0,1,1,0,0,0,Draw,K Friend,3.4,3.3,2.15,3.4,3.25,2.15
Crystal Palace,0,0,0,0,0,0,Draw,M Jones,2.9,3.4,2.6,2.95,3.2,2.4
Southampton,1,1,1,0,0,0,Draw,C Pawson,2.7,3.4,2.8,2.5,3.25,2.75
Liverpool,0,4,0,-4,0,0,Loss,R Madley,1.73,4.0,5.0,1.7,3.75,4.75
Bournemouth,1,2,1,1,1,0,Win,N Swarbrick,2.0,3.8,3.8,2.0,3.6,3.7
Leicester,0,3,1,-2,0,0,Loss,A Marriner,1.91,4.0,4.0,1.83,3.5,4.25
Sunderland,0,3,0,-3,0,0,Loss,A Taylor,1.75,4.0,5.0,1.72,3.5,5.0
Norwich,1,3,0,3,1,0,Win,L Mason,1.8,4.0,4.5,1.75,3.8,4.33
Tottenham,1,1,1,0,0,0,Draw,M Atkinson,3.2,3.4,2.4,2.95,3.2,2.4
West Brom,0,1,2,1,1,0,Win,N Swarbrick,3.0,3.25,2.6,2.95,3.1,2.55
Stoke,1,1,0,1,2,0,Win,M Oliver,1.73,3.6,5.25,1.72,3.75,5.0
Sunderland,0,0,3,3,3,1,Win,M Jones,3.8,3.5,2.1,3.8,3.5,2.1
Middlesbrough,1,3,1,2,4,1,Win,L Mason,1.67,3.8,6.0,1.65,3.8,5.5
Bournemouth,0,1,0,-1,0,0,Loss,R Madley,3.6,3.5,2.15,3.6,3.4,2.1
Crystal Palace,1,1,1,0,0,0,Draw,J Moss,1.73,4.0,5.0,1.72,3.75,5.0
