Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Newcastle,0,0,2,2,1,0,Win,M Atkinson,5.25,4.33,1.67,4.75,3.8,1.67
Liverpool,1,3,1,2,2,0,Win,M Oliver,1.85,4.0,4.33,1.87,3.9,4.0
Stoke,1,0,1,-1,0,0,Loss,L Mason,1.18,8.0,18.0,1.18,6.5,14.5
Arsenal,0,2,2,0,0,0,Draw,M Clattenburg,3.0,3.4,2.5,2.85,3.5,2.5
Chelsea,1,1,1,0,0,0,Draw,M Dean,2.38,3.5,3.1,2.4,3.4,3.0
Hull,0,2,4,2,1,0,Win,A Taylor,6.5,4.2,1.57,5.75,3.8,1.57
Aston Villa,0,0,2,2,2,0,Win,C Foy,7.5,4.5,1.5,6.75,4.2,1.53
Tottenham,1,4,1,3,3,1,Win,J Moss,1.45,4.75,8.0,1.5,4.33,7.0
West Ham,0,2,1,-1,0,0,Loss,M Atkinson,6.5,4.5,1.55,6.0,4.2,1.57
Man United,1,1,0,1,1,0,Win,M Oliver,1.91,3.75,4.33,1.91,3.75,4.0
QPR,0,2,2,0,0,0,Draw,M Dean,7.0,4.75,1.5,6.0,4.2,1.5
Swansea,1,2,1,1,1,0,Win,N Swarbrick,1.4,5.25,8.5,1.4,4.6,7.5
Southampton,0,0,3,3,2,0,Win,M Jones,3.2,3.6,2.3,3.2,3.4,2.35
Sunderland,0,1,4,3,3,1,Win,C Pawson,7.5,4.5,1.5,7.0,4.1,1.53
Everton,1,1,0,1,4,1,Win,A Marriner,1.5,4.75,7.0,1.53,4.5,6.0
Leicester,0,0,1,1,5,1,Win,J Moss,7.0,4.75,1.5,5.5,4.6,1.5
Crystal Palace,1,3,0,3,6,1,Win,P Dowd,1.29,6.0,12.0,1.3,5.5,11.0
West Brom,0,1,3,2,7,1,Win,M Clattenburg,6.5,4.5,1.53,5.5,4.2,1.53
Burnley,1,2,2,0,0,0,Draw,K Friend,1.18,8.0,19.0,1.18,6.5,15.5
Sunderland,1,3,2,1,1,0,Win,R East,1.22,7.0,15.0,1.25,6.0,10.0
Everton,0,1,1,0,0,0,Draw,M Atkinson,4.5,3.75,1.85,4.0,3.4,1.9
Arsenal,1,0,2,-2,0,0,Loss,M Dean,1.8,4.0,4.5,1.8,3.7,4.1
Chelsea,0,1,1,0,0,0,Draw,M Clattenburg,2.15,3.5,3.6,2.15,3.4,3.5
Hull,1,1,1,0,0,0,Draw,J Moss,1.18,8.0,19.0,1.19,6.5,13.5
Stoke,0,1,4,3,1,0,Win,L Mason,5.75,3.8,1.7,5.0,3.6,1.7
Newcastle,1,5,0,5,2,0,Win,C Foy,1.3,6.0,11.0,1.3,5.25,9.0
Liverpool,0,2,1,-1,0,0,Loss,M Clattenburg,3.1,3.6,2.38,3.0,3.4,2.4
Leicester,1,2,0,2,1,0,Win,R Madley,1.25,7.0,13.0,1.25,6.5,11.5
Burnley,0,1,0,-1,0,0,Loss,A Marriner,7.5,5.0,1.44,6.5,4.5,1.44
West Brom,1,3,0,3,1,0,Win,N Swarbrick,1.3,5.5,8.5,1.3,5.0,10.0
Crystal Palace,0,2,1,-1,0,0,Loss,M Oliver,5.0,4.0,1.67,5.0,4.0,1.7
Man United,0,4,2,-2,0,0,Loss,M Clattenburg,2.63,3.4,2.88,2.7,3.4,2.7
West Ham,1,2,0,2,1,0,Win,A Taylor,1.25,6.5,11.0,1.28,6.0,11.0
Aston Villa,1,3,2,1,2,0,Win,M Dean,1.29,6.0,12.0,1.28,5.75,12.5
Tottenham,0,0,1,1,3,1,Win,A Marriner,3.75,3.75,2.05,3.6,3.6,2.05
QPR,1,6,0,6,4,1,Win,M Dean,1.22,7.5,13.0,1.22,7.25,11.5
Swansea,0,2,4,2,5,1,Win,M Clattenburg,4.75,4.2,1.75,5.0,3.75,1.75
Southampton,1,2,0,2,6,1,Win,C Foy,1.57,4.5,6.0,1.55,4.0,5.75
West Brom,0,0,3,3,1,0,Win,M Dean,5.75,4.0,1.67,4.75,4.0,1.65
Chelsea,1,3,0,3,2,0,Win,M Atkinson,2.1,3.5,3.75,2.1,3.4,3.7
Everton,0,0,2,2,3,1,Win,A Taylor,5.0,4.0,1.73,4.4,3.75,1.73
Watford,1,2,0,2,4,1,Win,M Clattenburg,1.2,8.0,15.0,1.2,7.0,10.5
Crystal Palace,0,0,1,1,5,1,Win,M Jones,5.5,4.2,1.67,5.25,3.9,1.67
West Ham,1,1,2,-1,0,0,Loss,R Madley,1.29,6.5,11.0,1.28,6.0,10.5
Tottenham,0,4,1,-3,0,0,Loss,M Clattenburg,4.2,3.8,1.91,4.0,3.6,1.91
Newcastle,1,6,1,5,1,0,Win,K Friend,1.25,7.0,13.0,1.25,6.25,11.5
Bournemouth,1,5,1,4,2,0,Win,M Dean,1.33,5.75,10.0,1.33,5.25,8.0
Man United,0,0,0,0,0,0,Draw,M Clattenburg,2.6,3.5,2.8,2.65,3.3,2.85
Norwich,1,2,1,1,1,0,Win,R Madley,1.29,6.0,12.0,1.28,5.75,9.0
Aston Villa,0,0,0,0,0,0,Draw,C Pawson,7.5,5.0,1.44,7.0,4.33,1.44
Liverpool,1,1,4,-3,0,0,Loss,J Moss,1.7,4.0,5.5,1.7,3.75,5.5
Southampton,1,3,1,2,1,0,Win,R East,1.6,4.33,6.0,1.6,4.2,5.25
Stoke,0,2,0,-2,0,0,Loss,M Atkinson,5.25,4.0,1.7,5.0,3.7,1.72
Swansea,1,2,1,1,1,0,Win,R Madley,1.3,6.0,11.0,1.3,5.25,11.0
Arsenal,0,2,1,-1,0,0,Loss,A Marriner,2.45,3.5,3.0,2.45,3.4,3.0
Sunderland,1,4,1,3,1,0,Win,A Taylor,1.2,7.0,13.0,1.22,6.25,14.5
Leicester,0,0,0,0,0,0,Draw,C Pawson,4.33,4.0,1.85,4.0,4.0,1.85
Watford,0,1,2,1,1,0,Win,M Atkinson,5.0,4.0,1.75,4.75,3.75,1.75
Everton,1,0,0,0,0,0,Draw,R East,1.53,4.75,6.0,1.53,4.75,5.75
Crystal Palace,1,4,0,4,1,0,Win,J Moss,1.4,5.25,8.5,1.4,5.0,8.25
West Ham,0,2,2,0,0,0,Draw,C Pawson,5.0,4.0,1.73,4.6,4.0,1.72
Sunderland,0,0,1,1,1,0,Win,S Attwell,8.0,4.75,1.45,6.75,4.5,1.48
Leicester,1,1,3,-2,0,0,Loss,A Taylor,1.62,4.2,6.0,1.62,4.0,5.5
Tottenham,1,1,2,-1,0,0,Loss,M Clattenburg,2.1,3.75,3.6,2.1,3.5,3.6
Liverpool,0,3,0,-3,0,0,Loss,M Atkinson,2.63,3.4,2.88,2.55,3.2,2.75
Aston Villa,1,4,0,4,1,0,Win,L Mason,1.22,7.0,15.0,1.19,6.5,13.0
Norwich,0,0,0,0,0,0,Draw,J Moss,6.0,4.2,1.6,6.0,3.75,1.57
Man United,1,0,1,-1,0,0,Loss,M Oliver,1.83,3.75,4.75,1.83,3.6,4.0
Bournemouth,0,0,4,4,1,0,Win,R Madley,3.75,3.6,2.1,3.6,3.4,2.0
West Brom,1,2,1,1,2,0,Win,M Jones,1.33,5.0,9.0,1.33,5.0,8.75
Chelsea,0,0,3,3,3,1,Win,M Dean,2.75,3.4,2.7,2.4,3.4,2.75
Newcastle,0,1,1,0,0,0,Draw,K Friend,6.0,4.5,1.57,5.25,4.25,1.55
Stoke,1,4,0,4,1,0,Win,R Madley,1.3,6.0,11.0,1.3,5.5,8.5
Southampton,0,4,2,-2,0,0,Loss,A Marriner,2.8,3.4,2.7,2.7,3.4,2.6
Arsenal,1,2,2,0,0,0,Draw,A Taylor,2.5,3.6,2.9,2.55,3.4,2.6
Swansea,0,1,1,0,0,0,Draw,M Dean,6.0,4.75,1.53,5.75,4.5,1.48
Sunderland,1,2,1,1,1,0,Win,R Madley,1.25,6.5,15.0,1.22,6.0,11.5
Stoke,0,1,4,3,2,0,Win,M Dean,5.5,3.8,1.73,5.25,3.8,1.67
West Ham,1,3,1,2,3,1,Win,A Marriner,1.25,6.0,11.0,1.28,6.0,10.0
Man United,0,1,2,1,4,1,Win,M Clattenburg,2.38,3.25,3.4,2.3,3.3,3.5
Bournemouth,1,4,0,4,5,1,Win,J Moss,1.29,6.0,12.0,1.26,6.25,10.0
Swansea,0,1,3,2,6,1,Win,N Swarbrick,9.0,5.5,1.36,7.5,5.0,1.4
Tottenham,0,2,0,-2,0,0,Loss,A Marriner,3.0,3.5,2.5,3.0,3.4,2.35
Everton,1,1,1,0,0,0,Draw,M Oliver,1.5,4.75,7.0,1.48,4.75,6.25
Southampton,1,1,1,0,0,0,Draw,M Clattenburg,1.5,4.5,7.5,1.5,4.5,7.0
West Brom,0,0,4,4,1,0,Win,L Mason,8.0,4.75,1.44,7.0,4.5,1.45
Middlesbrough,1,1,1,0,0,0,Draw,K Friend,1.22,7.0,15.0,1.2,6.75,14.5
Crystal Palace,0,1,2,1,1,0,Win,R Madley,6.5,4.5,1.53,6.25,4.4,1.5
Burnley,0,1,2,1,2,0,Win,A Marriner,9.0,6.0,1.33,9.5,6.0,1.28
Chelsea,1,1,3,-2,0,0,Loss,A Taylor,2.15,3.6,3.6,2.15,3.5,3.6
Leicester,0,4,2,-2,0,0,Loss,M Oliver,5.25,4.0,1.7,4.75,4.0,1.7
Watford,1,2,0,2,1,0,Win,K Friend,1.29,6.5,11.0,1.22,6.5,12.5
Arsenal,1,2,1,1,2,0,Win,M Atkinson,2.15,3.6,3.5,2.15,3.6,3.5
Hull,0,0,3,3,3,1,Win,R Madley,10.0,5.5,1.3,8.5,5.0,1.33
Liverpool,0,1,0,-1,0,0,Loss,C Pawson,2.35,3.6,3.1,2.3,3.5,3.0
Burnley,1,2,1,1,1,0,Win,L Mason,1.17,8.5,19.0,1.17,8.0,15.0
Everton,0,4,0,-4,0,0,Loss,M Clattenburg,4.5,4.0,1.8,4.4,3.8,1.78
Tottenham,1,2,2,0,0,0,Draw,A Marriner,2.15,3.5,3.6,2.1,3.5,3.5
West Ham,0,0,4,4,1,0,Win,K Friend,6.0,4.5,1.57,5.5,4.33,1.57
Swansea,1,2,1,1,2,0,Win,M Dean,1.22,7.0,15.0,1.2,7.25,13.0
Bournemouth,0,0,2,2,3,1,Win,N Swarbrick,7.5,5.0,1.44,6.75,4.75,1.45
Sunderland,0,0,2,2,4,1,Win,M Atkinson,11.0,6.5,1.29,10.0,6.0,1.28
Stoke,1,0,0,0,0,0,Draw,N Swarbrick,1.25,6.5,15.0,1.25,6.0,12.5
Liverpool,1,1,1,0,0,0,Draw,M Oliver,2.0,3.75,3.8,1.95,3.7,3.75
Arsenal,0,2,2,0,0,0,Draw,A Marriner,3.1,3.75,2.3,3.25,3.5,2.2
Chelsea,0,2,1,-1,0,0,Loss,M Dean,2.4,3.5,3.1,2.3,3.4,3.1
Hull,1,3,1,2,1,0,Win,J Moss,1.2,7.5,17.0,1.19,7.25,14.0
Southampton,0,0,3,3,2,0,Win,N Swarbrick,4.33,4.0,1.73,4.5,3.8,1.7
Man United,1,0,0,0,0,0,Draw,M Atkinson,1.91,3.75,4.2,1.87,3.75,4.0
Middlesbrough,0,2,2,0,0,0,Draw,K Friend,13.0,5.25,1.25,10.0,5.0,1.3
Crystal Palace,1,5,0,5,1,0,Win,M Oliver,1.29,6.5,11.0,1.28,6.25,9.5
Leicester,1,2,1,1,2,0,Win,R Madley,1.25,7.0,12.0,1.25,6.25,11.5
West Brom,1,3,1,2,3,1,Win,C Pawson,1.14,9.0,23.0,1.12,9.5,19.0
Watford,0,0,5,5,4,1,Win,J Moss,11.0,6.0,1.3,9.75,6.0,1.28
Brighton,0,0,2,2,1,0,Win,M Oliver,11.0,5.5,1.33,11.0,5.25,1.3
Everton,1,1,1,0,0,0,Draw,R Madley,1.33,5.75,10.0,1.33,5.25,9.25
Bournemouth,0,1,2,1,1,0,Win,M Dean,11.0,6.0,1.3,9.25,5.25,1.33
Liverpool,1,5,0,5,2,0,Win,J Moss,1.85,4.0,4.2,1.85,3.8,4.0
Watford,0,0,6,6,3,1,Win,A Taylor,9.0,6.0,1.33,9.25,5.25,1.33
Crystal Palace,1,5,0,5,4,1,Win,N Swarbrick,1.14,10.0,21.0,1.15,8.5,15.0
Chelsea,0,0,1,1,5,1,Win,M Atkinson,2.75,3.3,2.5,2.75,3.5,2.5
Stoke,1,7,2,5,6,1,Win,C Pawson,1.14,9.5,21.0,1.14,9.0,16.0
