,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Hull,Leicester,2,1,-1,0,0
2,Leicester,Arsenal,0,0,0,0,0
3,Leicester,Swansea,2,1,1,1,0
4,Liverpool,Leicester,4,1,-3,0,0
5,Leicester,Burnley,3,0,3,1,0
6,Man United,Leicester,4,1,-3,0,0
7,Leicester,Southampton,0,0,0,0,0
8,Chelsea,Leicester,3,0,-3,0,0
9,Leicester,Crystal Palace,3,1,2,1,0
10,Tottenham,Leicester,1,1,0,0,0
11,Leicester,West Brom,1,2,-1,0,0
12,Watford,Leicester,2,1,-1,0,0
13,Leicester,Middlesbrough,2,2,0,0,0
14,Sunderland,Leicester,2,1,-1,0,0
15,Leicester,Man City,4,2,2,1,0
16,Bournemouth,Leicester,1,0,-1,0,0
17,Stoke,Leicester,2,2,0,0,0
18,Leicester,Everton,0,2,-2,0,0
19,Leicester,West Ham,1,0,1,1,0
20,Middlesbrough,Leicester,0,0,0,0,0
21,Leicester,Chelsea,0,3,-3,0,0
22,Southampton,Leicester,3,0,-3,0,0
23,Burnley,Leicester,1,0,-1,0,0
24,Leicester,Man United,0,3,-3,0,0
25,Swansea,Leicester,2,0,-2,0,0
26,Leicester,Liverpool,3,1,2,1,0
27,Leicester,Hull,3,1,2,2,0
28,West Ham,Leicester,2,3,1,3,1
29,Leicester,Stoke,2,0,2,4,1
30,Leicester,Sunderland,2,0,2,5,1
31,Everton,Leicester,4,2,-2,0,0
32,Crystal Palace,Leicester,2,2,0,0,0
33,Arsenal,Leicester,1,0,-1,0,0
34,West Brom,Leicester,0,1,1,1,0
35,Leicester,Watford,3,0,3,2,0
36,Man City,Leicester,2,1,-1,0,0
37,Leicester,Tottenham,1,6,-5,0,0
38,Leicester,Bournemouth,1,1,0,0,0
39,Arsenal,Leicester,4,3,-1,0,0
40,Leicester,Brighton,2,0,2,1,0
41,Man United,Leicester,2,0,-2,0,0
42,Leicester,Chelsea,1,2,-1,0,0
43,Huddersfield,Leicester,1,1,0,0,0
44,Leicester,Liverpool,2,3,-1,0,0
45,Bournemouth,Leicester,0,0,0,0,0
46,Leicester,West Brom,1,1,0,0,0
47,Swansea,Leicester,1,2,1,1,0
48,Leicester,Everton,2,0,2,2,0
49,Stoke,Leicester,2,2,0,0,0
50,Leicester,Man City,0,2,-2,0,0
51,West Ham,Leicester,1,1,0,0,0
52,Leicester,Tottenham,2,1,1,1,0
53,Leicester,Burnley,1,0,1,2,0
54,Newcastle,Leicester,2,3,1,3,1
55,Southampton,Leicester,1,4,3,4,1
56,Leicester,Crystal Palace,0,3,-3,0,0
57,Leicester,Man United,2,2,0,0,0
58,Watford,Leicester,2,1,-1,0,0
59,Liverpool,Leicester,2,1,-1,0,0
60,Leicester,Huddersfield,3,0,3,1,0
61,Chelsea,Leicester,0,0,0,0,0
62,Leicester,Watford,2,0,2,1,0
63,Everton,Leicester,2,1,-1,0,0
64,Leicester,Swansea,1,1,0,0,0
65,Man City,Leicester,5,1,-4,0,0
66,Leicester,Stoke,1,1,0,0,0
67,Leicester,Bournemouth,1,1,0,0,0
68,West Brom,Leicester,1,4,3,1,0
69,Brighton,Leicester,0,2,2,2,0
70,Leicester,Newcastle,1,2,-1,0,0
71,Burnley,Leicester,2,1,-1,0,0
72,Leicester,Southampton,0,0,0,0,0
73,Crystal Palace,Leicester,5,0,-5,0,0
74,Leicester,West Ham,0,2,-2,0,0
75,Leicester,Arsenal,3,1,2,1,0
