,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Man City,Sunderland,2,1,1,1,0
2,Stoke,Man City,1,4,3,2,0
3,Man City,West Ham,3,1,2,3,1
4,Man United,Man City,1,2,1,4,1
5,Man City,Bournemouth,4,0,4,5,1
6,Swansea,Man City,1,3,2,6,1
7,Tottenham,Man City,2,0,-2,0,0
8,Man City,Everton,1,1,0,0,0
9,Man City,Southampton,1,1,0,0,0
10,West Brom,Man City,0,4,4,1,0
11,Man City,Middlesbrough,1,1,0,0,0
12,Crystal Palace,Man City,1,2,1,1,0
13,Burnley,Man City,1,2,1,2,0
14,Man City,Chelsea,1,3,-2,0,0
15,Leicester,Man City,4,2,-2,0,0
16,Man City,Watford,2,0,2,1,0
17,Man City,Arsenal,2,1,1,2,0
18,Hull,Man City,0,3,3,3,1
19,Liverpool,Man City,1,0,-1,0,0
20,Man City,Burnley,2,1,1,1,0
21,Everton,Man City,4,0,-4,0,0
22,Man City,Tottenham,2,2,0,0,0
23,West Ham,Man City,0,4,4,1,0
24,Man City,Swansea,2,1,1,2,0
25,Bournemouth,Man City,0,2,2,3,1
26,Sunderland,Man City,0,2,2,4,1
27,Man City,Stoke,0,0,0,0,0
28,Man City,Liverpool,1,1,0,0,0
29,Arsenal,Man City,2,2,0,0,0
30,Chelsea,Man City,2,1,-1,0,0
31,Man City,Hull,3,1,2,1,0
32,Southampton,Man City,0,3,3,2,0
33,Man City,Man United,0,0,0,0,0
34,Middlesbrough,Man City,2,2,0,0,0
35,Man City,Crystal Palace,5,0,5,1,0
36,Man City,Leicester,2,1,1,2,0
37,Man City,West Brom,3,1,2,3,1
38,Watford,Man City,0,5,5,4,1
39,Brighton,Man City,0,2,2,1,0
40,Man City,Everton,1,1,0,0,0
41,Bournemouth,Man City,1,2,1,1,0
42,Man City,Liverpool,5,0,5,2,0
43,Watford,Man City,0,6,6,3,1
44,Man City,Crystal Palace,5,0,5,4,1
45,Chelsea,Man City,0,1,1,5,1
46,Man City,Stoke,7,2,5,6,1
47,Man City,Burnley,3,0,3,7,1
48,West Brom,Man City,2,3,1,8,1
49,Man City,Arsenal,3,1,2,9,1
50,Leicester,Man City,0,2,2,10,1
51,Huddersfield,Man City,1,2,1,11,1
52,Man City,Southampton,2,1,1,12,1
53,Man City,West Ham,2,1,1,13,1
54,Man United,Man City,1,2,1,14,1
55,Swansea,Man City,0,4,4,15,1
56,Man City,Tottenham,4,1,3,16,1
57,Man City,Bournemouth,4,0,4,17,1
58,Newcastle,Man City,0,1,1,18,1
59,Crystal Palace,Man City,0,0,0,0,0
60,Man City,Watford,3,1,2,1,0
61,Liverpool,Man City,4,3,-1,0,0
62,Man City,Newcastle,3,1,2,1,0
63,Man City,West Brom,3,0,3,2,0
64,Burnley,Man City,1,1,0,0,0
65,Man City,Leicester,5,1,4,1,0
66,Arsenal,Man City,0,3,3,2,0
67,Man City,Chelsea,1,0,1,3,1
68,Stoke,Man City,0,2,2,4,1
69,Everton,Man City,1,3,2,5,1
70,Man City,Man United,2,3,-1,0,0
71,Tottenham,Man City,1,3,2,1,0
72,Man City,Swansea,5,0,5,2,0
73,West Ham,Man City,1,4,3,3,1
74,Man City,Huddersfield,0,0,0,0,0
75,Man City,Brighton,3,1,2,1,0
76,Southampton,Man City,0,1,1,2,0
77,Arsenal,Man City,0,2,2,1,0
78,Man City,Huddersfield,6,1,5,2,0
79,Wolves,Man City,1,1,0,0,0
80,Man City,Newcastle,2,1,1,1,0
81,Man City,Fulham,3,0,3,2,0
82,Cardiff,Man City,0,5,5,3,1
83,Man City,Brighton,2,0,2,4,1
84,Liverpool,Man City,0,0,0,0,0
85,Man City,Burnley,5,0,5,1,0
86,Tottenham,Man City,0,1,1,2,0
87,Man City,Southampton,6,1,5,3,1
88,Man City,Man United,3,1,2,4,1
89,West Ham,Man City,0,4,4,5,1
90,Man City,Bournemouth,3,1,2,6,1
91,Watford,Man City,1,2,1,7,1
92,Chelsea,Man City,2,0,-2,0,0
93,Man City,Everton,3,1,2,1,0
94,Man City,Crystal Palace,2,3,-1,0,0
95,Leicester,Man City,2,1,-1,0,0
96,Southampton,Man City,1,3,2,1,0
97,Man City,Liverpool,2,1,1,2,0
98,Man City,Wolves,3,0,3,3,1
99,Huddersfield,Man City,0,3,3,4,1
100,Newcastle,Man City,2,1,-1,0,0
101,Man City,Arsenal,3,1,2,1,0
102,Everton,Man City,0,2,2,2,0
103,Man City,Chelsea,6,0,6,3,1
104,Man City,West Ham,1,0,1,4,1
105,Bournemouth,Man City,0,1,1,5,1
106,Man City,Watford,3,1,2,6,1
107,Fulham,Man City,0,2,2,7,1
108,Man City,Cardiff,2,0,2,8,1
109,Crystal Palace,Man City,1,3,2,9,1
110,Man City,Tottenham,1,0,1,10,1
111,Man United,Man City,0,2,2,11,1
112,Burnley,Man City,0,1,1,12,1
113,Man City,Leicester,1,0,1,13,1
114,Brighton,Man City,1,4,3,14,1
115,West Ham,Man City,0,5,5,1,0
116,Man City,Tottenham,2,2,0,0,0
117,Bournemouth,Man City,1,3,2,1,0
118,Man City,Brighton,4,0,4,2,0
119,Norwich,Man City,3,2,-1,0,0
120,Man City,Watford,8,0,8,1,0
121,Everton,Man City,1,3,2,2,0
122,Man City,Wolves,0,2,-2,0,0
123,Crystal Palace,Man City,0,2,2,1,0
124,Man City,Aston Villa,3,0,3,2,0
125,Man City,Southampton,2,1,1,3,1
126,Liverpool,Man City,3,1,-2,0,0
127,Man City,Chelsea,2,1,1,1,0
128,Newcastle,Man City,2,2,0,0,0
129,Burnley,Man City,1,4,3,1,0
130,Man City,Man United,1,2,-1,0,0
131,Arsenal,Man City,0,3,3,1,0
132,Man City,Leicester,3,1,2,2,0
133,Wolves,Man City,3,2,-1,0,0
134,Man City,Sheffield United,2,0,2,1,0
135,Man City,Everton,2,1,1,2,0
136,Aston Villa,Man City,1,6,5,3,1
137,Man City,Crystal Palace,2,2,0,0,0
138,Sheffield United,Man City,0,1,1,1,0
139,Tottenham,Man City,2,0,-2,0,0
140,Man City,West Ham,2,0,2,1,0
141,Leicester,Man City,0,1,1,2,0
142,Man United,Man City,2,0,-2,0,0
143,Man City,Arsenal,3,0,3,1,0
144,Man City,Burnley,5,0,5,2,0
145,Chelsea,Man City,2,1,-1,0,0
146,Man City,Liverpool,4,0,4,1,0
147,Southampton,Man City,1,0,-1,0,0
148,Man City,Newcastle,5,0,5,1,0
149,Brighton,Man City,0,5,5,2,0
150,Man City,Bournemouth,2,1,1,3,1
151,Watford,Man City,0,4,4,4,1
152,Man City,Norwich,5,0,5,5,1
153,Wolves,Man City,1,3,2,1,0
154,Man City,Leicester,2,5,-3,0,0
155,Leeds,Man City,1,1,0,0,0
156,Man City,Arsenal,1,0,1,1,0
157,West Ham,Man City,1,1,0,0,0
158,Sheffield United,Man City,0,1,1,1,0
159,Man City,Liverpool,1,1,0,0,0
160,Tottenham,Man City,2,0,-2,0,0
161,Man City,Burnley,5,0,5,1,0
162,Man City,Fulham,2,0,2,2,0
163,Man United,Man City,0,0,0,0,0
164,Man City,West Brom,1,1,0,0,0
165,Southampton,Man City,0,1,1,1,0
166,Man City,Newcastle,2,0,2,2,0
167,Chelsea,Man City,1,3,2,3,1
168,Man City,Brighton,1,0,1,4,1
169,Man City,Crystal Palace,4,0,4,5,1
170,Man City,Aston Villa,2,0,2,6,1
171,West Brom,Man City,0,5,5,7,1
172,Man City,Sheffield United,1,0,1,8,1
173,Burnley,Man City,0,2,2,9,1
174,Liverpool,Man City,1,4,3,10,1
175,Man City,Tottenham,3,0,3,11,1
176,Everton,Man City,1,3,2,12,1
177,Arsenal,Man City,0,1,1,13,1
178,Man City,West Ham,2,1,1,14,1
179,Man City,Wolves,4,1,3,15,1
180,Man City,Man United,0,2,-2,0,0
181,Man City,Southampton,5,2,3,1,0
182,Fulham,Man City,0,3,3,2,0
183,Leicester,Man City,0,2,2,3,1
184,Man City,Leeds,1,2,-1,0,0
185,Aston Villa,Man City,1,2,1,1,0
186,Crystal Palace,Man City,0,2,2,2,0
187,Man City,Chelsea,1,2,-1,0,0
188,Newcastle,Man City,3,4,1,1,0
189,Brighton,Man City,3,2,-1,0,0
190,Man City,Everton,5,0,5,1,0
