,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Bournemouth,Man United,1,3,2,1,0
2,Man United,Southampton,2,0,2,2,0
3,Hull,Man United,0,1,1,3,1
4,Man United,Man City,1,2,-1,0,0
5,Watford,Man United,3,1,-2,0,0
6,Man United,Leicester,4,1,3,1,0
7,Man United,Stoke,1,1,0,0,0
8,Liverpool,Man United,0,0,0,0,0
9,Chelsea,Man United,4,0,-4,0,0
10,Man United,Burnley,0,0,0,0,0
11,Swansea,Man United,1,3,2,1,0
12,Man United,Arsenal,1,1,0,0,0
13,Man United,West Ham,1,1,0,0,0
14,Everton,Man United,1,1,0,0,0
15,Man United,Tottenham,1,0,1,1,0
16,Crystal Palace,Man United,1,2,1,2,0
17,West Brom,Man United,0,2,2,3,1
18,Man United,Sunderland,3,1,2,4,1
19,Man United,Middlesbrough,2,1,1,5,1
20,West Ham,Man United,0,2,2,6,1
21,Man United,Liverpool,1,1,0,0,0
22,Stoke,Man United,1,1,0,0,0
23,Man United,Hull,0,0,0,0,0
24,Leicester,Man United,0,3,3,1,0
25,Man United,Watford,2,0,2,2,0
26,Man United,Bournemouth,1,1,0,0,0
27,Middlesbrough,Man United,1,3,2,1,0
28,Man United,West Brom,0,0,0,0,0
29,Man United,Everton,1,1,0,0,0
30,Sunderland,Man United,0,3,3,1,0
31,Man United,Chelsea,2,0,2,2,0
32,Burnley,Man United,0,2,2,3,1
33,Man City,Man United,0,0,0,0,0
34,Man United,Swansea,1,1,0,0,0
35,Arsenal,Man United,2,0,-2,0,0
36,Tottenham,Man United,2,1,-1,0,0
37,Southampton,Man United,0,0,0,0,0
38,Man United,Crystal Palace,2,0,2,1,0
39,Man United,West Ham,4,0,4,1,0
40,Swansea,Man United,0,4,4,2,0
41,Man United,Leicester,2,0,2,3,1
42,Stoke,Man United,2,2,0,0,0
43,Man United,Everton,4,0,4,1,0
44,Southampton,Man United,0,1,1,2,0
45,Man United,Crystal Palace,4,0,4,3,1
46,Liverpool,Man United,0,0,0,0,0
47,Huddersfield,Man United,2,1,-1,0,0
48,Man United,Tottenham,1,0,1,1,0
49,Chelsea,Man United,1,0,-1,0,0
50,Man United,Newcastle,4,1,3,1,0
51,Man United,Brighton,1,0,1,2,0
52,Watford,Man United,2,4,2,3,1
53,Arsenal,Man United,1,3,2,4,1
54,Man United,Man City,1,2,-1,0,0
55,Man United,Bournemouth,1,0,1,1,0
56,West Brom,Man United,1,2,1,2,0
57,Leicester,Man United,2,2,0,0,0
58,Man United,Burnley,2,2,0,0,0
59,Man United,Southampton,0,0,0,0,0
60,Everton,Man United,0,2,2,1,0
61,Man United,Stoke,3,0,3,2,0
62,Burnley,Man United,0,1,1,3,1
63,Tottenham,Man United,2,0,-2,0,0
64,Man United,Huddersfield,2,0,2,1,0
65,Newcastle,Man United,1,0,-1,0,0
66,Man United,Chelsea,2,1,1,1,0
67,Crystal Palace,Man United,2,3,1,2,0
68,Man United,Liverpool,2,1,1,3,1
69,Man United,Swansea,2,0,2,4,1
70,Man City,Man United,2,3,1,5,1
71,Man United,West Brom,0,1,-1,0,0
72,Bournemouth,Man United,0,2,2,1,0
73,Man United,Arsenal,2,1,1,2,0
74,Brighton,Man United,1,0,-1,0,0
75,West Ham,Man United,0,0,0,0,0
76,Man United,Watford,1,0,1,1,0
77,Man United,Leicester,2,1,1,1,0
78,Brighton,Man United,3,2,-1,0,0
79,Man United,Tottenham,0,3,-3,0,0
80,Burnley,Man United,0,2,2,1,0
81,Watford,Man United,1,2,1,2,0
82,Man United,Wolves,1,1,0,0,0
83,West Ham,Man United,3,1,-2,0,0
84,Man United,Newcastle,3,2,1,1,0
85,Chelsea,Man United,2,2,0,0,0
86,Man United,Everton,2,1,1,1,0
87,Bournemouth,Man United,1,2,1,2,0
88,Man City,Man United,3,1,-2,0,0
89,Man United,Crystal Palace,0,0,0,0,0
90,Southampton,Man United,2,2,0,0,0
91,Man United,Arsenal,2,2,0,0,0
92,Man United,Fulham,4,1,3,1,0
93,Liverpool,Man United,3,1,-2,0,0
94,Cardiff,Man United,1,5,4,1,0
95,Man United,Huddersfield,3,1,2,2,0
96,Man United,Bournemouth,4,1,3,3,1
97,Newcastle,Man United,0,2,2,4,1
98,Tottenham,Man United,0,1,1,5,1
99,Man United,Brighton,2,1,1,6,1
100,Man United,Burnley,2,2,0,0,0
101,Leicester,Man United,0,1,1,1,0
102,Fulham,Man United,0,3,3,2,0
103,Man United,Liverpool,0,0,0,0,0
104,Crystal Palace,Man United,1,3,2,1,0
105,Man United,Southampton,3,2,1,2,0
106,Arsenal,Man United,2,0,-2,0,0
107,Man United,Watford,2,1,1,1,0
108,Wolves,Man United,2,1,-1,0,0
109,Man United,West Ham,2,1,1,1,0
110,Everton,Man United,4,0,-4,0,0
111,Man United,Man City,0,2,-2,0,0
112,Man United,Chelsea,1,1,0,0,0
113,Huddersfield,Man United,1,1,0,0,0
114,Man United,Cardiff,0,2,-2,0,0
115,Man United,Chelsea,4,0,4,1,0
116,Wolves,Man United,1,1,0,0,0
117,Man United,Crystal Palace,1,2,-1,0,0
118,Southampton,Man United,1,1,0,0,0
119,Man United,Leicester,1,0,1,1,0
120,West Ham,Man United,2,0,-2,0,0
121,Man United,Arsenal,1,1,0,0,0
122,Newcastle,Man United,1,0,-1,0,0
123,Man United,Liverpool,1,1,0,0,0
124,Norwich,Man United,1,3,2,1,0
125,Bournemouth,Man United,1,0,-1,0,0
126,Man United,Brighton,3,1,2,1,0
127,Sheffield United,Man United,3,3,0,0,0
128,Man United,Aston Villa,2,2,0,0,0
129,Man United,Tottenham,2,1,1,1,0
130,Man City,Man United,1,2,1,2,0
131,Man United,Everton,1,1,0,0,0
132,Watford,Man United,2,0,-2,0,0
133,Man United,Newcastle,4,1,3,1,0
134,Burnley,Man United,0,2,2,2,0
135,Arsenal,Man United,2,0,-2,0,0
136,Man United,Norwich,4,0,4,1,0
137,Liverpool,Man United,2,0,-2,0,0
138,Man United,Burnley,0,2,-2,0,0
139,Man United,Wolves,0,0,0,0,0
140,Chelsea,Man United,0,2,2,1,0
141,Man United,Watford,3,0,3,2,0
142,Everton,Man United,1,1,0,0,0
143,Man United,Man City,2,0,2,1,0
144,Tottenham,Man United,1,1,0,0,0
145,Man United,Sheffield United,3,0,3,1,0
146,Brighton,Man United,0,3,3,2,0
147,Man United,Bournemouth,5,2,3,3,1
148,Aston Villa,Man United,0,3,3,4,1
149,Man United,Southampton,2,2,0,0,0
150,Crystal Palace,Man United,0,2,2,1,0
151,Man United,West Ham,1,1,0,0,0
152,Leicester,Man United,0,2,2,1,0
153,Man United,Crystal Palace,1,3,-2,0,0
154,Brighton,Man United,2,3,1,1,0
155,Man United,Tottenham,1,6,-5,0,0
156,Newcastle,Man United,1,4,3,1,0
157,Man United,Chelsea,0,0,0,0,0
158,Man United,Arsenal,0,1,-1,0,0
159,Everton,Man United,1,3,2,1,0
160,Man United,West Brom,1,0,1,2,0
161,Southampton,Man United,2,3,1,3,1
162,West Ham,Man United,1,3,2,4,1
163,Man United,Man City,0,0,0,0,0
164,Sheffield United,Man United,2,3,1,1,0
165,Man United,Leeds,6,2,4,2,0
166,Leicester,Man United,2,2,0,0,0
167,Man United,Wolves,1,0,1,1,0
168,Man United,Aston Villa,2,1,1,2,0
169,Burnley,Man United,0,1,1,3,1
170,Liverpool,Man United,0,0,0,0,0
171,Fulham,Man United,1,2,1,1,0
172,Man United,Sheffield United,1,2,-1,0,0
173,Arsenal,Man United,0,0,0,0,0
174,Man United,Southampton,9,0,9,1,0
