,0,1,2,3,4,5,6
0,HomeTeam,AwayTeam,Full time home goals,Full time away goals,Results,Win Streak,3 Game Streak
1,Everton,Tottenham,1,1,0,0,0
2,Tottenham,Crystal Palace,1,0,1,1,0
3,Tottenham,Liverpool,1,1,0,0,0
4,Stoke,Tottenham,0,4,4,1,0
5,Tottenham,Sunderland,1,0,1,2,0
6,Middlesbrough,Tottenham,1,2,1,3,1
7,Tottenham,Man City,2,0,2,4,1
8,West Brom,Tottenham,1,1,0,0,0
9,Bournemouth,Tottenham,0,0,0,0,0
10,Tottenham,Leicester,1,1,0,0,0
11,Arsenal,Tottenham,1,1,0,0,0
12,Tottenham,West Ham,3,2,1,1,0
13,Chelsea,Tottenham,2,1,-1,0,0
14,Tottenham,Swansea,5,0,5,1,0
15,Man United,Tottenham,1,0,-1,0,0
16,Tottenham,Hull,3,0,3,1,0
17,Tottenham,Burnley,2,1,1,2,0
18,Southampton,Tottenham,1,4,3,3,1
19,Watford,Tottenham,1,4,3,4,1
20,Tottenham,Chelsea,2,0,2,5,1
21,Tottenham,West Brom,4,0,4,6,1
22,Man City,Tottenham,2,2,0,0,0
23,Sunderland,Tottenham,0,0,0,0,0
24,Tottenham,Middlesbrough,1,0,1,1,0
25,Liverpool,Tottenham,2,0,-2,0,0
26,Tottenham,Stoke,4,0,4,1,0
27,Tottenham,Everton,3,2,1,2,0
28,Tottenham,Southampton,2,1,1,3,1
29,Burnley,Tottenham,0,2,2,4,1
30,Swansea,Tottenham,1,3,2,5,1
31,Tottenham,Watford,4,0,4,6,1
32,Tottenham,Bournemouth,4,0,4,7,1
33,Crystal Palace,Tottenham,0,1,1,8,1
34,Tottenham,Arsenal,2,0,2,9,1
35,West Ham,Tottenham,1,0,-1,0,0
36,Tottenham,Man United,2,1,1,1,0
37,Leicester,Tottenham,1,6,5,2,0
38,Hull,Tottenham,1,7,6,3,1
39,Newcastle,Tottenham,0,2,2,1,0
40,Tottenham,Chelsea,1,2,-1,0,0
41,Tottenham,Burnley,1,1,0,0,0
42,Everton,Tottenham,0,3,3,1,0
43,Tottenham,Swansea,0,0,0,0,0
44,West Ham,Tottenham,2,3,1,1,0
45,Huddersfield,Tottenham,0,4,4,2,0
46,Tottenham,Bournemouth,1,0,1,3,1
47,Tottenham,Liverpool,4,1,3,4,1
48,Man United,Tottenham,1,0,-1,0,0
49,Tottenham,Crystal Palace,1,0,1,1,0
50,Arsenal,Tottenham,2,0,-2,0,0
51,Tottenham,West Brom,1,1,0,0,0
52,Leicester,Tottenham,2,1,-1,0,0
53,Watford,Tottenham,1,1,0,0,0
54,Tottenham,Stoke,5,1,4,1,0
55,Tottenham,Brighton,2,0,2,2,0
56,Man City,Tottenham,4,1,-3,0,0
57,Burnley,Tottenham,0,3,3,1,0
58,Tottenham,Southampton,5,2,3,2,0
59,Swansea,Tottenham,0,2,2,3,1
60,Tottenham,West Ham,1,1,0,0,0
61,Tottenham,Everton,4,0,4,1,0
62,Southampton,Tottenham,1,1,0,0,0
63,Tottenham,Man United,2,0,2,1,0
64,Liverpool,Tottenham,2,2,0,0,0
